state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_CT,enrollmetric,pp_stloc_raw_CT,pp_fed_raw_CT,pp_total_raw_CT,schoolstloc_raw_CT,schoolfed_raw_CT,schooltot_raw_CT,pp_total_norm_NERDS,site_tot_raw_CT,pp_site_private_raw_CT,pp_cent_private_raw_CT,ppsitestloc_operational_CT,ppcentstloc_operational_CT,pptotstloc_operational_CT,schoolstloc_operational_CT,schooltot_operational_CT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
CT,2018-2019,850011,850111,Monroe School District,Monroe Elementary School,902550,902550,7300100830100.0,90255000490,366.0,PK-05,2.0,366,October Count Day,17487,433,17932,6400242,158478,6558720,21336.73366,5158242,0,11,13725,3773,17498,6404268,6562746,1,0,1,0,0,0,0
CT,2018-2019,850011,850311,Monroe School District,Stepney Elementary School,902550,902550,7300100830100.0,90255000491,423.0,KG-05,2.0,423,October Count Day,17986,108,18106,7608078,45684,7653762,21510.73366,6035062,0,11,14224,3773,17997,7612731,7658415,1,0,1,0,0,0,0
CT,2018-2019,860011,860711,Montville School District,Dr. Charles E. Murphy School,902580,902580,7300601130100.0,90258000492,290.0,PK-05,2.0,290,October Count Day,16207,724,16973,4700030,209960,4909990,20826.23895,4084801,42,0,13369,2880,16249,4712210,4922170,1,0,1,0,0,0,0
CT,2018-2019,860011,865111,Montville School District,Leonard J. Tyl Middle School,902580,902580,7300601130100.0,90258000035,500.0,06-08,3.0,500,October Count Day,17494,276,17826,8747000,138000,8885000,21679.23895,7469406,56,0,14670,2880,17550,8775000,8913000,1,0,1,0,0,0,0
CT,2018-2019,860011,860111,Montville School District,Mohegan School,902580,902580,7300601130100.0,90258000494,337.0,PK-05,2.0,337,October Count Day,15520,631,16205,5230240,212647,5442887,20058.23895,4488144,54,0,12694,2880,15574,5248438,5461085,1,0,1,0,0,0,0
CT,2018-2019,860011,866111,Montville School District,Montville High School,902580,902580,7300601130100.0,90258000495,560.0,09-12,4.0,564,October Count Day,19124,102,19301,10785936,57528,10843464,23154.23895,9257135,74,0,16318,2880,19198,10827672,10885200,1,0,1,0,0,0,0
CT,2018-2019,860011,860511,Montville School District,Oakdale School,902580,902580,7300601130100.0,90258000496,280.0,KG-05,2.0,280,October Count Day,17719,959,18738,4961320,268520,5229840,22591.23895,4438204,60,0,14899,2880,17779,4978120,5246640,1,0,1,0,0,0,0
CT,2018-2019,880011,880811,Naugatuck School District,Andrew Avenue School,902640,902640,7200500530100.0,90264000499,244.0,KG-04,2.0,244,October Count Day,16566,715,17346,4042104,174460,4216564,21073.94984,3516779,64,0,13713,2917,16630,4057720,4232180,1,0,1,0,0,0,0
CT,2018-2019,880011,885111,Naugatuck School District,City Hill Middle School,902640,902640,7200500530100.0,90264000501,668.0,07-08,3.0,668,October Count Day,14729,701,15495,9838972,468268,10307240,19222.94984,8391320,64,0,11876,2917,14793,9881724,10349992,1,0,1,0,0,0,0
CT,2018-2019,880011,880211,Naugatuck School District,Cross Street Intermediate School,902640,902640,7200500530100.0,90264000502,316.0,05-06,2.0,316,October Count Day,14935,710,15709,4719460,224360,4943820,19436.94984,4037404,64,0,12082,2917,14999,4739684,4964044,1,0,1,0,0,0,0
CT,2018-2019,880011,880411,Naugatuck School District,Hillside Intermediate School,902640,902640,7200500530100.0,90264000504,331.0,05-06,2.0,331,October Count Day,14923,701,15688,4939513,232031,5171544,19415.94984,4221916,64,0,12070,2917,14987,4960697,5192728,1,0,1,0,0,0,0
