state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AL,enrollmetric,pp_stloc_raw_AL,pp_fed_raw_AL,pp_total_raw_AL,pp_site_stloc_raw_AL,pp_site_fed_raw_AL,pp_site_raw_AL,pp_centshare_stloc_raw_AL,pp_centshare_fed_raw_AL,pp_centshare_raw_AL,schoolstloc_raw_AL,schoolfed_raw_AL,schooltot_raw_AL,pp_total_norm_NERDS,pp_centshare_loc_raw_AL,pp_centshare_st_raw_AL,pp_site_loc_raw_AL,pp_site_st_raw_AL,pp_total_loc_raw_AL,pp_total_st_raw_AL,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AL,2018-2019,AL-185,AL-185-0025,PIEDMONT CITY,PIEDMONT MIDDLE SCHOOL,102760,102760,1500800500000.0,10276001818,285.0,06-08,3,285.0,Fall ADA,6783,880,7714,5503.0,766.0,6315,1281.0,114.0,1399.0,1933155.0,250800.0,2198490.0,7735.797526,474.0,807.0,135.0,5368.0,608,6175,0,0,0,0,0,0,0
AL,2018-2019,AL-055,AL-055-0010,PIKE COUNTY,BANKS SCHOOL,102790,102790,1505500100000.0,10279001110,370.0,PK-08,3,370.0,Fall ADA,9017,1770,11016,6673.0,1490.0,8296,2344.0,280.0,2719.0,3336290.0,654900.0,4075920.0,11165.81045,1355.0,989.0,368.0,6305.0,1723,7294,0,0,0,0,0,0,0
AL,2018-2019,AL-055,AL-055-0025,PIKE COUNTY,GOSHEN ELEMENTARY SCHOOL,102790,102790,1505500100000.0,10279001113,474.0,PK-06,2,474.0,Fall ADA,8490,1814,10566,6167.0,1538.0,7872,2322.0,275.0,2694.0,4024260.0,859836.0,5008284.0,10716.09592,1365.0,957.0,714.0,5453.0,2079,6411,0,0,0,0,0,0,0
AL,2018-2019,AL-055,AL-055-0030,PIKE COUNTY,GOSHEN HIGH SCHOOL,102790,102790,1505500100000.0,10279001114,443.0,07-12,4,443.0,Fall ADA,9393,1481,11387,6899.0,1259.0,8570,2494.0,222.0,2817.0,4161099.0,656083.0,5044441.0,11536.5751,1498.0,996.0,1353.0,5546.0,2851,6542,0,0,0,0,0,0,0
AL,2018-2019,AL-055,AL-055-0039,PIKE COUNTY,PIKE COUNTY ELEMENTARY SCHOOL,102790,102790,1505500100000.0,10279001115,480.0,PK-06,2,480.0,Fall ADA,8894,1687,10807,6326.0,1431.0,7888,2568.0,256.0,2919.0,4269120.0,809760.0,5187360.0,10956.94304,1533.0,1035.0,582.0,5744.0,2115,6779,0,0,0,0,0,0,0
AL,2018-2019,AL-055,AL-055-0040,PIKE COUNTY,PIKE COUNTY HIGH SCHOOL,102790,102790,1505500100000.0,10279001112,436.0,07-12,4,436.0,Fall ADA,9407,1788,11893,7014.0,1554.0,9157,2394.0,234.0,2735.0,4101452.0,779568.0,5185348.0,12042.2541,1393.0,1001.0,1348.0,5666.0,2741,6666,0,0,0,0,0,0,0
AL,2018-2019,AL-186,AL-186-0005,PIKE ROAD CITY,PIKE ROAD ELEMENTARY SCHOOL,100195,100195,1505100200000.0,10019502407,850.0,PK-04,2,850.0,Fall ADA,8193,278,8791,6655.0,233.0,7196,1538.0,45.0,1595.0,6964050.0,236300.0,7472350.0,8787.031909,546.0,992.0,1430.0,5225.0,1976,6217,0,0,0,0,0,0,0
AL,2018-2019,AL-186,AL-186-0015,PIKE ROAD CITY,PIKE ROAD HIGH SCHOOL,100195,100195,1505100200000.0,10019502441,513.0,08-12,4,513.0,Fall ADA,8687,600,10127,7102.0,527.0,8456,1586.0,73.0,1671.0,4456431.0,307800.0,5195151.0,10122.18438,623.0,963.0,1767.0,5335.0,2390,6297,0,0,0,0,0,0,0
AL,2018-2019,AL-186,AL-186-0010,PIKE ROAD CITY,PIKE ROAD MIDDLE SCHOOL,100195,100195,1505100200000.0,10019502424,500.0,05-07,3,500.0,Fall ADA,7357,80,7719,5852.0,48.0,6170,1504.0,33.0,1549.0,3678500.0,40000.0,3859500.0,7715.711965,578.0,926.0,1279.0,4573.0,1857,5500,0,0,0,0,0,0,0
AL,2018-2019,AL-056,AL-056-0020,RANDOLPH COUNTY,RANDOLPH COUNTY HIGH SCHOOL,102820,102820,1505600100000.0,10282001119,452.0,07-12,4,452.0,Fall ADA,7401,1636,9511,6310.0,1325.0,8049,1091.0,311.0,1461.0,3345252.0,739472.0,4298972.0,9840.892519,526.0,565.0,535.0,5775.0,1061,6340,0,0,0,0,0,0,0
AL,2018-2019,AL-056,AL-056-0030,RANDOLPH COUNTY,ROCK MILLS JUNIOR HIGH SCHOOL,102820,102820,1505600100000.0,10282001122,173.0,PK-08,3,173.0,Fall ADA,9938,1290,11453,8723.0,1109.0,9999,1214.0,181.0,1454.0,1719274.0,223170.0,1981369.0,11781.66055,498.0,716.0,482.0,8241.0,981,8957,0,0,0,0,0,0,0
AL,2018-2019,AL-056,AL-056-0040,RANDOLPH COUNTY,WADLEY HIGH SCHOOL,102820,102820,1505600100000.0,10282001123,413.0,PK-12,4,413.0,Fall ADA,8188,1437,9992,7032.0,1185.0,8527,1156.0,251.0,1465.0,3381644.0,593481.0,4126696.0,10321.58738,563.0,593.0,625.0,6407.0,1188,7000,0,0,0,0,0,0,0
AL,2018-2019,AL-056,AL-056-0010,RANDOLPH COUNTY,WEDOWEE ELEMENTARY SCHOOL,102820,102820,1505600100000.0,10282002171,297.0,PK-03,2,297.0,Fall ADA,7852,737,8725,6818.0,478.0,7376,1033.0,258.0,1350.0,2332044.0,218889.0,2591325.0,9055.391142,458.0,575.0,298.0,6520.0,757,7095,0,0,0,0,0,0,0
AL,2018-2019,AL-056,AL-056-0050,RANDOLPH COUNTY,WEDOWEE MIDDLE SCHOOL,102820,102820,1505600100000.0,10282001124,214.0,04-06,2,214.0,Fall ADA,7299,2904,10408,6072.0,2569.0,8787,1227.0,335.0,1621.0,1561986.0,621456.0,2227312.0,10737.32348,646.0,581.0,534.0,5538.0,1180,6119,0,0,0,0,0,0,0
