state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NV,enrollmetric,pp_stloc_raw_NV,pp_fed_raw_NV,pp_total_raw_NV,schoolstloc_raw_NV,schoolfed_raw_NV,schooltot_raw_NV,pp_total_norm_NERDS,pp_perfed_raw_NV,pp_nonperfed_raw_NV,pp_perstloc_raw_NV,pp_nonperstloc_raw_NV,pp_personnel_raw_NV,pp_nonpersonnel_raw_NV,pp_instruction_raw_NV,pp_noninstruction_raw_NV,pp_nonperson_instruction_fed_raw_NV,pp_nonperson_instruction_stloc_raw_NV,pp_nonperson_instructionsupport_fed_raw_NV,pp_nonperson_instructionsupport_stloc_raw_NV,pp_nonperson_leadership_fed_raw_NV,pp_nonperson_leadership_stloc_raw_NV,pp_nonperson_operations_fed_raw_NV,pp_nonperson_operations_stloc_raw_NV,pp_person_instruction_fed_raw_NV,pp_person_instruction_stloc_raw_NV,pp_person_instructionsupport_fed_raw_NV,pp_person_instructionsupport_stloc_raw_NV,pp_person_leadership_fed_raw_NV,pp_person_leadership_stloc_raw_NV,pp_person_operations_fed_raw_NV,pp_person_operations_stloc_raw_NV,pp_total_nonperson_instructionsupport_raw_NV,pp_total_nonperson_leadership_raw_NV,pp_total_nonperson_operations_raw_NV,pp_total_person_instructionsupport_raw_NV,pp_total_person_leadership_raw_NV,pp_total_person_operations_raw_NV,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NV,2018-2019,2,2271,Clark,James Bilbray Elementary,3200060,3200060,29500200100000.0,320006000585.0,723.0,PK-05,2.0,723,Student Count,8555.6,223.22,8778.82,6185698.8,161388.06,6347086.85999999,9048.648825,155.08,68.14,7455.68,1099.91999999999,7610.76,1168.05999999999,5191.74,184.22,16.54,167.68,51.26,234.68,0,0.3,0.34,697.26,45.31,5146.43,109.73,751.53,0.04,622.77,0,934.95,285.94,0.3,697.6,861.26,622.81,934.95,1,0,1,1,0,0,0
NV,2018-2019,2,2120,Clark,James Gibson Elementary School,3200060,3200060,29500200100000.0,320006000376.0,519.0,PK-05,2.0,519,Student Count,9084.85,399.27,9484.12,4715037.15,207221.13,4922258.28,9753.948825,229.9,169.37,8150.38999999999,934.46,8380.28999999999,1103.83,5594.23,307.79,109.48,198.31,59.55,164.04,0,1.29,0.34,570.82,103.48,5490.75,126.38,944.83,0.04,863.57,0,851.24,223.589999999999,1.29,571.16,1071.21,863.61,851.24,1,0,1,1,0,0,0
NV,2018-2019,2,2068,Clark,Jan Jones Blackhurst Elementary School,3200060,3200060,29500200100000.0,320006000874.0,793.0,PK-05,2.0,793,Student Count,7482.75,189.679999999999,7672.43,5933820.75,150416.24,6084236.99,7942.258825,136.66,53.02,6618.09,864.66,6754.75,917.68,5083.95,111.699999999999,13.99,97.71,38.7,212.8,0,47.07,0.33,507.08,50.88,5033.07,85.74,479.02,0.04,561.22,0,544.78,251.5,47.07,507.409999999999,564.76,561.26,544.78,1,0,1,1,0,0,0
NV,2018-2019,2,2196,Clark,Jay Jeffers Elementary,3200060,3200060,29500200100000.0,320006000657.0,809.0,PK-05,2.0,809,Student Count,8519.55,749.54,9269.09,6892315.95,606377.86,7498693.81,9538.918825,591.21,158.33,7283.57,1235.98,7874.78,1394.31,5763.62,381.99,97.98,284.01,58.64,159.66,0,1.18,1.71,791.13,343.56,5420.06,247.58,597.93,0.07,501.06,0,764.52,218.3,1.18,792.84,845.51,501.13,764.52,1,0,1,1,0,0,0
NV,2018-2019,2,2062,Clark,Jenkins Earl N ES,3200060,3200060,29500200100000.0,320006000933.0,,PK-05,2.0,NRD,Student Count,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,1,0,1,0
NV,2018-2019,2,2356,Clark,Jerome D Mack Middle School,3200060,3200060,29500200100000.0,320006000660.0,1301.0,06-08,3.0,1301,Student Count,7034.41,1148.16999999999,8182.58,9151767.41,1493769.16999999,10645536.58,8452.408825,811.1,337.07,5910.51999999999,1123.89,6721.61999999999,1460.96,4524.26,343.55,145.59,197.96,189.77,225.98,0,3.48,1.71,696.47,500.7,4023.56,310.33,441.51,0.07,614.2,0,831.25,415.75,3.48,698.18,751.839999999999,614.27,831.25,1,0,1,1,0,0,0
NV,2018-2019,2,2086,Clark,Jesse D. Scott Elementary School,3200060,3200060,29500200100000.0,320006000753.0,663.0,PK-05,2.0,663,Student Count,9080.8,904.6,9985.4,6020570.39999999,599749.8,6620320.2,10255.22882,708.55,196.05,7984.9,1095.89999999999,8693.44999999999,1291.95,6203.19,341.909999999999,92.12,249.79,99.74,99.08,0,0.78,4.19,746.25,520.59,5682.6,187.89,765.42,0.07,662.65,0,874.23,198.82,0.78,750.44,953.31,662.72,874.23,1,0,1,1,0,0,0
NV,2018-2019,2,2307,Clark,Jim Bridger Middle School,3200060,3200060,29500200100000.0,320006000057.0,1439.0,06-08,3.0,1439,Student Count,7283.88999999999,574.56,7858.45,10481517.7099999,826791.84,11308309.5499999,8128.278825,459.25,115.309999999999,6170.43,1113.46,6629.67999999999,1228.77,4401.92999999999,339.73,61.62,278.11,51.98,240.08,0,4.18,1.71,591.09,232.11,4169.82,227.07,578.43,0.07,587.24,0,834.94,292.06,4.18,592.8,805.5,587.31,834.94,1,0,1,1,0,0,0
NV,2018-2019,2,2139,Clark,Jim Thorpe Elementary School,3200060,3200060,29500200100000.0,320006000076.0,522.0,PK-05,2.0,522,Student Count,9724.74,733.04,10457.78,5076314.28,382646.88,5458961.16,10727.60882,621.31,111.729999999999,8478.47,1246.27,9099.78,1358,6154.65,448.039999999999,55.9,392.14,54.14,131.55,0,1.31,1.69,721.27,275.13,5879.52,346.11,739.55,0.07,747.32,0,1112.08,185.69,1.31,722.96,1085.65999999999,747.39,1112.08,1,0,1,1,0,0,0
NV,2018-2019,2,2217,Clark,Jo Mackey Elementary School,3200060,3200060,29500200100000.0,320006000058.0,556.0,PK-05,2.0,556,Student Count,9800.44999999999,506.919999999999,10307.3699999999,5449050.19999999,281847.519999999,5730897.72,10577.19882,388.599999999999,118.32,8647.02999999999,1153.41999999999,9035.63,1271.74,6520.92,279.539999999999,65.16,214.38,51.44,145.49,0,1.03,1.72,792.52,291.52,6229.4,97.01,415.82,0.07,763.32,0,1238.49,196.93,1.03,794.24,512.83,763.39,1238.49,1,0,1,1,0,0,0
NV,2018-2019,2,2308,Clark,John C  Fremont Middle School,3200060,3200060,29500200100000.0,320006000059.0,847.0,06-08,3.0,847,Student Count,8986.51,500.79,9487.3,7611573.97,424169.13,8035743.1,9757.128825,392.41,108.38,7674.61,1311.9,8067.01999999999,1420.28,5449.83,419.169999999999,57.27,361.9,49.4,275.03,0,2.4,1.71,672.57,302.37,5147.46,89.97,649.28,0.07,894.64,0,983.23,324.429999999999,2.4,674.28,739.25,894.71,983.23,1,0,1,1,0,0,0
NV,2018-2019,2,2280,Clark,John C. Bass Elementary,3200060,3200060,29500200100000.0,320006000506.0,664.0,PK-05,2.0,664,Student Count,9194.75,533.27,9728.02,6105314,354091.279999999,6459405.28,9997.848825,252.2,281.07,8063.39,1131.36,8315.59,1412.43,5742.59,420.159999999999,209.2,210.96,70.14,210.48,0,0.67,1.73,709.25,136.58,5606.01,115.55,771.11,0.07,679.35,0,1006.92,280.62,0.67,710.98,886.66,679.42,1006.92,1,0,1,1,0,0,0
NV,2018-2019,2,2111,Clark,John Dooley Elementary School,3200060,3200060,29500200100000.0,320006000356.0,442.0,PK-05,2.0,442,Student Count,10144.39,420.45,10564.84,4483820.38,185838.9,4669659.28,10834.66882,224.359999999999,196.09,8930.52,1213.87,9154.88,1409.95999999999,6404.7,365.71,125.6,240.11,70.14,176.99,0,0.56,0.35,796.21,88.94,6315.76,135.38,837.76,0.04,672.96,0,1104.04,247.13,0.56,796.56,973.14,673,1104.04,1,0,1,1,0,0,0
NV,2018-2019,2,2112,Clark,John F Mendoza Elementary School,3200060,3200060,29500200100000.0,320006000357.0,815.0,PK-05,2.0,815,Student Count,8426.34,939.38,9365.72,6867467.1,765594.7,7633061.8,9635.548825,680.91,258.469999999999,7232.41,1193.93,7913.32,1452.4,5744.1,436.2,164.35,271.85,87.74,131.01,0,0.55,6.38,790.52,512.71,5231.39,168.13,642.75,0.07,524.44,0,833.83,218.75,0.55,796.9,810.88,524.51,833.83,1,0,1,1,0,0,0
NV,2018-2019,2,2215,Clark,John F Miller School,3200060,3200060,29500200100000.0,320006000384.0,131.0,PK-12,4.0,131,Student Count,38614.16,6824.91,45439.07,5058454.96,894063.21,5952518.17,45708.89882,6140.38,684.53,35776.39,2837.77,41916.77,3522.29999999999,32845.48,1177.63,325.12,852.51,358.89,207.41,0,1.36,0.52,1776.49,5612.6,27232.88,527.74,3442.9,0.04,36.87,0,5063.74,566.3,1.36,1777.01,3970.64,36.91,5063.74,1,0,1,1,0,0,0
NV,2018-2019,2,2187,Clark,John R Hummel Elementary,3200060,3200060,29500200100000.0,320006000580.0,711.0,PK-05,2.0,711,Student Count,8275.64,522.47,8798.10999999999,5883980.04,371476.17,6255456.20999999,9067.938825,352.04,170.43,7280.78,994.86,7632.82,1165.29,5338.12,244.709999999999,93.27,151.44,75.41,190.77,0,2.49,1.75,650.16,221.32,5116.8,130.65,660.06,0.07,656.08,0,847.84,266.18,2.49,651.91,790.709999999999,656.15,847.84,1,0,1,1,0,0,0
NV,2018-2019,2,2216,Clark,John S Park Elementary School,3200060,3200060,29500200100000.0,320006000061.0,741.0,PK-05,2.0,741,Student Count,9410.58,763.43,10174.01,6973239.78,565701.63,7538941.41,10443.83882,533.22,230.21,8118.41,1292.16999999999,8651.63,1522.37999999999,6354.83,533.48,161.18,372.3,67.3,125.06,0,1.36,1.73,793.45,412.32,5942.51,120.83,441.54,0.07,732.32,0,1002.04,192.36,1.36,795.18,562.37,732.39,1002.04,1,0,1,1,0,0,0
NV,2018-2019,2,2191,Clark,John Tartan Elementary,3200060,3200060,29500200100000.0,320006000652.0,533.0,PK-05,2.0,533,Student Count,9830.08,942.36,10772.44,5239432.64,502277.88,5741710.52,11042.26882,706.73,235.63,8550.44,1279.64,9257.17,1515.27,5948.83,309.07,95.84,213.23,138.05,158.24,0,1.43,1.74,906.74,280.48,5668.35,426.18,912.5,0.07,885.62,0,1083.97,296.29,1.43,908.48,1338.68,885.69,1083.97,1,0,1,1,0,0,0
NV,2018-2019,2,2154,Clark,John Vanderburg Elementary School,3200060,3200060,29500200100000.0,320006000440.0,951.0,PK-05,2.0,951,Student Count,8269.99,231.39,8501.38,7864760.49,220051.889999999,8084812.37999999,8771.208825,168.619999999999,62.77,7168.32,1101.67,7336.94,1164.43999999999,5438.16,180.87,15.6,165.27,46.83,480.06,0,1.81,0.34,454.53,67.36,5370.8,101.22,510.82,0.04,453.89,0,832.81,526.89,1.81,454.869999999999,612.04,453.93,832.81,1,0,1,1,0,0,0
NV,2018-2019,2,2157,Clark,John W. Bonner Elementary,3200060,3200060,29500200100000.0,320006000454.0,869.0,PK-05,2.0,869,Student Count,7729.64999999999,159.959999999999,7889.60999999999,6717065.84999999,139005.24,6856071.08999999,8159.438825,118.679999999999,41.28,6697.88,1031.77,6816.56,1073.05,5390.9,119.06,11.91,107.15,29.05,373.08,0,0.9,0.32,550.64,51.54,5339.36,67.1,373.98,0.04,393.26,0,591.28,402.13,0.9,550.96,441.08,393.3,591.28,1,0,1,1,0,0,0
NV,2018-2019,2,2159,Clark,"Joseph L. Bowler, Sr  Elementary",3200060,3200060,29500200100000.0,320006000456.0,535.0,PK-05,2.0,535,Student Count,10033.8499999999,918.85,10952.6999999999,5368109.74999999,491584.75,5859694.49999999,11222.52882,709.82,209.03,8631.36,1402.49,9341.18,1611.52,6608.88,488.37,123.19,365.18,84.11,177.66,0,0.99,1.73,858.66,542.08,6066.8,167.67,789.05,0.07,620.79,0,1154.72,261.77,0.99,860.39,956.719999999999,620.86,1154.72,1,0,1,1,0,0,0
NV,2018-2019,2,2170,Clark,Joseph M Neal Elementary,3200060,3200060,29500200100000.0,320006000487.0,634.0,PK-05,2.0,634,Student Count,8635.31,376.57,9011.88,5474786.54,238745.38,5713531.92,9281.708825,177.53,199.04,7557.95999999999,1077.35,7735.49,1276.38999999999,5326.98,335.5,145.79,189.71,52.91,155.82,0,0.76,0.34,731.06,77.18,5249.8,100.31,715.77,0.04,738.15,0,854.24,208.73,0.76,731.4,816.079999999999,738.189999999999,854.24,1,0,1,1,0,0,0
