state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_KS,enrollmetric,pp_stloc_raw_KS,pp_fed_raw_KS,pp_total_raw_KS,schoolstloc_raw_KS,schoolfed_raw_KS,schooltot_raw_KS,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
KS,2018-2019,D0474,7574,Haviland,Haviland Elem,2006990,2006990,17504900600000.0,200699001253,86.0,PK-08,3.0,79,September Count Day,15703,2420,18122,1240508,191150,1431658,,1,0,1,0,1,1,1
KS,2018-2019,D0489,7954,Hays,Hays High,2007020,2007020,17502601100000.0,200702001322,918.0,09-12,4.0,910.9,September Count Day,10635,1698,12333,9687115,1546867,11233982,13144.09381,1,0,1,0,1,0,0
KS,2018-2019,D0489,7952,Hays,Hays Middle School,2007020,2007020,17502601100000.0,200702001321,679.0,06-08,3.0,679.2,September Count Day,10637,1699,12336,7224849,1153685,8378534,13146.99472,1,0,1,0,1,0,0
KS,2018-2019,D0489,7956,Hays,Kathryn O'Loughlin McCarthy Elem,2007020,2007020,17502601100000.0,200702001680,383.0,KG-05,2.0,383,September Count Day,10640,1699,12339,4075132,650729,4725861,13149.89562,1,0,1,0,1,0,0
KS,2018-2019,D0489,7946,Hays,Lincoln Elem,2007020,2007020,17502601100000.0,200702001318,341.0,PK-05,2.0,302.2,September Count Day,10641,1699,12341,3215818,513511,3729329,13151.82956,1,0,1,0,1,0,0
KS,2018-2019,D0489,7959,Hays,Roosevelt Elem,2007020,2007020,17502601100000.0,200702001324,421.0,KG-05,2.0,416,September Count Day,10617,1699,12315,4416468,706672,5123140,13126.68838,1,0,1,0,1,0,0
KS,2018-2019,D0489,7950,Hays,Woodrow Wilson Elem,2007020,2007020,17502601100000.0,200702001320,397.0,KG-05,2.0,396,September Count Day,10633,1698,12331,4210640,672367,4883007,13142.15988,1,0,1,0,1,0,0
KS,2018-2019,D0261,1956,Haysville,Campus High Haysville,2007050,2007050,17508701400000.0,200705000362,1838.0,09-12,4.0,1828.4,September Count Day,6610,2213,8823,12085477,4046567,16132044,9700.617684,1,0,1,0,1,0,0
KS,2018-2019,D0261,1960,Haysville,Freeman Elem,2007050,2007050,17508701400000.0,200705001634,327.0,PK-05,2.0,306.5,September Count Day,8112,3041,11153,2486255,932217,3418472,11953.6539,1,0,1,0,1,0,0
KS,2018-2019,D0261,1958,Haysville,Haysville Middle School,2007050,2007050,17508701400000.0,200705000363,748.0,06-08,3.0,746,September Count Day,7137,2653,9790,5324355,1978886,7303241,10635.67606,1,0,1,0,1,0,0
KS,2018-2019,D0261,1955,Haysville,Haysville West Middle School,2007050,2007050,17508701400000.0,200705001906,599.0,06-08,3.0,587.2,September Count Day,8690,1966,10656,5102653,1154350,6257003,11473.07064,1,0,1,0,1,0,0
KS,2018-2019,D0261,1964,Haysville,Nelson Elem,2007050,2007050,17508701400000.0,200705000364,472.0,PK-05,2.0,443,September Count Day,7448,3595,11042,3299395,1592411,4891806,11846.32042,1,0,1,0,1,1,0
KS,2018-2019,D0261,1966,Haysville,Oatville Elem,2007050,2007050,17508701400000.0,200705000365,411.0,PK-05,2.0,390.5,September Count Day,7223,2802,10025,2820563,1094291,3914854,10862.91362,1,0,1,0,1,0,0
KS,2018-2019,D0261,1961,Haysville,Prairie Elementary School,2007050,2007050,17508701400000.0,200705001876,468.0,PK-05,2.0,465.1,September Count Day,7256,2787,10043,3374805,1296347,4671152,10880.31905,1,0,1,0,1,0,0
KS,2018-2019,D0261,1968,Haysville,Rex Elem,2007050,2007050,17508701400000.0,200705000366,551.0,PK-05,2.0,530,September Count Day,6146,2139,8285,3257326,1133904,4391230,9180.38872,1,0,1,0,1,0,0
KS,2018-2019,D0261,1965,Haysville,Ruth Clark Elementary K-5,2007050,2007050,17508701400000.0,200705001725,397.0,PK-05,2.0,360,September Count Day,7868,2717,10585,2832638,978113,3810751,11404.41589,1,0,1,0,1,0,0
KS,2018-2019,D0468,7402,Healy Public Schools,Healy Elem,2007080,2007080,17505100700000.0,200708001225,35.0,PK-05,2.0,28,September Count Day,7528,5443,12971,210794,152407,363201,,1,0,1,0,1,1,1
KS,2018-2019,D0468,7404,Healy Public Schools,Healy High,2007080,2007080,17505100700000.0,200708001226,25.0,06-12,4.0,24,September Count Day,10144,5410,15553,243450,129829,373279,,1,0,1,0,1,1,1
KS,2018-2019,D0487,7888,Herington,Herington Elem,2007110,2007110,17502101400000.0,200711001307,228.0,PK-05,2.0,189,September Count Day,10523,2260,12783,1988826,427173,2415999,12393.77072,1,0,1,0,1,0,0
KS,2018-2019,D0487,7892,Herington,Herington High,2007110,2007110,17502101400000.0,200711001309,142.0,09-12,4.0,141.7,September Count Day,17653,994,18647,2501443,140851,2642294,18064.07304,1,0,1,0,1,0,0
KS,2018-2019,D0487,7890,Herington,Herington Middle Sch,2007110,2007110,17502101400000.0,200711001308,114.0,06-08,3.0,114,September Count Day,9787,408,10194,1115665,46483,1162148,9890.289699,1,0,1,0,1,0,0
KS,2018-2019,D0460,7206,Hesston,Hesston Elem,2007170,2007170,17504001300000.0,200717001192,326.0,PK-04,2.0,322.5,September Count Day,7892,486,8378,2545161,156738,2701899,8949.100155,1,0,1,0,1,0,0
KS,2018-2019,D0460,7210,Hesston,Hesston High,2007170,2007170,17504001300000.0,200717001194,263.0,09-12,4.0,263,September Count Day,10226,258,10484,2689552,67849,2757401,10985.53547,1,0,1,0,1,0,0
KS,2018-2019,D0460,7208,Hesston,Hesston Middle,2007170,2007170,17504001300000.0,200717001193,253.0,05-08,3.0,252.1,September Count Day,8336,270,8605,2101475,67958,2169433,9168.601967,1,0,1,0,1,0,0
KS,2018-2019,D0415,5936,Hiawatha,Hiawatha Elem,2000006,2000006,17500701800000.0,200000600975,422.0,PK-04,2.0,400,September Count Day,9229,748,9977,3691531,299298,3990829,10233.59096,1,0,1,0,1,0,0
KS,2018-2019,D0415,5950,Hiawatha,Hiawatha Middle School,2000006,2000006,17500701800000.0,200000601728,299.0,05-08,3.0,299,September Count Day,9705,595,10301,2901925,178040,3079965,10546.8887,1,0,1,0,1,0,0
