state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_VT,enrollmetric,pp_stloc_raw_VT,pp_fed_raw_VT,pp_total_raw_VT,schoolstloc_raw_VT,schoolfed_raw_VT,schooltot_raw_VT,pp_total_norm_NERDS,su_id_raw_VT,su_name_raw_VT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
VT,2018-2019,U052,PS300,Mill River Unified School District,TINMOUTH ELEMENTARY SCHOOL,5000393.0,5000393,46501190400000.0,500039300326,63.0,PK-06,2.0,48,October Count Day,18308,787,19095,878784,37776,916560,,SU033,MILL RIVER UNIFIED UNION SUPERVISORY DISTRICT,1,0,1,0,0,0,1
VT,2018-2019,U052,PS317,Mill River Unified School District,WALLINGFORD VILLAGE SCHOOL,5000393.0,5000393,46501190400000.0,500039300358,159.0,PK-06,2.0,132,October Count Day,11828,509,12337,1561296,67188,1628484,,SU033,MILL RIVER UNIFIED UNION SUPERVISORY DISTRICT,1,0,1,0,0,0,1
VT,2018-2019,T126,PS140,Milton Incorporated School District,MILTON ELEMENTARY SCHOOL,5005610.0,5005610,46500400200000.0,500561000437,833.0,PK-05,2.0,644,October Count Day,12069,574,12643,7772436,369656,8142092,,SU010,MILTON SD,1,0,1,0,0,0,1
VT,2018-2019,T126,PS186,Milton Incorporated School District,MILTON HIGH SCHOOL,5005610.0,5005610,46500400200000.0,500561000125,474.0,09-12,4.0,474,October Count Day,11174,532,11706,5296476,252168,5548644,,SU010,MILTON SD,1,0,1,0,0,0,1
VT,2018-2019,T126,PS185,Milton Incorporated School District,MILTON MIDDLE SCHOOL,5005610.0,5005610,46500400200000.0,500561000193,341.0,06-08,3.0,341,October Count Day,9915,472,10387,3381015,160952,3541967,,SU010,MILTON SD,1,0,1,0,0,0,1
VT,2018-2019,U089,PS115,Missisquoi Valley School District #89,FRANKLIN ELEMENTARY SCHOOL,5004110.0,5000433,46500600700000.0,500043300135,,PK-06,2.0,117,October Count Day,9730,0,9730,1138410,0,1138410,12567.43056,SU021,MISSISQUOI VALLEY SCHOOL DISTRICT,1,0,1,0,0,0,0
VT,2018-2019,U089,PS142,Missisquoi Valley School District #89,HIGHGATE ELEMENTARY SCHOOL,5004650.0,5000433,46500600900000.0,500043300434,,PK-06,2.0,276,October Count Day,13781,0,13781,3803556,0,3803556,16529.19481,SU021,MISSISQUOI VALLEY SCHOOL DISTRICT,1,0,1,0,0,0,0
VT,2018-2019,U089,PS187,Missisquoi Valley School District #89,MISSISQUOI VALLEY UHS #7,5005620.0,5000433,46500650100000.0,500043300195,,07-12,4.0,795,October Count Day,13481,0,13481,10717395,0,10717395,16349.48578,SU021,MISSISQUOI VALLEY SCHOOL DISTRICT,1,0,1,0,0,0,0
VT,2018-2019,U089,PS295,Missisquoi Valley School District #89,SWANTON SCHOOLS,5007980.0,5000433,46500601500000.0,500043300049,,PK-06,2.0,525,October Count Day,11901,0,11901,6248025,0,6248025,14201.87386,SU021,MISSISQUOI VALLEY SCHOOL DISTRICT,1,0,1,0,0,0,0
VT,2018-2019,U071,PS173,Montpelier Roxbury Unified Union School District,MAIN STREET MIDDLE SCHOOL,5000410.0,5000410,46501280600000.0,500041000200,366.0,05-08,3.0,366,October Count Day,10424,337,10761,3815184,123342,3938526,,SU069,MONTPELIER-ROXBURY SD,1,0,1,0,0,0,1
VT,2018-2019,U071,PS191,Montpelier Roxbury Unified Union School District,MONTPELIER HIGH SCHOOL,5000410.0,5000410,46501280600000.0,500041000199,315.0,09-12,4.0,315,October Count Day,14736,477,15213,4641840,150255,4792095,,SU069,MONTPELIER-ROXBURY SD,1,0,1,0,0,0,1
VT,2018-2019,U071,PS250,Montpelier Roxbury Unified Union School District,ROXBURY VILLAGE SCHOOL,5000410.0,5000410,46501280600000.0,500041000265,43.0,PK-04,2.0,31,October Count Day,27364,885,28249,848284,27435,875719,,SU069,MONTPELIER-ROXBURY SD,1,0,1,0,0,0,1
VT,2018-2019,U071,PS308,Montpelier Roxbury Unified Union School District,UNION ELEMENTARY SCHOOL,5000410.0,5000410,46501280600000.0,500041000201,534.0,PK-04,2.0,401,October Count Day,12230,395,12625,4904230,158395,5062625,,SU069,MONTPELIER-ROXBURY SD,1,0,1,0,0,0,1
VT,2018-2019,U014,PS196,Mount Anthony UHSD #14,MT ANTHONY SR UHS #14,5005810.0,5005810,46500280100000.0,500581000208,860.0,09-12,4.0,860,October Count Day,12030,0,12030,10345800,0,10345800,13133.19331,SU005,SOUTHWEST VERMONT SU,1,0,1,0,0,0,0
