state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_RI,enrollmetric,pp_stloc_raw_RI,pp_fed_raw_RI,pp_total_raw_RI,schoolstloc_raw_RI,schoolfed_raw_RI,schooltot_raw_RI,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
RI,2018-2019,28,28195,Providence,360 High School,4400900,4400900,40200400430100.0,440090000492.0,234.0,09-12,4.0,226.261111111111,ADM,13406.24,209.02,17901.517295205,3033310.75822222,47293.0974444444,4050417.19378787,16685.1925,0,0,1,0,0,0,0
RI,2018-2019,28,28178,Providence,Academy for Career Exploration (ACES),4400900,4400900,40200400430100.0,440090000055.0,209.0,09-12,4.0,190.088888888888,ADM,12947,706.66,17939.927295205,2461080.84444444,134328.214222222,3410180.84629298,16723.6025,0,0,1,0,0,0,0
RI,2018-2019,28,28116,Providence,Alan Shawn Feinstein Elementary at Broad Street,4400900,4400900,40200400430100.0,440090000215.0,469.0,KG-05,2.0,475.311111111111,ADM,9464.75,1089.51,14840.527295205,4498700.83888888,517856.208666666,7053867.5181587,13624.2025,0,0,1,0,0,0,0
RI,2018-2019,28,28121,Providence,"Alfred Lima, Sr. Elementary School",4400900,4400900,40200400430100.0,440090000124.0,499.0,02-05,2.0,503.088888888888,ADM,12633.24,894.1,17813.597295205,6355642.67466666,449811.775555555,8961822.87035884,16597.2725,0,0,1,0,0,0,0
RI,2018-2019,28,28181,Providence,Anthony Carnevale Elementary School,4400900,4400900,40200400430100.0,440090000162.0,550.0,PK-05,2.0,519.961111111111,ADM,20016.88,1599.55,25902.687295205,10407999.1657777,831703.795277777,13468390.0667785,24686.3625,0,0,1,0,0,0,0
RI,2018-2019,28,28115,Providence,Asa Messer Elementary School,4400900,4400900,40200400430100.0,440090000213.0,545.0,PK-04,2.0,506.772222222222,ADM,13812.99,1140.54,19239.797295205,7000039.63783333,577993.990333333,9750194.83039618,18023.4725,0,0,1,0,0,0,0
RI,2018-2019,28,28140,Providence,Carl G. Lauro Elementary School,4400900,4400900,40200400430100.0,440090000227.0,822.0,KG-05,2.0,815.577777777777,ADM,13510.98,1170.63,18967.857295205,11019255.044,954739.814,15469762.9020293,17751.5325,0,0,1,0,0,0,0
RI,2018-2019,28,28139,Providence,Central High School,4400900,4400900,40200400430100.0,440090000217.0,1203.0,09-12,4.0,1182.55,ADM,13585.37,552.19,18423.807295205,16065379.2935,652992.2845,21787073.3169447,17207.4825,0,0,1,0,0,0,0
RI,2018-2019,28,28122,Providence,Charles N. Fortes Elementary School,4400900,4400900,40200400430100.0,440090000133.0,370.0,PK-01,1.0,264.477777777777,ADM,17401.47,1058.72,22746.447295205,4602302.11566666,280007.912888888,6015929.83297518,21530.1225,0,0,1,0,0,1,0
RI,2018-2019,28,28164,Providence,Classical High School,4400900,4400900,40200400430100.0,440090000218.0,1087.0,09-12,4.0,1074.93333333333,ADM,11470.71,221.69,15978.657295205,12330248.536,238301.970666666,17175991.3485257,14762.3325,0,0,1,0,0,0,0
RI,2018-2019,28,28113,Providence,Dr. Jorge Alvarez High School,4400900,4400900,40200400430100.0,440090000344.0,755.0,09-12,4.0,758.788888888888,ADM,10682.44,303.72,15272.417295205,8105716.77822222,230459.361333333,11588540.5500761,14056.0925,0,0,1,0,0,0,0
RI,2018-2019,28,28163,Providence,"Dr. Martin Luther King, Jr. Elementary School",4400900,4400900,40200400430100.0,440090000230.0,501.0,KG-05,2.0,480.433333333333,ADM,13492.72,2146.06,19925.037295205,6482352.44533333,1031038.75933333,9572652.08452636,18708.7125,0,0,1,0,0,0,0
RI,2018-2019,28,28187,Providence,E-Cubed Academy,4400900,4400900,40200400430100.0,440090000323.0,370.0,09-12,4.0,373.222222222222,ADM,15701.77,374.85,20362.877295205,5860249.49222222,139902.35,7599878.31495487,19146.5525,0,0,1,0,0,0,0
RI,2018-2019,28,28137,Providence,Esek Hopkins Middle School,4400900,4400900,40200400430100.0,440090000401.0,552.0,06-08,3.0,559.083333333333,ADM,14581.39,601.58,19469.227295205,8152212.12583333,336333.351666666,10884920.4936275,18252.9025,0,0,1,0,0,0,0
RI,2018-2019,28,28196,Providence,Evolutions High School,4400900,4400900,40200400430100.0,440090000497.0,244.0,09-12,4.0,241.344444444444,ADM,10948.75,183.3,15418.307295205,2642419.98611111,44238.4366666666,3721122.80843499,14201.9825,0,0,1,0,0,0,0
RI,2018-2019,28,28134,Providence,Frank D. Spaziano Elementary School,4400900,4400900,40200400430100.0,440090000228.0,398.0,02-05,2.0,392.194444444444,ADM,12665.36,922.93,17874.547295205,4967283.82888888,361968.018611111,7010298.1461389,16658.2225,0,0,1,0,0,0,0
RI,2018-2019,28,28106,Providence,Frank D. Spaziano Elementary School Annex,4400900,4400900,40200400430100.0,440090000093.0,173.0,KG-01,1.0,177.605555555555,ADM,11453.83,1293.3,17033.387295205,2034263.84038888,229697.264999999,3025224.21355784,15817.0625,0,0,1,0,0,0,0
RI,2018-2019,28,28135,Providence,George J. West Elementary School,4400900,4400900,40200400430100.0,440090000222.0,730.0,KG-05,2.0,723.372222222222,ADM,11284.56,979.84,16550.657295205,8162937.244,708789.038222222,11972285.7468709,15334.3325,0,0,1,0,0,0,0
RI,2018-2019,28,28144,Providence,Gilbert Stuart Middle School,4400900,4400900,40200400430100.0,440090000223.0,907.0,06-08,3.0,917.144444444444,ADM,12212.73,443.22,16942.207295205,11200837.4709999,406496.760666666,15538451.2974234,15725.8825,0,0,1,0,0,0,0
RI,2018-2019,28,28182,Providence,Governor Christopher DelSesto Middle School,4400900,4400900,40200400430100.0,440090000175.0,902.0,06-08,3.0,895.855555555555,ADM,13160.92,649.79,18096.967295205,11790283.2982222,582117.981444444,16212268.6901166,16880.6425,0,0,1,0,0,0,0
RI,2018-2019,28,28161,Providence,Harry Kizirian Elementary School,4400900,4400900,40200400430100.0,440090000216.0,574.0,KG-05,2.0,581.477777777777,ADM,10946.57,1059.78,16292.617295205,6365187.19788888,616238.519333333,9473794.89899964,15076.2925,0,0,1,0,0,0,0
RI,2018-2019,28,28149,Providence,Hope High School,4400900,4400900,40200400430100.0,440090000224.0,999.0,09-12,4.0,991.477777777777,ADM,15052.27,396.28,19734.807295205,14923991.2101111,392902.813777777,19566622.8819226,18518.4825,0,0,1,0,0,0,0
RI,2018-2019,28,28103,Providence,Leviton Dual Language School,4400900,4400900,40200400430100.0,440090000237.0,271.0,KG-05,2.0,270.077777777777,ADM,13830.89,1318.09,19435.237295205,3735416.03588888,355986.818111111,5249025.69927277,18218.9125,0,0,1,0,0,0,0
RI,2018-2019,28,28157,Providence,"Lillian Feinstein Elementary, Sackett Street",4400900,4400900,40200400430100.0,440090000243.0,439.0,KG-05,2.0,451.95,ADM,11963.55,1180.35,17430.157295205,5406926.4225,533459.1825,7877559.58956794,16213.8325,0,0,1,0,0,0,0
RI,2018-2019,28,28160,Providence,Mary E. Fogarty Elementary School,4400900,4400900,40200400430100.0,440090000231.0,455.0,KG-05,2.0,468.522222222222,ADM,12416.35,1313.66,18016.267295205,5817335.89388888,615478.902444444,8441021.58929903,16799.9425,0,0,1,0,0,0,0
RI,2018-2019,28,28150,Providence,Mount Pleasant High School,4400900,4400900,40200400430100.0,440090000232.0,921.0,09-12,4.0,892.372222222222,ADM,18240.7,874.71,23401.667295205,16277493.9938888,780566.9065,20882997.8479272,22185.3425,0,0,1,0,0,0,0
RI,2018-2019,28,28143,Providence,Nathan Bishop Middle School,4400900,4400900,40200400430100.0,440090000474.0,689.0,06-08,3.0,697.961111111111,ADM,16862.16,615.09,21763.507295205,11769131.9293333,429308.899833333,15190081.7334361,20547.1825,0,0,1,0,0,0,0
RI,2018-2019,28,28145,Providence,Nathanael Greene Middle School,4400900,4400900,40200400430100.0,440090000234.0,976.0,06-08,3.0,987.411111111111,ADM,12838.39,507.39,17632.037295205,12676768.9347777,501002.523666666,17410069.536811,16415.7125,0,0,1,0,0,0,0
RI,2018-2019,28,28165,Providence,Pleasant View School,4400900,4400900,40200400430100.0,440090000236.0,429.0,PK-05,2.0,294.227777777777,ADM,22334.41,2833.74,29454.407295205,6571403.82227777,833765.022999999,8666304.80422976,28238.0825,0,0,1,0,0,1,0
RI,2018-2019,28,28193,Providence,Providence Career and Technical Academy,4400900,4400900,40200400430100.0,440090000467.0,662.0,09-12,4.0,652.766666666666,ADM,19851.54,1249.59,25387.387295205,12958423.594,815690.698999999,16572040.1800667,24171.0625,0,0,1,0,0,0,0
RI,2018-2019,28,28142,Providence,Reservoir Avenue School,4400900,4400900,40200400430100.0,440090000240.0,285.0,KG-05,2.0,288.144444444444,ADM,11427.41,1396.26,17109.937295205,3292744.70588888,402324.562,4930133.37640615,15893.6125,0,0,1,0,0,0,0
RI,2018-2019,28,28138,Providence,Robert F. Kennedy Elementary School,4400900,4400900,40200400430100.0,440090000241.0,475.0,PK-05,2.0,459.488888888888,ADM,11046.13,1547.74,16880.127295205,5075574.00022222,711169.332888888,7756230.93517679,15663.8025,0,0,1,0,0,0,0
RI,2018-2019,28,28156,Providence,"Robert L Bailey IV, Elementary School",4400900,4400900,40200400430100.0,440090000071.0,386.0,KG-05,2.0,392.611111111111,ADM,18232.39,1399.12,23917.767295205,7158238.89611111,549310.057777777,9390381.19306746,22701.4425,0,0,1,0,0,0,0
RI,2018-2019,28,28147,Providence,Roger Williams Middle School,4400900,4400900,40200400430100.0,440090000242.0,789.0,06-08,3.0,775.3,ADM,14073.51,734.59,19094.357295205,10911192.303,569527.627,14803855.2109725,17878.0325,0,0,1,0,0,0,0
RI,2018-2019,28,28162,Providence,"The Sgt. Cornel Young, Jr & Charlotte Woods Elementary School @ The B. Jae Clanton Complex",4400900,4400900,40200400430100.0,440090000156.0,636.0,KG-05,2.0,648.744444444444,ADM,11951.28,1311.68,17549.217295205,7753326.504,850945.112888889,11384957.2246126,16332.8925,0,0,1,0,0,0,0
RI,2018-2019,28,28170,Providence,Times2 Academy,4400900,4400900,40200400430100.0,440090000157.0,,,,727.138888888888,ADM,12099.6319227648,,16385.7413078389,8798112.91228372,,11914709.7282028,15169.41651,0,0,1,0,0,0,0
