state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NC,enrollmetric,pp_stloc_raw_NC,pp_fed_raw_NC,pp_total_raw_NC,pp_centshare_stloc_raw_NC,pp_centshare_fed_raw_NC,pp_centshare_raw_NC,schoolstloc_raw_NC,schoolfed_raw_NC,schooltot_raw_NC,pp_total_norm_NERDS,ppsalariesst_raw_NC,ppempbenefitsst_raw_NC,pppurchservicesst_raw_NC,ppsupmaterialsst_raw_NC,ppinstrequipst_raw_NC,ppotherst_raw_NC,ppcentst_raw_NC,pptotst_raw_NC,ppsalariesfed_raw_NC,ppempbenefitsfed_raw_NC,pppurchservicesfed_raw_NC,ppsupmaterialsfed_raw_NC,ppinstrequipfed_raw_NC,ppotherfed_raw_NC,ppsalariesloc_raw_NC,ppempbenefitsloc_raw_NC,pppurchservicesloc_raw_NC,ppsupmaterialsloc_raw_NC,ppinstrequiploc_raw_NC,ppotherloc_raw_NC,ppcentloc_raw_NC,pptotloc_raw_NC,pptotsalaries_raw_NC,pptotempbenefits_raw_NC,pptotpurchservices_raw_NC,pptotsupmaterials_raw_NC,pptotinstrequipfed_raw_NC,pptotother_raw_NC,pp_site_stloc_difference_NC,pp_site_fed_difference_NC,pp_site_difference_NC,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NC,2018-2019,60M,60M000,Corvian Community School,Corvian Community School,3700327,3700327,,370032703258,996.0,KG-10,4.0,984,ADM,8246.14,127.32,8373.46,,,,8114201.76,125282.879999999,8239484.63999999,,,,,,,,,5950.41,,,,,,,,,,,,,,2295.73,,,,,,,,,,0,0,0,0,0,1,1
NC,2018-2019,250,250304,Craven County Schools,Albert H Bangert Elementary,3703310,3703310,34102502530100.0,370331000380,440.0,KG-05,2.0,442,ADM,9008.64,1583.3,10591.94,0,0,0,3981818.88,699818.6,4681637.48,10867.23392,4900.61,1876.55,159.07,128.57,56.08,0,0,7120.88,734.82,255.37,85.16,491,16.95,0,753.4,254.53,545.96,333.75,0.12,0,0,1887.76,6388.83,2386.45,790.19,953.32,73.15,0,9008.64,1583.3,10591.94,0,0,0,0,0,0,0
NC,2018-2019,250,250380,Craven County Schools,Arthur W Edwards Elementary,3703310,3703310,34102502530100.0,370331002181,625.0,KG-05,2.0,610,ADM,8760.75,1096.12,9856.87,0,0,0,5344057.5,668633.2,6012690.7,10132.16392,4355.98,1600.44,243.36,128.16,56.08,0,0,6384.02,425.27,159.84,152.51,346.74,11.76,0,744.32,249.44,398.44,984.12,0.41,0,0,2376.73,5525.57,2009.72,794.31,1459.02,68.25,0,8760.75,1096.12,9856.87,0,0,0,0,0,0,0
NC,2018-2019,250,250306,Craven County Schools,Ben D Quinn Elementary,3703310,3703310,34102502530100.0,370331002310,441.0,PK-05,2.0,432,ADM,9429.86999999999,1385.55,10815.42,0,0,0,4073703.83999999,598557.6,4672261.44,11090.71392,5268.64,1939.23,156.63,128.5,56.08,0,0,7549.08,639.41,264.42,83.08,370.13,28.51,0,770.22,259.11,567.49,284.49,-0.52,0,0,1880.79,6678.27,2462.76,807.2,783.12,84.07,0,9429.86999999999,1385.55,10815.42,0,0,0,0,0,0,0
NC,2018-2019,250,250308,Craven County Schools,Bridgeton Elementary,3703310,3703310,34102502530100.0,370331000381,370.0,PK-05,2.0,356,ADM,9919.77,-1566.19,8353.58,0,0,0,3531438.12,-557563.64,2973874.48,8628.873923,5189.62,1860.83,164.01,128.87,84.4,0,0,7427.73,587.72,218.65,89.75,-2474.54,12.23,0,986.34,334.14,618.42,552.76,0.38,0,0,2492.04,6763.68,2413.62,872.18,-1792.91,97.01,0,9919.77,-1566.19,8353.58,0,0,0,0,0,0,0
NC,2018-2019,250,250312,Craven County Schools,Brinson Memorial Elementary,3703310,3703310,34102502530100.0,370331002171,592.0,KG-05,2.0,597,ADM,9628.63,1379.28,11007.91,0,0,0,5748292.11,823430.16,6571722.27,11283.20392,5103.66,1877.06,248.65,127.93,56.08,0,0,7413.38,607.8,239.12,79.87,430.17,22.32,0,790.47,258.08,472.73,694.15,-0.18,0,0,2215.25,6501.93,2374.26,801.25,1252.25,78.22,0,9628.63,1379.28,11007.91,0,0,0,0,0,0,0
NC,2018-2019,250,250314,Craven County Schools,Craven Early College High,3703310,3703310,34102502530100.0,370331002843,218.0,09-13,0.0,214,ADM,7187.53,227.89,7415.42,0,0,0,1538131.42,48768.46,1586899.88,7690.713923,3537.75,1331.53,220.1,538.83,56.08,0,0,5684.29,93.92,34.33,71.33,28.15,0.16,0,744.88,253.02,191.95,312.34,1.05,0,0,1503.24,4376.55,1618.88,483.38,879.32,57.29,0,7187.53,227.89,7415.42,0,0,0,0,0,0,0
NC,2018-2019,250,250316,Craven County Schools,Creekside Elementary,3703310,3703310,34102502530100.0,370331002980,517.0,KG-05,2.0,520,ADM,8265.24,851.84,9117.08,0,0,0,4297924.8,442956.8,4740881.6,9392.373923,4341.31,1536.63,235.02,169.84,56.08,0,0,6338.88,362.64,141.44,79.36,233.8,34.6,0,848.48,304.72,476.61,297.41,-0.86,0,0,1926.36,5552.43,1982.79,790.99,701.05,89.82,0,8265.24,851.84,9117.08,0,0,0,0,0,0,0
NC,2018-2019,250,250321,Craven County Schools,Early College EAST High,3703310,3703310,34102502530100.0,370331003127,188.0,09-13,0.0,185,ADM,7288.79,242.08,7530.87,0,0,0,1348426.15,44784.8,1393210.95,7806.163923,3615.8,1276.4,184.65,649.48,56.08,0,0,5782.41,98.47,43.91,71.33,28.21,0.16,0,737.22,247.85,198.14,322.12,1.05,0,0,1506.38,4451.49,1568.16,454.12,999.81,57.29,0,7288.79,242.08,7530.87,0,0,0,0,0,0,0
NC,2018-2019,250,250328,Craven County Schools,Graham A Barden Elementary,3703310,3703310,34102502530100.0,370331000382,285.0,PK-05,2.0,272,ADM,10103.17,1529.02,11632.19,0,0,0,2748062.24,415893.44,3163955.68,11907.48392,5205.96,1837.47,156.63,130.46,56.08,0,0,7386.6,637.72,188.76,81.57,579.33,41.64,0,925.11,314.38,632.37,845.96,-1.25,0,0,2716.57,6768.79,2340.61,870.57,1555.75,96.47,0,10103.17,1529.02,11632.19,0,0,0,0,0,0,0
NC,2018-2019,250,250324,Craven County Schools,Grover C Fields Middle,3703310,3703310,34102502530100.0,370331002311,588.0,06-08,3.0,587,ADM,8665.74,1127.41,9793.15,0,0,0,5086789.38,661789.67,5748579.05,10068.44392,4354.1,1549.51,223.03,157.44,56.08,0,0,6340.16,560.46,221.78,78.35,248.62,18.2,0,1061.75,367.77,450.52,445.49,0.05,0,0,2325.58,5976.31,2139.06,751.9,851.55,74.33,0,8665.74,1127.41,9793.15,0,0,0,0,0,0,0
NC,2018-2019,250,250332,Craven County Schools,H J MacDonald Middle,3703310,3703310,34102502530100.0,370331000383,855.0,06-08,3.0,838,ADM,7483.22,927.73,8410.95,0,0,0,6270938.36,777437.74,7048376.1,8686.243923,3608.54,1279.58,214.78,189.91,56.08,0,0,5348.89,428.05,148.57,79.38,255.7,16.03,0,842.98,287.72,399.29,604.17,0.17,0,0,2134.33,4879.57,1715.87,693.45,1049.78,72.28,0,7483.22,927.73,8410.95,0,0,0,0,0,0,0
NC,2018-2019,250,250336,Craven County Schools,Havelock Elementary,3703310,3703310,34102502530100.0,370331002175,337.0,PK-05,2.0,318,ADM,10790.35,1954.53,12744.88,0,0,0,3431331.3,621540.54,4052871.84,13020.17392,5197.04,2001.07,167.28,129.81,56.08,0,0,7551.28,947.1,362.38,82.81,556.84,5.4,0,1016.85,350.48,602.33,1268.65,0.76,0,0,3239.07,7160.99,2713.93,852.42,1955.3,62.24,0,10790.35,1954.53,12744.88,0,0,0,0,0,0,0
NC,2018-2019,250,250340,Craven County Schools,Havelock High,3703310,3703310,34102502530100.0,370331000384,1015.0,09-12,4.0,966,ADM,8312.11999999999,1043.59,9355.71,0,0,0,8029507.91999999,1008107.94,9037615.86,9631.003923,3934.31,1382.36,286.36,141.01,56.08,0,0,5800.12,510.67,184.74,77.11,256.59,14.48,0,1071.53,344.22,460.86,635.14,0.25,0,0,2512,5516.51,1911.32,824.33,1032.74,70.81,0,8312.11999999999,1043.59,9355.71,0,0,0,0,0,0,0
NC,2018-2019,250,250344,Craven County Schools,Havelock Middle,3703310,3703310,34102502530100.0,370331000386,404.0,06-08,3.0,404,ADM,8400.21,1260.48,9660.69,0,0,0,3393684.84,509233.92,3902918.76,9935.983923,3889.68,1449.6,262.82,168.36,56.08,0,0,5826.54,639.93,243.34,78.76,261.25,37.2,0,1051.13,360.54,487.86,675.15,-1.01,0,0,2573.67,5580.74,2053.48,829.44,1104.76,92.27,0,8400.21,1260.48,9660.69,0,0,0,0,0,0,0
