state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TX,enrollmetric,pp_stloc_raw_TX,pp_fed_raw_TX,pp_total_raw_TX,pp_site_stloc_raw_TX,pp_site_fed_raw_TX,pp_site_raw_TX,pp_centshare_stloc_raw_TX,pp_centshare_fed_raw_TX,pp_centshare_raw_TX,schoolstloc_raw_TX,schoolfed_raw_TX,schooltot_raw_TX,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
TX,2018-2019,221901,221901004,ABILENE ISD,ADULT LEARNING CTR,4807440,4807440,44522101100000.0,480744009394.0,0.0,AE-AE,0.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,1,1,0
TX,2018-2019,221901,221901102,ABILENE ISD,AUSTIN EL,4807440,4807440,44522101100000.0,480744000012.0,599.0,PK-05,2.0,598,October Count Day,6436.25302005634,769.52346939852,7205.77648945486,4938.98160535117,418.765886287625,5357.74749163879,1497.27141470516,350.757583110895,1848.02899781606,3848879.30599369,460175.034700315,4309054.340694,7388.684816,1,0,0,0,1,0,0
TX,2018-2019,221901,221901153,ABILENE ISD,BASSETTI EL,4807440,4807440,44522101100000.0,480744002371.0,526.0,PK-05,2.0,524,October Count Day,7871.19698722425,1449.02094188952,9320.21792911377,6373.92557251908,1098.26335877862,7472.18893129771,1497.27141470516,350.757583110895,1848.02899781606,4124507.2213055,759286.973550109,4883794.19485561,9504.022288,1,0,0,0,1,0,0
TX,2018-2019,221901,221901103,ABILENE ISD,BONHAM EL,4807440,4807440,44522101100000.0,480744000013.0,540.0,PK-05,2.0,536,October Count Day,7570.01581769024,1481.27623982731,9051.29205751755,6072.74440298507,1130.51865671641,7203.26305970149,1497.27141470516,350.757583110895,1848.02899781606,4057528.47828197,793964.064547439,4851492.54282941,9234.982454,1,0,0,0,1,0,0
TX,2018-2019,221901,221901104,ABILENE ISD,BOWIE EL,4807440,4807440,44522101100000.0,480744000014.0,561.0,KG-05,2.0,560,October Count Day,7174.44462899088,1514.87544025375,8689.32006924463,5677.17321428571,1164.11785714285,6841.29107142857,1497.27141470516,350.757583110895,1848.02899781606,4017688.99223489,848330.246542101,4866019.23877699,8872.857074,1,0,0,0,1,0,0
TX,2018-2019,221901,221901047,ABILENE ISD,CLACK MIDDLE,4807440,4807440,44522101100000.0,480744002231.0,888.0,06-08,3.0,888,October Count Day,7305.63853182228,890.973799327111,8196.61233114939,5808.36711711711,540.216216216216,6348.58333333333,1497.27141470516,350.757583110895,1848.02899781606,6487407.01625818,791184.733802475,7278591.75006066,8379.940542,1,0,0,0,1,0,0
TX,2018-2019,221901,221901002,ABILENE ISD,COOPER H S,4807440,4807440,44522101100000.0,480744000016.0,1777.0,09-12,4.0,1775,October Count Day,9238.52437245164,940.058428181317,10178.5828006329,7741.25295774647,589.300845070422,8330.5538028169,1497.27141470516,350.757583110895,1848.02899781606,16398380.7611016,1668603.71002183,18066984.4711235,10362.75091,1,0,0,0,1,0,0
TX,2018-2019,221901,221901048,ABILENE ISD,CRAIG MIDDLE,4807440,4807440,44522101100000.0,480744011347.0,960.0,06-08,3.0,959,October Count Day,7207.1608829012,1061.32379791798,8268.48468081919,5709.88946819603,710.56621480709,6420.45568300312,1497.27141470516,350.757583110895,1848.02899781606,6911667.28670225,1017809.52220334,7929476.8089056,8451.843349,1,0,0,0,1,0,0
TX,2018-2019,221901,221901107,ABILENE ISD,CROCKETT EARLY HEADSTART,4807440,4807440,44522101100000.0,480744009396.0,131.0,PK-PK,1.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,1,1,0
TX,2018-2019,221901,221901006,ABILENE ISD,DAEP,4807440,4807440,44522101100000.0,480744007449.0,40.0,06-12,4.0,40,October Count Day,43746.2714147051,3677.85758311089,47424.128997816,42249,3327.1,45576.1,1497.27141470516,350.757583110895,1848.02899781606,1749850.8565882,147114.303324435,1896965.15991264,47624.08058,1,0,0,0,1,0,0
TX,2018-2019,221901,221901208,ABILENE ISD,DAY NURSERY OF ABILENE,4807440,4807440,44522101100000.0,480744011348.0,59.0,PK-PK,1.0,59,October Count Day,4292.13582148483,1249.11351531428,5541.24933679911,2794.86440677966,898.355932203389,3693.22033898305,1497.27141470516,350.757583110895,1848.02899781606,253236.013467604,73697.6974035428,326933.710871147,5723.452289,1,0,0,0,1,0,0
TX,2018-2019,221901,221901108,ABILENE ISD,DYESS EL,4807440,4807440,44522101100000.0,480744000018.0,534.0,PK-05,2.0,531,October Count Day,7230.54260114584,847.011820399031,8077.55442154487,5733.27118644067,496.254237288135,6229.52542372881,1497.27141470516,350.757583110895,1848.02899781606,3839418.12120844,449763.276631885,4289181.39784032,8260.832179,1,0,0,0,1,0,0
