state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_IA,enrollmetric,pp_stloc_raw_IA,pp_fed_raw_IA,pp_total_raw_IA,schoolstloc_raw_IA,schoolfed_raw_IA,schooltot_raw_IA,pp_total_norm_NERDS,pppersonnel_raw_IA,ppnonpersonnel_raw_IA,schlevel_raw_IA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
IA,2018-2019,5256,209,Pleasantville,Pleasantville Middle School,1923160.0,1923160.0,16506305700000.0,192316001403.0,111.0,07-08,3.0,110.6,ADM,6410,87,6497,708946,9622.19999999999,718568.2,,1872,4625,Public Middle School,0,0,1,1,0,0,1
IA,2018-2019,5283,409,Pocahontas Area,Pocahontas Area Elementary School,1923190.0,1923190.0,16507601600000.0,192319001372.0,279.0,KG-06,2.0,283.7,ADM,15400,791,16191,4368980,224406.699999999,4593386.7,,12303,3889,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,5283,109,Pocahontas Area,Pocahontas Area Middle/ High School,1923190.0,1923190.0,16507601600000.0,192319001373.0,385.0,07-12,4.0,376.2,ADM,15609,176,15785,5872105.8,66211.2,5938317,,11100,4685,Public High School,0,0,1,1,0,0,1
IA,2018-2019,5283,118,Pocahontas Area,Pocahontas Area RegionalLearning Center,1923190.0,1923190.0,16507601600000.0,192319000377.0,12.0,09-12,4.0,11.2,ADM,16695,148,16843,186984,1657.6,188641.599999999,,11702,5141,Alternative School,0,0,1,1,0,0,1
IA,2018-2019,5310,409,Postville,Cora B Darling  Elementary,1923340.0,1923340.0,16500304800000.0,192334001377.0,411.0,PK-06,2.0,411,ADM,12871,1723,14594,5289981,708153,5998134,,10377,4218,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,5310,172,Postville,John R Mott Jr/Hi School,1923340.0,1923340.0,16500304800000.0,192334001378.0,318.0,07-12,4.0,310.3,ADM,13796,413,14209,4280898.8,128153.9,4409052.7,,10447,3763,Public High School,0,0,1,1,0,0,1
IA,2018-2019,5325,409,Prairie Valley,Prairie Valley Elementary School,1900028.0,1900028.0,16509401400000.0,190002801381.0,261.0,PK-04,2.0,245.5,ADM,14962,463,15425,3673171,113666.5,3786837.5,,4109,11316,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,5325,109,Prairie Valley,Southeast Valley High School,1900028.0,1900028.0,16509401400000.0,190002801382.0,335.0,09-12,4.0,326.2,ADM,13108,100,13208,4275829.6,32620,4308449.6,,4413,8795,Public High School,0,0,1,1,0,0,1
IA,2018-2019,5463,418,Red Oak,Inman Elementary School,1924000.0,1924000.0,16506902100000.0,192400001395.0,352.0,KG-06,2.0,350,ADM,12825,822,13647,4488750,287700,4776450,,8246,5400,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,5463,445,Red Oak,Red Oak Early Childhood Center,1924000.0,1924000.0,16506902100000.0,192400001399.0,151.0,PK-PK,1.0,147.3,ADM,15506,822,16328,2284033.8,121080.6,2405114.4,,10484,5843,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,5463,109,Red Oak,Red Oak Junior/Senior High School,1924000.0,1924000.0,16506902100000.0,192400001397.0,315.0,07-12,4.0,304,ADM,14507,215,14722,4410128,65360,4475488,,9065,5656,Public High School,0,0,1,1,0,0,1
IA,2018-2019,5463,209,Red Oak,Red Oak Middle School,1924000.0,1924000.0,16506902100000.0,192400001398.0,,,,237.4,ADM,14398,318,14716,3418085.2,75493.2,3493578.4,,9903,4812,Public Middle School,0,0,1,1,0,0,1
IA,2018-2019,5486,409,Remsen-Union,Remsen-Union Elementary School,1924120.0,1924120.0,16507503200000.0,192412001405.0,141.0,PK-04,2.0,146.3,ADM,15233,382,15615,2228587.9,55886.6,2284474.5,,11605,4011,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,5486,209,Remsen-Union,Remsen-Union Middle School,1924120.0,1924120.0,16507503200000.0,192412001995.0,196.0,05-08,3.0,197,ADM,13990,80,14070,2756030,15760,2771790,,9143,4928,Public Middle School,0,0,1,1,0,0,1
IA,2018-2019,5508,418,Riceville,Riceville Elementary School,1924150.0,1924150.0,16504550200000.0,192415001409.0,185.0,PK-05,2.0,186.1,ADM,12527,1012,13539,2331274.69999999,188333.199999999,2519607.9,,8627,4913,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,5508,109,Riceville,Riceville High School,1924150.0,1924150.0,16504550200000.0,192415001410.0,171.0,06-12,4.0,170.4,ADM,13683,482,14165,2331583.2,82132.8,2413716,,8963,5202,Public High School,0,0,1,1,0,0,1
IA,2018-2019,1975,418,River Valley,River Valley Elementary,1910340.0,1910340.0,16509700900000.0,191034000657.0,208.0,PK-05,2.0,195.1,ADM,14272,633,14905,2784467.19999999,123498.3,2907965.5,,10798,4109,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,1975,109,River Valley,River Valley Junior-Senior High School,1910340.0,1910340.0,16509700900000.0,191034000658.0,217.0,06-12,4.0,219.2,ADM,14136,258,14394,3098611.19999999,56553.6,3155164.8,,8789,5607,Public High School,0,0,1,1,0,0,1
IA,2018-2019,5510,109,Riverside,Riverside Community High School,1900027.0,1900027.0,16507800500000.0,190002700260.0,306.0,06-12,4.0,302.8,ADM,14197,196,14393,4298851.6,59348.8,4358200.4,,9735,4659,Public High School,0,0,1,1,0,0,1
IA,2018-2019,5510,427,Riverside,Riverside CommunityIntermediate School,1900027.0,1900027.0,16507800500000.0,190002700249.0,100.0,03-05,2.0,102.1,ADM,13046,375,13421,1331996.59999999,38287.5,1370284.09999999,,9888,3533,Public Elementary School,0,0,1,1,0,0,1
