state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_WY,enrollmetric,pp_stloc_raw_WY,pp_fed_raw_WY,pp_total_raw_WY,pp_site_stloc_raw_WY,pp_site_fed_raw_WY,pp_site_raw_WY,pp_centshare_stloc_raw_WY,pp_centshare_fed_raw_WY,pp_centshare_raw_WY,schoolstloc_raw_WY,schoolfed_raw_WY,schooltot_raw_WY,pp_total_norm_NERDS,distexclu_raw_WY,disttot_raw_WY,countenroll_raw_WY,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
WY,2018-19,1901000,1901018,Sweetwater County School District #1,Stagecoach Elementary,5605302,5605302,51501900400000,560530200565,307.0,KG-04,2.0,307,Count,12726,1483,14209,8508,714,9222,4218,769,4987,3906882,455281,4362163,14526.09029,20122715,75986040,1,0,0,0,0,0,0
WY,2018-19,1901000,1901010,Sweetwater County School District #1,Walnut Elementary,5605302,5605302,51501900400000,560530200305,311.0,KG-04,2.0,311,Count,11891,1443,13334,7673,674,8348,4218,769,4987,3698101,448773,4146874,13651.09029,20122715,75986040,1,0,0,0,0,0,0
WY,2018-19,1901000,1901014,Sweetwater County School District #1,Westridge Elementary,5605302,5605302,51501900400000,560530200422,333.0,KG-04,2.0,333,Count,12724,1658,14381,8506,889,9394,4218,769,4987,4237092,552114,4788873,14698.09029,20122715,75986040,1,0,0,0,0,0,0
WY,2018-19,1902000,1902056,Sweetwater County School District #2,Expedition Academy,5605762,5605762,51501900200000,560576200164,44.0,09-12,4.0,44,Count,25844,684,26528,21897,474,22371,3947,210,4157,1137136,30096,1167232,26913.55464,7932812,40720147,1,0,0,0,0,0,0
WY,2018-19,1902000,1902001,Sweetwater County School District #2,Granger Elementary,5605762,5605762,51501900200000,560576200326,3.0,KG-05,2.0,3,Count,58650,375,59025,54703,165,54868,3947,210,4157,175950,1125,177075,59410.55464,7932812,40720147,1,0,0,0,0,1,0
WY,2018-19,1902000,1902055,Sweetwater County School District #2,Green River High School,5605762,5605762,51501900200000,560576200324,750.0,09-12,4.0,750,Count,15403,365,15767,11456,155,11610,3947,210,4157,11552250,273750,11825250,16152.55464,7932812,40720147,1,0,0,0,0,0,0
WY,2018-19,1902000,1902002,Sweetwater County School District #2,Harrison Elementary,5605762,5605762,51501900200000,560576200439,265.0,KG-05,2.0,265,Count,15211,1116,16327,11264,906,12170,3947,210,4157,4030915,295740,4326655,16712.55464,7932812,40720147,1,0,0,0,0,0,0
WY,2018-19,1902000,1902050,Sweetwater County School District #2,Lincoln Middle School,5605762,5605762,51501900200000,560576200399,597.0,06-08,3.0,597,Count,14506,364,14870,10559,154,10713,3947,210,4157,8660082,217308,8877390,15255.55464,7932812,40720147,1,0,0,0,0,0,0
WY,2018-19,1902000,1902004,Sweetwater County School District #2,McKinnon Elementary,5605762,5605762,51501900200000,560576200329,19.0,KG-05,2.0,19,Count,17604,1971,19575,13657,1761,15418,3947,210,4157,334476,37449,371925,19960.55464,7932812,40720147,1,0,0,0,0,0,0
WY,2018-19,1902000,1902013,Sweetwater County School District #2,Monroe Elementary School,5605762,5605762,51501900200000,560576200582,330.0,KG-05,2.0,330,Count,15807,249,16056,11860,39,11899,3947,210,4157,5216310,82170,5298480,16441.55464,7932812,40720147,1,0,0,0,0,0,0
WY,2018-19,1902000,1902006,Sweetwater County School District #2,Thoman Ranch Elementary,5605762,5605762,51501900200000,560576200528,2.0,KG-08,3.0,2,Count,68780,210,68990,64833,0,64833,3947,210,4157,137560,420,137980,69375.55464,7932812,40720147,1,0,0,0,0,1,0
WY,2018-19,1902000,1902011,Sweetwater County School District #2,Truman Elementary,5605762,5605762,51501900200000,560576200425,336.0,KG-05,2.0,336,Count,13226,1647,14873,9279,1437,10715,3947,210,4157,4443936,553392,4997328,15258.55464,7932812,40720147,1,0,0,0,0,0,0
