state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_UT,enrollmetric,pp_stloc_raw_UT,pp_fed_raw_UT,pp_total_raw_UT,pp_site_stloc_raw_UT,pp_site_fed_raw_UT,pp_site_raw_UT,pp_centshare_stloc_raw_UT,pp_centshare_fed_raw_UT,pp_centshare_raw_UT,schoolstloc_raw_UT,schoolfed_raw_UT,schooltot_raw_UT,pp_total_norm_NERDS,distexclu_raw_UT,disttotwexclu_raw_UT,schtype_raw_UT,Title_1_raw_UT,NESS_raw_UT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
UT,2018-2019,83,700,Academy for Math Engineering & Science,Academy for Math Engineering & Science,4900017,4900017,,490001700904.0,484.0,09-12,4.0,485.65,ADM,8558.91609183568,268.78733655925,8827.70342839493,7100.75848862349,268.78733655925,7369.54582518274,1458.15760321219,0,1458.15760321219,4156637.6,130536.569999999,4287174.17,8424.451011,0,4287174.17,Charter,Y,N,0,0,0,0,0,0,0
UT,2018-2019,1M,100,Advantage Arts Academy,Advantage Arts Academy,4900198,4900198,,490019801524.0,,,,0,ADM,0,0,0,0,0,0,0,0,0,0,0,0,,72649.28,79632.49,Charter,N,N,0,0,0,0,0,1,1
UT,2018-2019,1,299,Alpine District,Alpine Online School,4900030,4900030,45502500100000.0,490003001154.0,117.0,KG-08,3.0,115.361111111111,ADM,8489.16922894254,151.120372350039,8640.28960129258,6947.7486154587,0,6947.7486154587,1541.42061348383,151.120372350039,1692.54098583387,979319.994661065,17433.4140658254,996753.408726891,8210.179963,282300940,874513109,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,1,104,Alpine District,Alpine School,4900030,4900030,45502500100000.0,490003000001.0,726.0,PK-06,2.0,676.527777777777,ADM,6354.02638460335,253.100682117397,6607.12706672075,4812.60577111952,101.980309767357,4914.58608088688,1541.42061348383,151.120372350039,1692.54098583387,4298675.34991707,171229.642026922,4469904.991944,6177.017428,282300940,874513109,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,1,704,Alpine District,American Fork High,4900030,4900030,45502500100000.0,490003000002.0,2303.0,10-12,4.0,2224.98888888888,ADM,7987.3038415381,231.391981523418,8218.69582306152,6445.88322805427,80.2716091733791,6526.15483722765,1541.42061348383,151.120372350039,1692.54098583387,17771662.2996018,514844.58786759,18286506.8874694,7788.586184,282300940,874513109,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,1,404,Alpine District,American Fork Jr High,4900030,4900030,45502500100000.0,490003000003.0,1964.0,07-09,3.0,1949.80555555555,ADM,6731.97320487819,351.853065813148,7083.82627069133,5190.55259139435,200.732693463108,5391.28528485746,1541.42061348383,151.120372350039,1692.54098583387,13126038.7547226,686045.062461731,13812083.8171843,6653.716632,282300940,874513109,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,1,105,Alpine District,Aspen School,4900030,4900030,45502500100000.0,490003000740.0,426.0,PK-06,2.0,428.533333333333,ADM,7643.03493966305,411.127856998453,8054.1627966615,6101.61432617921,260.007484648413,6361.62181082762,1541.42061348383,151.120372350039,1692.54098583387,3275295.23947693,176181.990985737,3451477.23046267,7624.053158,282300940,874513109,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,1,106,Alpine District,Barratt School,4900030,4900030,45502500100000.0,490003000004.0,529.0,PK-06,2.0,502.661111111111,ADM,6616.39758005508,322.003771167444,6938.40135122252,5074.97696657124,170.883398817405,5245.86036538865,1541.42061348383,151.120372350039,1692.54098583387,3325805.75914335,161858.773396995,3487664.53254035,6508.291712,282300940,874513109,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,1,114,Alpine District,Belmont School,4900030,4900030,45502500100000.0,490003001545.0,791.0,PK-06,2.0,768.877777777777,ADM,6150.54265773187,297.338000640622,6447.88065837249,4609.12204424803,146.217628290582,4755.33967253862,1541.42061348383,151.120372350039,1692.54098583387,4729015.57080431,228616.581181448,4957632.15198576,6017.77102,282300940,874513109,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,1,115,Alpine District,Black Ridge School,4900030,4900030,45502500100000.0,490003001461.0,1104.0,PK-06,2.0,1105.13888888888,ADM,5512.19669607013,246.026933976381,5758.22363004651,3970.7760825863,94.9065616263415,4065.68264421264,1541.42061348383,151.120372350039,1692.54098583387,6091742.93203195,271893.932451398,6363636.86448335,5328.113991,282300940,874513109,District,N,N,0,0,0,0,0,1,0
UT,2018-2019,1,107,Alpine District,Bonneville School,4900030,4900030,45502500100000.0,490003000005.0,635.0,PK-06,2.0,552.094444444444,ADM,7159.31495757391,1175.60223200931,8334.91718958323,5617.89434409008,1024.48185965927,6642.37620374935,1541.42061348383,151.120372350039,1692.54098583387,3952618.01410457,649043.461168832,4601661.4752734,7904.807551,282300940,874513109,District,Y,N,0,0,0,0,0,0,0
UT,2018-2019,1,203,Alpine District,Brookhaven School,4900030,4900030,45502500100000.0,490003001547.0,1187.0,PK-06,2.0,1196.56111111111,ADM,5280.88265515176,273.876446486198,5554.75910163796,3739.46204166792,122.756074136158,3862.21811580408,1541.42061348383,151.120372350039,1692.54098583387,6318898.81749578,327709.905114688,6646608.72261047,5124.649463,282300940,874513109,District,N,N,0,0,0,0,0,1,0
