state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_LA,enrollmetric,pp_stloc_raw_LA,pp_fed_raw_LA,pp_total_raw_LA,pp_site_stloc_raw_LA,pp_site_fed_raw_LA,pp_site_raw_LA,pp_centshare_stloc_raw_LA,pp_centshare_fed_raw_LA,pp_centshare_raw_LA,schoolstloc_raw_LA,schoolfed_raw_LA,schooltot_raw_LA,pp_total_norm_NERDS,percentsiteexp_raw_LA,percentcentexp_raw_LA,percentspendinstruction_raw_LA,percentspendinstrsupport_raw_LA,percentspendtransp_raw_LA,percentspendadmin_raw_LA,percentspendothersupport_raw_LA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
LA,2018-2019,049,049045,St. Landry Parish,Washington Career & Technical Education Center,2201560,2201560,19504900100000.0,220156001642.0,0.0,09-12,4.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,1,0,0,0,1,0
LA,2018-2019,049,049044,St. Landry Parish,Washington Elementary School,2201560,2201560,19504900100000.0,220156001215.0,154.0,PK-08,3.0,154,ADM,12703,2342,15044,11638,2125,13763,1065,217,1281,1956262,360668,2316776,15472.83419,0.91,0.09,0.61,0.12,0.06,0.06,0.14,0,1,0,0,0,0,0
LA,2018-2019,050,050001,St. Martin Parish,Breaux Bridge Elementary School,2201590,2201590,19505000100000.0,220159001216.0,435.0,03-05,2.0,451,ADM,8603,819,9422,7297,754,8051,1306,65,1371,3879953,369369,4249322,9554.303959,0.85,0.15,0.55,0.1,0.04,0.07,0.24,0,1,0,0,0,0,0
LA,2018-2019,050,050004,St. Martin Parish,Breaux Bridge High School,2201590,2201590,19505000100000.0,220159001219.0,799.0,09-12,4.0,757,ADM,9002,851,9854,7696,786,8482,1306,65,1371,6814514,644207,7459478,9986.303959,0.86,0.14,0.55,0.11,0.08,0.07,0.2,0,1,0,0,0,0,0
LA,2018-2019,050,050002,St. Martin Parish,Breaux Bridge Junior High School,2201590,2201590,19505000100000.0,220159001217.0,421.0,06-08,3.0,442,ADM,9450,981,10431,8144,916,9060,1306,65,1371,4176900,433602,4610502,10563.30396,0.87,0.13,0.51,0.19,0.03,0.06,0.21,0,1,0,0,0,0,0
LA,2018-2019,050,050003,St. Martin Parish,Breaux Bridge Primary School,2201590,2201590,19505000100000.0,220159001218.0,536.0,PK-02,2.0,543,ADM,10020,925,10945,8714,860,9574,1306,65,1371,5440860,502275,5943135,11077.30396,0.87,0.13,0.54,0.1,0.08,0.04,0.23,0,1,0,0,0,0,0
LA,2018-2019,050,050005,St. Martin Parish,Catahoula Elementary School,2201590,2201590,19505000100000.0,220159001220.0,143.0,PK-05,2.0,144,ADM,12125,1055,13180,10819,990,11809,1306,65,1371,1746000,151920,1897920,13312.30396,0.9,0.1,0.579999999999999,0.07,0.06,0.07,0.22,0,1,0,0,0,0,0
LA,2018-2019,050,050008,St. Martin Parish,Cecilia High School,2201590,2201590,19505000100000.0,220159001223.0,745.0,09-12,4.0,738,ADM,8542,816,9358,7236,751,7987,1306,65,1371,6303996,602208,6906204,9490.303959,0.85,0.15,0.569999999999999,0.09,0.05,0.06,0.23,0,1,0,0,0,0,0
LA,2018-2019,050,050006,St. Martin Parish,Cecilia Junior High School,2201590,2201590,19505000100000.0,220159001221.0,588.0,06-08,3.0,576,ADM,8320,875,9195,7014,810,7824,1306,65,1371,4792320,504000,5296320,9327.303959,0.85,0.15,0.5,0.19,0.05,0.05,0.21,0,1,0,0,0,0,0
LA,2018-2019,050,050007,St. Martin Parish,Cecilia Primary School,2201590,2201590,19505000100000.0,220159001222.0,715.0,PK-02,2.0,729,ADM,9181,894,10075,7875,829,8704,1306,65,1371,6692949,651726,7344675,10207.30396,0.86,0.14,0.59,0.1,0.06,0.04,0.21,0,1,0,0,0,0,0
