state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_PA,enrollmetric,pp_stloc_raw_PA,pp_fed_raw_PA,pp_total_raw_PA,schoolstloc_raw_PA,schoolfed_raw_PA,schooltot_raw_PA,pp_total_norm_NERDS,perlocal_raw_PA,nonperlocal_raw_PA,perstate_raw_PA,nonperstate_raw_PA,perfed_raw_PA,nonperfed_raw_PA,pp_personnel_raw_PA,pp_nonpersonnel_raw_PA,pp_perfed_raw_PA,pp_perstloc_raw_PA,pp_perstate_raw_PA,pp_perlocal_raw_PA,pp_nonperfed_raw_PA,pp_nonperstloc_raw_PA,pp_nonperstate_raw_PA,pp_nonperlocal_raw_PA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
PA,2018-2019,109537504,3877,Oswayo Valley SD,Oswayo Valley HS,4218210,4218210,39505370300000.0,421821007191,121.0,09-12,4,101.189,ADM,17535.26,475.69,18010.95,1774375,48135,1822510,18604.17249,417763,138755,914213,303644,39648,8487,1371624,450886,391.82,13163.25,9034.71,4128.54,83.87,4372.01,3000.76,1371.25,0,0,1,0,1,0,0
PA,2018-2019,109537504,7753,Oswayo Valley SD,Oswayo Valley MS,4218210,4218210,39505370300000.0,421821000699,88.0,06-08,3,86.142,ADM,17393.44,471.849999999999,17865.2899999999,1498306,40646,1538952,18458.51249,352765,117166,771974,256401,33479,7167,1158218,380734,388.65,13056.8,8961.64,4095.16,83.2,4336.63999999999,2976.49,1360.15,0,0,1,0,1,0,0
PA,2018-2019,109426003,3106,Otto-Eldred SD,Otto-Eldred El Sch,4218240,4218240,39504201600000.0,421824003106,309.0,PK-06,2,302.917,ADM,15763.96,391.48,16155.4399999999,4775169,118586,4893755,16845.29417,776801,142691,3257335,598342,94450,24136,4128586,765169,311.8,13317.63,10753.23,2564.4,79.68,2446.33,1975.27,471.06,0,0,1,0,1,0,0
PA,2018-2019,109426003,3107,Otto-Eldred SD,Otto-Eldred JSHS,4218240,4218240,39504201600000.0,421824003107,310.0,07-12,4,286.547,ADM,16048.22,405.54,16453.76,4598571,116205,4714776,17143.61417,781244,104243,3275964,437120,92554,23651,4149762,565014,323,14158.96,11432.55,2726.41,82.54,1889.26,1525.47,363.79,0,0,1,0,1,0,0
PA,2018-2019,124156603,7304,Owen J Roberts SD,East Coventry El Sch,4218270,4218270,39501570200000.0,421827010011,543.0,KG-06,2,548.44,ADM,30.66,0.51,31.17,16813.94,280.79,17094.73,,11501.86,1885.27,2944.22,482.59,222.05,58.74,14668.13,2426.6,0.4,26.34,5.37,20.97,0.11,4.32,0.88,3.44,0,0,1,0,1,1,1
PA,2018-2019,124156603,7198,Owen J Roberts SD,East Vincent El Sch,4218270,4218270,39501570200000.0,421827007294,601.0,KG-06,2,594.696,ADM,25.4999999999999,0.5,25.9999999999999,15162.78,293.43,15456.21,,10196.65,1875.84,2610.12,480.17,223.15,70.28,13029.92,2426.29,0.38,21.54,4.39,17.15,0.12,3.96,0.81,3.15,0,0,1,0,1,1,1
PA,2018-2019,124156603,7197,Owen J Roberts SD,French Creek El Sch,4218270,4218270,39501570200000.0,421827000628,585.0,KG-06,2,585.428,ADM,28.23,0.3,28.53,16527.36,175.75,16703.11,,11296.41,1862.55,2891.63,476.77,110.71,65.04,14298.75,2404.35999999999,0.19,24.24,4.94,19.3,0.11,3.99,0.81,3.18,0,0,1,0,1,1,1
PA,2018-2019,124156603,6487,Owen J Roberts SD,North Coventry El Sch,4218270,4218270,39501570200000.0,421827006487,637.0,KG-06,2,639.088,ADM,23.7299999999999,0.5,24.2299999999999,15168.5299999999,319.53,15488.06,,10222.2199999999,1854.85,2616.66,474.8,255.02,64.51,13093.9,2394.16,0.4,20.09,4.09,16,0.1,3.63999999999999,0.74,2.9,0,0,1,0,1,1,1
PA,2018-2019,124156603,1406,Owen J Roberts SD,Owen J Roberts HS,4218270,4218270,39501570200000.0,421827001406,1648.0,09-12,4,1613.24,ADM,10.37,0.2,10.57,16739.25,321.73,17060.98,,11225.6,2102.06,2873.51,538.08,171.55,150.18,14270.66,2790.31999999999,0.11,8.74,1.78,6.96,0.09,1.63,0.33,1.3,0,0,1,0,1,1,1
PA,2018-2019,124156603,5010,Owen J Roberts SD,Owen J Roberts MS,4218270,4218270,39501570200000.0,421827005010,899.0,07-09,3,899.175,ADM,17.33,0.0699999999999999,17.4,15589.04,63.12,15652.16,,10658.75,1753.12,2728.41,448.76,52.67,10.45,13439.83,2212.33,0.06,14.8799999999999,3.03,11.85,0.01,2.45,0.5,1.95,0,0,1,0,1,1,1
PA,2018-2019,124156603,7994,Owen J Roberts SD,West Vincent El Sch,4218270,4218270,39501570200000.0,421827006812,566.0,KG-06,2,571.141,ADM,27.1599999999999,0.29,27.4499999999999,15513.48,166.109999999999,15679.59,,10496.49,1855.22,2686.87,474.9,110.71,55.4,13294.07,2385.52,0.19,23.08,4.7,18.38,0.1,4.08,0.83,3.25,0,0,1,0,1,1,1
PA,2018-2019,124156703,8063,Oxford Area SD,Elk Ridge School,4218300,4218300,39501503900000.0,421830007333,492.0,01-02,2,486.717,ADM,16107.04,1056.79,17163.83,7839570.84,514358.24,8353929.08,,2850139.66,1924158.94,1829892.62,1235379.62,270084.88,244273.36,4950117.16,3403811.92,554.91,9615.51,3759.66,5855.85,501.88,6491.53,2538.19,3953.34,0,0,1,0,1,1,1
PA,2018-2019,124156703,8064,Oxford Area SD,Hopewell El Sch,4218300,4218300,39501503900000.0,421830007313,562.0,05-06,2,559.247,ADM,18122.29,730.19,18852.48,10134832.3,408354.83,10543187.13,,3469695.06,2702417.81,2227669.56999999,1735049.86,128188.24,280166.59,5825552.87,4717634.26,229.22,10187.57,3983.34,6204.23,500.97,7934.71999999999,3102.48,4832.24,0,0,1,0,1,1,1
PA,2018-2019,124156703,6624,Oxford Area SD,Jordan Bank Sch,4218300,4218300,39501503900000.0,421830006624,221.0,KG-01,1,225.06,ADM,19306.35,1157.46,20463.8099999999,4345085.61999999,260498.58,4605584.19999999,,1606018.67,1040138.47,1031122.01,667806.47,145542.47,114956.11,2782683.15,1822901.05,646.68,11717.5,4581.54,7135.96,510.78,7588.84999999999,2967.24,4621.61,0,0,1,0,1,1,1
