state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_DE,enrollmetric,pp_stloc_raw_DE,pp_fed_raw_DE,pp_total_raw_DE,schoolstloc_raw_DE,schoolfed_raw_DE,schooltot_raw_DE,pp_total_norm_NERDS,pp_nonpersonnel_summed_DE,pp_nonper_stloc_summed_DE,pp_nonper_fed_raw_DE,pp_per_fed_raw_DE,pp_per_stloc_raw_DE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
DE,2018-2019,29,10,Appoquinimink School District,Silver Lake Elementary School,1000080,1000080,8500250700000.0,100008000027,559.0,01-05,2.0,559,September Count Day,12665.39,514.04,13179.43,7079953.01,287348.36,7367301.37,13228.2680931342,2225.21,1934.42,223.25,290.79,10730.97,1,0,1,0,0,0,0
DE,2018-2019,29,29,Appoquinimink School District,Spring Meadow Early Childhood Center,1000080,1000080,8500250700000.0,100008000348,221.0,KG-KG,1.0,221,September Count Day,14749.24,379.62,15128.86,3259582.04,83896.02,3343478.06,15177.6980931342,1768.49,1610.59,221.72,157.9,13138.65,1,0,1,0,0,0,0
DE,2018-2019,29,27,Appoquinimink School District,Townsend Early Childhood Center,1000080,1000080,8500250700000.0,100008000314,222.0,KG-KG,1.0,222,September Count Day,14665.66,394.57,15060.23,3255776.52,87594.54,3343371.06,15109.0680931342,2221.06999999999,2021.40999999999,194.91,199.66,12644.25,1,0,1,0,0,0,0
DE,2018-2019,29,14,Appoquinimink School District,Townsend Elementary School,1000080,1000080,8500250700000.0,100008000028,558.0,01-05,2.0,558,September Count Day,11815.2799999999,315.11,12130.39,6592926.23999999,175831.38,6768757.62,12179.2280931342,2035.16999999999,1931.32,211.26,103.85,9883.96,1,0,1,0,0,0,0
DE,2018-2019,29,23,Appoquinimink School District,Waters (Alfred G.) Middle School,1000080,1000080,8500250700000.0,100008000222,975.0,06-08,3.0,975,September Count Day,12303.2899999999,189.46,12492.75,11995707.75,184723.5,12180431.25,12541.5880931342,1835.19999999999,1797.33,151.59,37.87,10505.96,1,0,1,0,0,0,0
DE,2018-2019,31,190,Brandywine School District,Brandywine High School,1001240,1001240,8500260200000.0,100124000242,781.0,09-12,4.0,781,September Count Day,17833.04,655.25,18488.29,13927604.24,511750.25,14439354.49,18752.1939841899,3373.76999999999,3044.35999999999,325.84,329.41,14788.68,1,0,1,0,0,0,0
DE,2018-2019,31,108,Brandywine School District,Brandywine SITE,1001240,1001240,8500260200000.0,100124000385,26.0,12-12,4.0,NRD,September Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,0
DE,2018-2019,31,510,Brandywine School District,Bush (Charles W.) Pre-School,1001240,1001240,8500260200000.0,100124000277,192.0,PK-PK,1.0,192,September Count Day,24897.26,2601.29,27498.55,4780273.92,499447.68,5279721.6,27762.4539841899,5961.41,3655.28,295.16,2306.13,21241.98,1,0,1,0,0,0,0
DE,2018-2019,31,112,Brandywine School District,Carrcroft Elementary School,1001240,1001240,8500260200000.0,100124000291,517.0,KG-05,2.0,517,September Count Day,15186.3,1415.22,16601.52,7851317.1,731668.74,8582985.84,16865.4239841899,3808.13999999999,2731.37999999999,338.46,1076.76,12454.92,1,0,1,0,0,0,0
DE,2018-2019,31,151,Brandywine School District,Claymont Elementary School,1001240,1001240,8500260200000.0,100124000062,853.0,KG-05,2.0,853,September Count Day,15756,901.2,16657.2,13439868,768723.6,14208591.6,16921.1039841899,3102.83,2521.11,319.48,581.72,13234.89,1,0,1,0,0,0,0
