state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ME,enrollmetric,pp_stloc_raw_ME,pp_fed_raw_ME,pp_total_raw_ME,pp_site_stloc_raw_ME,pp_site_fed_raw_ME,pp_site_raw_ME,pp_centshare_stloc_raw_ME,pp_centshare_fed_raw_ME,pp_centshare_raw_ME,schoolstloc_raw_ME,schoolfed_raw_ME,schooltot_raw_ME,pp_total_norm_NERDS,pp_salary_site_raw_ME,pp_salary_cent_raw_ME,pp_benefit_site_ME,pp_benefit_cent_ME,pp_nonperson_site_ME,pp_nonperson_cent_raw_ME,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ME,2018-2019,1631,1649,Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,2314813,2314813,,231481323140.0,135.0,PK-06,2.0,135,October Count Day,11071.13,0,11071.13,10717.15,0,10717.15,353.98,0,353.98,1494602.54999999,0,1494602.54999999,11014.81481,6283.75,305.98,1220.78,48,3212.62,0,1,0,0,1,0,0,0
ME,2018-2019,1065,1066,Five Town CSD,Camden Hills Regional H S,2300053,2300053,20500730100000.0,230005300504.0,694.0,09-12,4.0,690,October Count Day,15967.75,254.02,16221.77,12391.6,0,12391.6,3576.15,254.02,3830.17,11017747.5,175273.8,11193021.3,16149.6932,7622.11,2027.28,3098.96,882.59,1670.52,920.3,1,0,0,1,0,0,0
ME,2018-2019,275,276,Frenchboro Public Schools,Frenchboro Elementary School,2307590,2307590,20300501830100.0,230759000208.0,4.0,KG-08,3.0,4,October Count Day,28586.12,4155.38,32741.5,28586.12,4155.38,32741.5,0,0,0,114344.48,16621.52,130966,33500.0,14751.69,0,3695.42,0,14294.39,0,1,0,0,1,0,0,0
ME,2018-2019,188,189,Georgetown Public Schools,Georgetown Central School,2305970,2305970,20301200530100.0,230597000154.0,53.0,PK-06,2.0,53,October Count Day,29797.7,1050.06,30847.76,27704.77,1039.8,28744.57,2092.93,10.26,2103.19,1579278.1,55653.18,1634931.28,30848.90533,15060.21,0,6080.66,0,7603.7,2103.19,1,0,0,1,0,0,0
ME,2018-2019,191,192,Glenburn Public Schools,Glenburn Elementary School,2306000,2306000,20301002330100.0,230600000155.0,451.0,PK-08,3.0,453,October Count Day,13480.07,621.23,14101.3,10742.22,621.23,11363.4499999999,2737.85,0,2737.85,6106471.71,281417.19,6387888.89999999,14136.81196,7162.08,1015.45,3096.96,400.36,1104.41,1322.04,1,0,0,1,0,0,0
ME,2018-2019,194,199,Gorham Public Schools,Gorham High School,2306060,2306060,20300300930100.0,230606000158.0,868.0,09-12,4.0,868,October Count Day,14263.91,40.4,14304.31,11610.07,0,11610.07,2653.84,40.4,2694.24,12381073.8799999,35067.2,12416141.08,14402.41169,7513.1,1407.17,3140.08,463.38,956.89,823.69,1,0,0,1,0,0,0
ME,2018-2019,194,201,Gorham Public Schools,Gorham Middle School,2306060,2306060,20300300930100.0,230606000688.0,628.0,06-08,3.0,628,October Count Day,13127.05,504.91,13631.96,10403.19,0,10403.19,2723.86,504.91,3228.77,8243787.4,317083.48,8560870.88,13730.06169,6681.07,1658.26,3107.38,608.04,614.74,962.46,1,0,0,1,0,0,0
ME,2018-2019,194,202,Gorham Public Schools,Great Falls Elementary School,2306060,2306060,20300300930100.0,230606023126.0,567.0,KG-05,2.0,567,October Count Day,12771.27,504.91,13276.18,10047.41,0,10047.41,2723.86,504.91,3228.77,7241310.09,286283.97,7527594.06,13374.28169,6339.12,1658.26,3039.75,608.04,668.54,962.46,1,0,0,1,0,0,0
ME,2018-2019,194,200,Gorham Public Schools,Narragansett Elementary School,2306060,2306060,20300300930100.0,230606000915.0,268.0,KG-05,2.0,268,October Count Day,14900.8,504.91,15405.71,12176.94,0,12176.94,2723.86,504.91,3228.77,3993414.4,135315.88,4128730.28,15503.81169,8103.56,1658.26,3532.48,608.04,540.9,962.46,1,0,0,1,0,0,0
ME,2018-2019,194,197,Gorham Public Schools,Village Elementary School-Gorham,2306060,2306060,20300300930100.0,230606000160.0,458.0,KG-05,2.0,458,October Count Day,13416.4,504.91,13921.31,10692.54,0,10692.54,2723.86,504.91,3228.77,6144711.2,231248.78,6375959.98,14019.41169,6848.84,1658.26,3248.08,608.04,595.62,962.46,1,0,0,1,0,0,0
