state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MN,enrollmetric,pp_stloc_raw_MN,pp_fed_raw_MN,pp_total_raw_MN,pp_site_stloc_raw_MN,pp_site_fed_raw_MN,pp_site_raw_MN,pp_centshare_stloc_raw_MN,pp_centshare_fed_raw_MN,pp_centshare_raw_MN,schoolstloc_raw_MN,schoolfed_raw_MN,schooltot_raw_MN,pp_total_norm_NERDS,pp_activities_cent_fed_raw_MN,pp_activities_cent_stloc_raw_MN,pp_activities_site_fed_raw_MN,pp_activities_site_stloc_raw_MN,pp_capital_cent_fed_raw_MN,pp_capital_cent_stloc_raw_MN,pp_capital_site_fed_raw_MN,pp_capital_site_stloc_raw_MN,pp_cti_cent_fed_raw_MN,pp_cti_cent_stloc_raw_MN,pp_cti_site_fed_raw_MN,pp_cti_site_stloc_raw_MN,pp_distadmin_cent_fed_raw_MN,pp_distadmin_cent_stloc_raw_MN,pp_distadmin_site_fed_raw_MN,pp_distadmin_site_stloc_raw_MN,pp_instructsupport_cent_fed_raw_MN,pp_instructsupport_cent_stloc_raw_MN,pp_instructsupport_site_fed_raw_MN,pp_instructsupport_site_stloc_raw_MN,pp_operations_cent_fed_raw_MN,pp_operations_cent_stloc_raw_MN,pp_operations_site_fed_raw_MN,pp_operations_site_stloc_raw_MN,pp_pupilsupport_cent_fed_raw_MN,pp_pupilsupport_cent_stloc_raw_MN,pp_pupilsupport_site_fed_raw_MN,pp_pupilsupport_site_stloc_raw_MN,pp_reginstruct_cent_fed_raw_MN,pp_reginstruct_cent_stloc_raw_MN,pp_reginstruct_site_fed_raw_MN,pp_reginstruct_site_stloc_raw_MN,pp_schooladmin_cent_fed_raw_MN,pp_schooladmin_cent_stloc_raw_MN,pp_schooladmin_site_fed_raw_MN,pp_schooladmin_site_stloc_raw_MN,pp_sped_cent_fed_raw_MN,pp_sped_cent_stloc_raw_MN,pp_sped_site_fed_raw_MN,pp_sped_site_stloc_raw_MN,pp_stloc_operational_MN,pp_fed_operational_MN,pp_total_operational_MN,pp_transport_cent_fed_raw_MN,pp_transport_cent_stloc_raw_MN,pp_transport_site_fed_raw_MN,pp_transport_site_stloc_raw_MN,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MN,2018-2019,511,15,ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN MIDDLE,2702730.0,2702730,24505302300000.0,270273003076.0,134.0,06-08,3.0,133.5,ADM,8562.25,94.8,8657.05,6080.43610486891,94.7998501872659,6175.23595505618,2481.82456928838,0,2481.82456928838,1143060.375,12655.8,1155716.17499999,8001.53877941643,,88.8911610486891,,123.699250936329,,582.199700374531,,,,,,,,443.851535580524,,,,2.86973782771535,,244.058876404494,,180.423445692883,,,,71.1094382022471,,210.407940074906,,1.4838202247191,,3534.32861423221,,,,458.184569288389,,6.2263670411985,94.7998501872659,1509.75685393258,7980.05029962546,94.8,8074.85029962546,,1104.76936329588,,,0,0,0,1,0,0,0
MN,2018-2019,511,20,ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN SECONDARY,2702730.0,2702730,24505302300000.0,270273000056.0,186.0,09-12,4.0,184.77,ADM,14152.85,69.78,14222.63,11671.0218109,69.7825945770417,11740.804405477,2481.82453861557,0,2481.82453861557,2615022.0945,12893.2506,2627915.3451,13305.4714266978,,88.8911078638307,,1471.94923418303,,582.199653623423,,261.64739946961,,,,365.611354657141,,443.851545164258,,,,2.86978405585322,,932.536017751799,,180.423499485847,,2129.16230989879,,71.1094333495697,,189.154516425826,,1.4837906586567,,5112.81279428478,,,,540.629918276776,,6.22638956540563,69.7825945770417,667.518265952265,13309.0029469069,69.78,13378.7829469069,,1104.76933484873,,,0,0,0,1,0,0,0
MN,2018-2019,4074,10,AFSA HIGH SCHOOL,AFSA HIGH SCHOOL,2700186.0,2700186,,270018603139.0,296.0,07-12,4.0,292.37,ADM,15809.88,812.56,16622.44,12250.7781236104,404.4818551835,12655.2599787939,3559.11830899203,408.073365940417,3967.19167493244,4622334.6156,237568.1672,4859902.7828,12707.022521534,,,,234.539966480829,15.869548859322,109.150596846461,3.24229572117522,2098.4749461299,,,,600.974826418579,170.046311181037,1356.30440879707,,,218.777405342545,6.52997913602626,,492.877107774395,3.38010055751274,392.051475869617,,614.862981838081,,106.380545199575,,239.071518965694,,,107.771898621609,3836.70291069535,,225.888155419502,,20.25539556042,,,293.467660840715,4113.01846974723,13602.2544570236,793.448155419502,14395.7026124431,,1362.81314772377,,,0,0,0,1,0,0,0
MN,2018-2019,4074,20,AFSA HIGH SCHOOL,AFSA MIDDLE SCHOOL,2700186.0,2700186,,270018604854.0,34.0,KG-08,3.0,36.88,ADM,15426.66,2126.52999999999,17553.19,11867.5395878524,1718.45742950108,13585.9970173535,3559.1184924078,408.073481561822,3967.19197396963,568935.2208,78426.4264,647361.6472,13543.1519915204,,,,26.5618221258134,15.8695770065075,109.150488069414,374.837310195227,1821.50054229934,,,,,170.04636659436,1356.30450108459,,,218.777386117136,6.53009761388286,626.355748373102,232.858459869848,3.38015184381778,392.051518438177,29.3633405639913,899.755151843817,,106.380694143167,,,,,588.269793926247,3788.93844902386,,225.888015184381,,1072.83839479392,,,99.6312364425162,4025.08676789587,13496.0089696312,1735.82311279826,15231.8320824295,,1362.81317787418,,,0,0,0,1,0,0,0
MN,2018-2019,4220,10,AGAMIM CLASSICAL ACADEMY,AGAMIM CLASSICAL ACADEMY,2700394.0,2700394,,270039404751.0,310.0,KG-08,3.0,306.75,ADM,12853.39,247.62,13101.01,7453.03439282803,247.62347188264,7700.65786471067,5400.34334148329,0,5400.34334148329,3942777.3825,75957.435,4018734.8175,10201.9128664917,,,,43.6126813365933,,1563.25232273838,,85.0873349633251,,,,,,1226.31882640586,,,,,,130.998565607171,,477.890236348818,,2.72625916870415,,49.9065362673186,,5.54197229013854,,,72.7494376528117,3708.66920945395,,451.059657701711,,,,,174.874034229828,3476.39837000815,11205.0503422982,247.62,11452.6703422982,,1631.91576202118,,,0,0,0,1,0,0,0
MN,2018-2019,1,6,AITKIN PUBLIC SCHOOL DISTRICT,AITKIN ALTERNATIVE LEARNING PROGRAM,2702760.0,2702760,24500100100000.0,270276002789.0,5.0,07-12,4.0,0.68,ADM,78790.14,6.93,78797.0699999999,76124.4264705882,0,76124.4264705882,2665.72058823529,6.92647058823529,2672.64705882352,53577.2952,4.7124,53582.0076,78532.5087450202,,,,,,312.308823529411,,,,,,,,596.411764705882,,,,613.705882352941,,,,159.882352941176,,,,81.5588235294117,,,6.92647058823529,,,75720.0147058823,,,,,,145.382352941176,,404.411764705882,78477.8311764705,6.93,78484.7611764705,,756.470588235294,,,0,0,0,1,0,1,0
MN,2018-2019,1,10,AITKIN PUBLIC SCHOOL DISTRICT,AITKIN SCHOOL READINESS,2702760.0,2702760,24500100100000.0,,,,,0,ADM,0,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,0,1,0,1,0
MN,2018-2019,1,1,AITKIN PUBLIC SCHOOL DISTRICT,AITKIN SECONDARY SCHOOL,2702760.0,2702760,24500100100000.0,270276000057.0,557.0,07-12,4.0,555.32,ADM,12881.26,55.45,12936.71,10215.5627386011,48.5205827270762,10264.0833213282,2665.70724987394,6.93346178779802,2672.64071166174,7153221.3032,30792.494,7184013.7972,12337.9022310866,,,,821.259057840524,,312.310469639126,2.77603904055319,331.468828783404,,,2.42229705395087,215.337391053806,,596.409511632932,,,,613.709140675646,,180.734279334437,,159.878610530865,,1144.51166894763,,81.55463516531,,532.469152920838,6.93346178779802,,,4960.5199344522,,,,552.570391846142,,145.379925088237,43.3222466325722,1476.69203342217,12237.4807015774,52.6739609594468,12290.1546625369,,756.464957141828,,,0,0,0,1,0,0,0
MN,2018-2019,1,2,AITKIN PUBLIC SCHOOL DISTRICT,RIPPLESIDE ELEMENTARY,2702760.0,2702760,24500100100000.0,270276000059.0,624.0,PK-06,2.0,615.33,ADM,10112.32,532.01,10644.33,7446.62800448539,525.076333024556,7971.70433750995,2665.70727902101,6.933450343718,2672.64072936473,6222413.8656,327361.7133,6549775.5789,10267.9973839333,,,,,,312.310483805437,,111.769700810946,,,,,,596.409520094908,,,,613.709131685437,,233.718882550826,,159.878617977345,,481.612240586352,,81.5546292233435,,106.418214616547,6.933450343718,,477.815497375392,4180.73081110948,,,,383.204508150098,,145.379926218451,47.2608356491638,1949.17364666114,9688.23981538361,532.01,10220.2498153836,,756.464970016089,,,0,0,0,1,0,0,0
MN,2018-2019,745,60,ALBANY PUBLIC SCHOOL DISTRICT,Albany Area High School,2702930.0,2702930,24507300100000.0,270293000064.0,523.0,09-12,4.0,502.75,ADM,12162.76,34.25,12197.01,9955.31797115862,16.4443162605668,9971.76228741919,2207.45638985579,17.8143809050223,2225.27077076081,6114827.59,17219.1875,6132046.7775,11891.8517074902,,1.15524614619592,,1668.93959224266,,382.765430134261,6.02259572352063,118.710273495773,,,10.4217205370462,850.342933863749,0.433396320238687,511.403540527101,,,,152.440019890601,,323.753635007459,,154.217821979114,,890.247081054201,,38.8759622078567,,292.243639980109,3.74665340626553,309.021720537046,,4321.09344604674,,12.3813426156141,,474.324654400795,13.6343311785181,221.900447538538,,1015.66271506713,11661.2842963699,28.2274042764793,11689.5117006464,,423.294858279462,,,0,0,0,1,0,0,0
