state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_CO,enrollmetric,pp_stloc_raw_CO,pp_fed_raw_CO,pp_total_raw_CO,pp_site_stloc_raw_CO,pp_site_fed_raw_CO,pp_site_raw_CO,pp_centshare_stloc_raw_CO,pp_centshare_fed_raw_CO,pp_centshare_raw_CO,schoolstloc_raw_CO,schoolfed_raw_CO,schooltot_raw_CO,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
CO,2018-2019,970,1215,CALHAN RJ-1,CALHAN MIDDLE SCHOOL,802730,802730,6502100200000.0,80273000510,108.0,06-08,3.0,108,School Membership,5276,0,5277,2211,0,2211,3065,0,3066,569808,0,569916,,1,0,0,0,0,0,1
CO,2018-2019,270,1248,CAMPO RE-6,CAMPO ELEMENTARY SCHOOL,802760,802760,6500550500000.0,80276000169,27.0,PK-05,2.0,27,School Membership,21815,260,22076,10902,215,11117,10913,45,10959,589005,7020,596052,21411.54348,1,0,0,0,0,0,0
CO,2018-2019,270,1252,CAMPO RE-6,CAMPO UNDIVIDED HIGH SCHOOL,802760,802760,6500550500000.0,80276000170,19.0,06-12,4.0,19,School Membership,26614,413,27027,15701,368,16069,10913,45,10959,505666,7847,513513,26362.54348,1,0,0,0,0,0,0
CO,2018-2019,1140,1266,CANON CITY RE-1,CANON CITY HIGH SCHOOL,802790,802790,6502200300000.0,80279000172,1010.0,09-12,4.0,1010,School Membership,10860,870,11729,7988,511,8499,2872,359,3231,10968600,878700,11846290,11192.42735,1,0,0,0,0,0,0
CO,2018-2019,1140,1262,CANON CITY RE-1,CANON CITY MIDDLE SCHOOL,802790,802790,6502200300000.0,80279000171,401.0,06-08,3.0,401,School Membership,9378,1331,10709,6506,972,7479,2872,359,3231,3760578,533731,4294309,10172.42735,1,0,0,0,0,0,0
CO,2018-2019,1140,7950,CANON CITY RE-1,CANON EXPLORATORY SCHOOL,802790,802790,6502200300000.0,80279001433,344.0,KG-08,3.0,344,School Membership,8609,1097,9706,5737,738,6475,2872,359,3231,2961496,377368,3338864,9169.427348,1,0,0,0,0,0,0
CO,2018-2019,1140,3802,CANON CITY RE-1,HARRISON SCHOOL,802790,802790,6502200300000.0,80279000173,694.0,KG-08,3.0,694,School Membership,9246,1501,10746,6374,1142,7515,2872,359,3231,6416724,1041694,7457724,10209.42735,1,0,0,0,0,0,0
CO,2018-2019,1140,5166,CANON CITY RE-1,LINCOLN SCHOOL OF SCIENCE AND TECHNOLOGY,802790,802790,6502200300000.0,80279000174,273.0,KG-05,2.0,273,School Membership,10578,1937,12515,7706,1578,9284,2872,359,3231,2887794,528801,3416595,11978.42735,1,0,0,0,0,0,0
CO,2018-2019,1140,5704,CANON CITY RE-1,MCKINLEY ELEMENTARY SCHOOL,802790,802790,6502200300000.0,80279000175,188.0,KG-05,2.0,188,School Membership,11717,2203,13919,8845,1844,10689,2872,359,3231,2202796,414164,2616772,13382.42735,1,0,0,0,0,0,0
CO,2018-2019,1140,6752,CANON CITY RE-1,MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,802790,802790,6502200300000.0,80279001538,252.0,PK-08,3.0,252,School Membership,6970,0,6970,6970,0,6970,0,0,0,1756440,0,1756440,6433.427348,1,0,0,0,0,0,0
