state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NM,enrollmetric,pp_stloc_raw_NM,pp_fed_raw_NM,pp_total_raw_NM,pp_site_stloc_raw_NM,pp_site_fed_raw_NM,pp_site_raw_NM,pp_centshare_stloc_raw_NM,pp_centshare_fed_raw_NM,pp_centshare_raw_NM,schoolstloc_raw_NM,schoolfed_raw_NM,schooltot_raw_NM,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NM,2018-2019,46,46114,Alamogordo,North Elementary,3500030,3500030,32501900100000.0,350003000010.0,395.0,PK-05,2.0,388,First Reporting Period MEM,6008.157869,1477.0480848,7485.205953,3240.441142,1214.105619,4454.546761,2767.716727,262.9424658,3030.659193,2331165.253172,573094.6569024,2904259.90976399,7971.710529,0,0,0,0,0,0,0
NM,2018-2019,46,46118,Alamogordo,Oregon Elementary,3500030,3500030,32501900100000.0,350003000011.0,141.0,,0.0,141,First Reporting Period MEM,8266.60821,964.315018999999,9230.923228,5498.891472,701.3725532,6200.264025,2767.716738,262.9424658,3030.659203,1165591.75761,135968.417678999,1301560.175148,9717.427804,0,0,0,0,0,0,0
NM,2018-2019,46,46150,Alamogordo,Sierra Elementary,3500030,3500030,32501900100000.0,350003000013.0,375.0,KG-05,2.0,375,First Reporting Period MEM,7421.58312599999,995.3893458,8416.972471,4653.866406,732.44688,5386.313286,2767.71672,262.9424658,3030.659186,2783093.67225,373271.004675,3156364.676625,8903.477047,0,0,0,0,0,0,0
NM,2018-2019,46,46181,Alamogordo,Yucca Elementary,3500030,3500030,32501900100000.0,350003000016.0,344.0,PK-05,2.0,344,First Reporting Period MEM,6771.773809,801.288308799999,7573.062118,4004.057094,538.345843,4542.402937,2767.716715,262.9424658,3030.659181,2329490.190296,275643.178227199,2605133.368592,8059.566694,0,0,0,0,0,0,0
NM,2018-2019,1,1321,Albuquerque,A. Montoya Elementary,3500060,3500060,32500100100000.0,350006000017.0,462.0,PK-05,2.0,460,First Reporting Period MEM,8853.955866,723.6038674,9577.559733,6190.045783,416.1231522,6606.168935,2663.910083,307.4807152,2971.390798,4072819.69836,332857.779004,4405677.47718,9975.143078,0,0,0,0,0,0,0
NM,2018-2019,1,1090,Albuquerque,ABQ CHARTER ACADEMY,3500060,3500060,32500100100000.0,350006000893.0,299.0,09-12,4.0,299,First Reporting Period MEM,9302.68,412.82,9715.5,9302.68,412.82,9715.5,0,0,0,2781501.32,123433.18,2904934.5,10113.08334,0,0,0,0,0,0,0
NM,2018-2019,1,1749,Albuquerque,ACE LEADERSHIP HIGH SCHOOL,3500060,3500060,32500100100000.0,350006001074.0,247.0,09-12,4.0,247,First Reporting Period MEM,8705.3017,1273.575547,9978.877247,8705.3017,1273.575547,9978.877247,0,0,0,2150209.5199,314573.160109,2464782.680009,10376.46059,0,0,0,0,0,0,0
NM,2018-2019,1,1206,Albuquerque,Adobe Acres Elementary,3500060,3500060,32500100100000.0,350006000020.0,472.0,PK-05,2.0,472,First Reporting Period MEM,8687.14159,1326.51591569999,10013.65751,6311.869873,841.6416102,7153.511483,2375.271717,484.8743055,2860.146023,4100330.83047999,626115.5122104,4726446.34471999,10411.24085,0,0,0,0,0,0,0
NM,2018-2019,1,1207,Albuquerque,Alameda Elementary,3500060,3500060,32500100100000.0,350006000021.0,256.0,PK-05,2.0,257,First Reporting Period MEM,9186.31617199999,979.099220999999,10165.41539,6521.471245,524.5983268,7046.069572,2664.844927,454.5008942,3119.345821,2360883.25620399,251628.499797,2612511.75523,10562.99873,0,0,0,0,0,0,0
NM,2018-2019,1,1210,Albuquerque,Alamosa Elementary,3500060,3500060,32500100100000.0,350006000022.0,518.0,PK-05,2.0,518,First Reporting Period MEM,8136.976195,1357.6661208,9494.642316,5846.593861,858.0639961,6704.657857,2290.382334,499.6021247,2789.984458,4214953.66901,703271.0505744,4918224.719688,9892.225661,0,0,0,0,0,0,0
NM,2018-2019,1,1590,Albuquerque,Albuquerque High,3500060,3500060,32500100100000.0,350006000024.0,1806.0,09-12,4.0,1806,First Reporting Period MEM,7530.30104,649.7811543,8180.082194,4955.501506,201.133948,5156.635454,2574.799534,448.6472063,3023.44674,13599723.67824,1173504.7646658,14773228.442364,8577.665539,0,0,0,0,0,0,0
NM,2018-2019,1,1116,Albuquerque,ALICE KING COMMUNITY SCHOOL,3500060,3500060,32500100100000.0,350006000924.0,477.0,KG-08,3.0,477,First Reporting Period MEM,7498.66,708.54,8207.2,7498.66,708.54,8207.2,0,0,0,3576860.82,337973.579999999,3914834.4,8604.783345,0,0,0,0,0,0,0
NM,2018-2019,1,1213,Albuquerque,Alvarado Elementary,3500060,3500060,32500100100000.0,350006000025.0,296.0,KG-05,2.0,296,First Reporting Period MEM,9081.666431,890.0222527,9971.688684,6817.317804,517.4208784,7334.738682,2264.348627,372.6013743,2636.950001,2688173.263576,263446.5867992,2951619.850464,10369.27203,0,0,0,0,0,0,0
NM,2018-2019,1,1214,Albuquerque,Apache Elementary,3500060,3500060,32500100100000.0,350006000026.0,325.0,PK-05,2.0,325,First Reporting Period MEM,9015.131125,1477.513153,10492.64428,6636.908062,1002.601969,7639.510031,2378.223063,474.911184,2853.134247,2929917.615625,480191.774725,3410109.391,10890.22762,0,0,0,0,0,0,0
NM,2018-2019,1,1215,Albuquerque,Armijo Elementary,3500060,3500060,32500100100000.0,350006000027.0,333.0,PK-05,2.0,333,First Reporting Period MEM,9137.914366,1388.3028469,10526.21721,6612.749249,894.6926727,7507.441922,2525.165117,493.6101742,3018.775291,3042925.483878,462304.8480177,3505230.33093,10923.80055,0,0,0,0,0,0,0
NM,2018-2019,1,1329,Albuquerque,Arroyo Del Oso Elementary,3500060,3500060,32500100100000.0,350006000028.0,387.0,PK-05,2.0,387,First Reporting Period MEM,8043.20967299999,793.4982103,8836.707884,5870.013101,488.6877519,6358.700853,2173.196572,304.8104584,2478.007031,3112722.14345099,307083.8073861,3419805.951108,9234.291229,0,0,0,0,0,0,0
