state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_FL,enrollmetric,pp_stloc_raw_FL,pp_fed_raw_FL,pp_total_raw_FL,pp_site_stloc_raw_FL,pp_site_fed_raw_FL,pp_site_raw_FL,pp_centshare_stloc_raw_FL,pp_centshare_fed_raw_FL,pp_centshare_raw_FL,schoolstloc_raw_FL,schoolfed_raw_FL,schooltot_raw_FL,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
FL,2018-2019,50,2241,PALM BEACH,MANATEE ELEMENTARY SCHOOL,1201500,1201500,10505000100000.0,120150002934,1252.0,PK-05,2.0,1252,October Count Day,7673,419,8092,7429,406,7835,244,13,256,9606596,524588,10131184,9177.0,1,0,0,0,0,0,0
FL,2018-2019,50,661,PALM BEACH,MARSH POINTE ELEMENTARY,1201500,1201500,10505000100000.0,120150007552,887.0,PK-05,2.0,887,October Count Day,8119,421,8540,7875,408,8283,244,13,256,7201553,373427,7574980,9625.0,1,0,0,0,0,0,0
FL,2018-2019,50,3971,PALM BEACH,MAVERICKS HIGH SCHOOL AT PALM SPRINGS,1201500,1201500,10505000100000.0,120150008009,433.0,09-12,4.0,433,October Count Day,7242,0,7242,7242,0,7242,0,0,0,3135786,0,3135786,8327.0,1,0,0,0,0,0,0
FL,2018-2019,50,591,PALM BEACH,MEADOW PARK ELEMENTARY SCHOOL,1201500,1201500,10505000100000.0,120150001508,773.0,PK-05,2.0,773,October Count Day,10243,1038,11280,9935,1014,10949,308,24,331,7917839,802374,8719440,12365.0,1,0,0,0,0,0,0
FL,2018-2019,50,1441,PALM BEACH,MELALEUCA ELEMENTARY SCHOOL,1201500,1201500,10505000100000.0,120150001555,726.0,KG-05,2.0,726,October Count Day,8704,1207,9910,8424,1186,9610,280,21,301,6319104,876282,7194660,10995.0,1,0,0,0,0,0,0
FL,2018-2019,50,3394,PALM BEACH,"MONTESSORI ACADEMYOF EARLY ENRICHMENT, INC",1201500,1201500,10505000100000.0,120150005688,182.0,PK-05,2.0,182,October Count Day,8935,467,9401,8935,467,9401,0,0,0,1626170,84994,1710982,10486.0,1,0,0,0,0,0,0
FL,2018-2019,50,1951,PALM BEACH,MORIKAMI PARK ELEMENTARY SCHOOL,1201500,1201500,10505000100000.0,120150003468,794.0,PK-05,2.0,794,October Count Day,7856,333,8189,7605,323,7928,251,10,261,6237664,264402,6502066,9274.0,1,0,0,0,0,0,0
FL,2018-2019,50,2051,PALM BEACH,NEW HORIZONS ELEMENTARY SCHOOL,1201500,1201500,10505000100000.0,120150002630,684.0,PK-07,3.0,684,October Count Day,9504,562,10065,9227,547,9773,277,15,292,6500736,384408,6884460,11150.0,1,0,0,0,0,0,0
FL,2018-2019,50,681,PALM BEACH,NORTH GRADE ELEMENTARY SCHOOL,1201500,1201500,10505000100000.0,120150001515,708.0,KG-07,3.0,708,October Count Day,9034,943,9977,8766,922,9688,268,21,289,6396072,667644,7063716,11062.0,1,0,0,0,0,0,0
FL,2018-2019,50,291,PALM BEACH,NORTHBORO ELEMENTARY SCHOOL,1201500,1201500,10505000100000.0,120150001491,769.0,PK-05,2.0,769,October Count Day,10170,846,11016,9870,825,10695,300,21,321,7820730,650574,8471304,12101.0,1,0,0,0,0,0,0
