state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_GA,enrollmetric,pp_stloc_raw_GA,pp_fed_raw_GA,pp_total_raw_GA,pp_site_stloc_raw_GA,pp_site_fed_raw_GA,pp_site_raw_GA,pp_centshare_stloc_raw_GA,pp_centshare_fed_raw_GA,pp_centshare_raw_GA,schoolstloc_raw_GA,schoolfed_raw_GA,schooltot_raw_GA,pp_total_norm_NERDS,distexclu_raw_GA,disttotwexclu_raw_GA,schoolexclu_raw_GA,charter_fed_dist_raw_GA,charter_state_dist_raw_GA,note_raw_GA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
GA,2018-2019,761,1411,Atlanta Public Schools,B.E.S.T Academy,1300120,1300120,11506000100000.0,130012003558,326.0,06-12,4.0,326,Four Quarter ADA,21125.41015625,1567.03002929688,22692.4296875,16729.1875,1166.69665527344,17895.884765625,4396.22021484375,400.328918457031,4796.54931640625,6886883,510850.34375,7397733,23904.74993,157537632,968419456,103493.5,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,5066,Atlanta Public Schools,Barack and Michelle Obama Academy,1300120,1300120,11506000100000.0,130012000077,290.0,PK-05,2.0,265,Four Quarter ADA,21173.080078125,1407.2099609375,22580.2890625,16835.693359375,1005.92565917969,17841.619140625,4337.388671875,401.280059814453,4738.66845703125,5610867,372909.53125,5983776.5,23792.60931,157537632,968419456,283659.84000000003,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,604,Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,1300120,1300120,11506000100000.0,130012003030,417.0,PK-05,2.0,397,Four Quarter ADA,18687.240234375,1110.73999023438,19797.98046875,14344.443359375,708.956420898438,15053.3994140625,4342.7998046875,401.785461425781,4744.58544921875,7418835.5,440964.53125,7859800,21010.30071,157537632,968419456,206480.93,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,3051,Atlanta Public Schools,Beecher Hills Elementary School,1300120,1300120,11506000100000.0,130012000118,290.0,PK-05,2.0,270,Four Quarter ADA,19834.630859375,1833,21667.630859375,15513.134765625,1433.1865234375,16946.322265625,4321.49658203125,399.816345214844,4721.31298828125,5355350.5,494910.75,5850261,22879.9511,157537632,968419456,10363268.560000001,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,5051,Atlanta Public Schools,Benteen Elementary School,1300120,1300120,11506000100000.0,130012000073,314.0,PK-05,2.0,276,Four Quarter ADA,17870.779296875,1504.26000976562,19375.0390625,13517.017578125,1101.46057128906,14618.478515625,4353.75732421875,402.800079345703,4756.5576171875,4932334,415175.9375,5347510,20587.35931,157537632,968419456,379073.87,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,303,Atlanta Public Schools,Bolton Academy,1300120,1300120,11506000100000.0,130012003028,601.0,PK-05,2.0,540,Four Quarter ADA,15130.240234375,886.679992675781,16016.919921875,10808.666015625,486.864440917969,11295.5302734375,4321.572265625,399.816345214844,4721.38818359375,8170328.5,478807.625,8649136,17229.24017,157537632,968419456,576942.4,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,315,Atlanta Public Schools,Booker T. Washington High School,1300120,1300120,11506000100000.0,130012004174,679.0,09-12,4.0,679,Four Quarter ADA,16292.099609375,1235.44995117188,17527.55078125,11828.3955078125,834.427734375,12662.8232421875,4463.708984375,401.020385742188,4864.72900390625,11062339,838869.25,11901208,18739.87103,157537632,968419456,144984.68,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,1053,Atlanta Public Schools,Boyd Elementary School,1300120,1300120,11506000100000.0,130012000022,476.0,PK-05,2.0,436,Four Quarter ADA,17499.369140625,1223.31994628906,18722.689453125,13145.662109375,820.522644042969,13966.1845703125,4353.7060546875,402.800079345703,4756.50634765625,7629724.5,533368.6875,8163093,19935.0097,157537632,968419456,714012.55000000016,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,2053,Atlanta Public Schools,Brandon Elementary School,1300120,1300120,11506000100000.0,130012000127,1008.0,KG-05,2.0,1008,Four Quarter ADA,12563.25,635.099975585938,13198.3603515625,8226.7900390625,233.901397705078,8460.69140625,4336.46435546875,401.20166015625,4737.666015625,12663761,640183.875,13303945,14410.6806,157537632,968419456,1220030.49,0,0,,1,0,0,1,0,0,0
GA,2018-2019,761,100,Atlanta Public Schools,Brown Middle School,1300120,1300120,11506000100000.0,130012002344,480.0,06-08,3.0,480,Four Quarter ADA,15937.8095703125,1222,17159.810546875,11598.9765625,819.2041015625,12418.1806640625,4338.83251953125,402.800079345703,4741.63232421875,7650148,586562,8236710,18372.13079,157537632,968419456,184894.5,0,0,,1,0,0,1,0,0,0
