state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NE,enrollmetric,pp_stloc_raw_NE,pp_fed_raw_NE,pp_total_raw_NE,schoolstloc_raw_NE,schoolfed_raw_NE,schooltot_raw_NE,pp_total_norm_NERDS,pp_schsalary_raw_NE,pp_schbenefits_raw_NE,pp_schbuildcontents_raw_NE,pp_stloc_operational_NE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NE,2018-2019,210025,6,BROKEN BOW PUBLIC SCHOOLS,BROKEN BOW MIDDLE SCHOOL,3100011,3100011,28502101500000.0,310001101882,180.0,06-08,3.0,177.93,ADM,10452,53,11793,1859724.36,9430.29,2098328.49,12020.0,6372,2882,1288,12067.2194683302,0,0,1,1,0,0,0
NE,2018-2019,210025,5,BROKEN BOW PUBLIC SCHOOLS,EARLY CHILDHOOD SERVICES,3100011,3100011,28502101500000.0,310001101855,35.0,PK-PK,1.0,35,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,0,0,1,1,0,1,0
NE,2018-2019,210025,10,BROKEN BOW PUBLIC SCHOOLS,NEW DISCOVERIES PRESCHOOL,3100011,3100011,28502101500000.0,310001102271,63.0,PK-PK,1.0,65,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,0,0,1,1,0,1,0
NE,2018-2019,210025,4,BROKEN BOW PUBLIC SCHOOLS,NORTH PARK ELEMENTARY SCHOOL,3100011,3100011,28502101500000.0,310001101861,354.0,PK-05,2.0,352.82,ADM,11381,425,13068,4015444.42,149948.5,4610651.76,13295.0,6996,3293,1262,12195.5683351283,0,0,1,1,0,0,0
NE,2018-2019,852001,3,BRUNING-DAVENPORT UNIFIED SYS,BRUNING-DAVENPORT ELEM/BRUNING,3100124,3100124,28508530100000.0,310012400868,56.0,PK-01,1.0,25,ADM,24558,2396,30267,613950,59900,756675,29203.0,18527,8133,3313,24558,0,0,1,1,0,1,0
NE,2018-2019,852001,4,BRUNING-DAVENPORT UNIFIED SYS,BRUNING-DAVENPORT ELEM/DAVENPT,3100124,3100124,28508530100000.0,310012400877,35.0,02-04,2.0,35.08,ADM,24585,1887,30507,862441.799999999,66195.9599999999,1070185.56,29443.0,13584,5762,4035,24585,0,0,1,1,0,0,0
NE,2018-2019,852001,1,BRUNING-DAVENPORT UNIFIED SYS,BRUNING-DAVENPORT HIGH SCHOOL,3100124,3100124,28508530100000.0,310012400853,43.0,09-12,4.0,44.16,ADM,30045,633,33991,1326787.2,27953.28,1501042.55999999,32927.0,17420,6882,3313,30045,0,0,1,1,0,0,0
NE,2018-2019,852001,2,BRUNING-DAVENPORT UNIFIED SYS,BRUNING-DAVENPORT MIDDLE SCH,3100124,3100124,28508530100000.0,310012400865,56.0,05-08,3.0,56.36,ADM,21001,173,23673,1183616.36,9750.28,1334210.28,22609.0,10600,4113,2499,21001,0,0,1,1,0,0,0
NE,2018-2019,360100,3,BURWELL PUBLIC SCHOOLS,BURWELL ELEMENTARY SCHOOL,3104640,3104640,28503660100000.0,310464000111,167.0,PK-06,2.0,134.63,ADM,12750,624,15636,1716532.5,84009.12,2105074.67999999,15263.0,7456,3693,2262,13507.5206120478,0,0,1,1,0,0,0
NE,2018-2019,360100,1,BURWELL PUBLIC SCHOOLS,BURWELL JR-SR HIGH SCHOOL,3104640,3104640,28503660100000.0,310464000112,152.0,07-12,4.0,153.26,ADM,18214,225,20754,2791477.63999999,34483.5,3180758.04,20381.0,11555,4714,2315,18879.4378180869,0,0,1,1,0,0,0
NE,2018-2019,210180,2,CALLAWAY PUBLIC SCHOOLS,CALLAWAY ELEMENTARY SCHOOL,3100012,3100012,28502101800000.0,310001200119,126.0,PK-06,2.0,103.81,ADM,14895,1209,18146,1546249.95,125506.29,1883736.26,17823.0,9673,3997,2042,14914.2659666698,0,0,1,1,0,0,0
NE,2018-2019,210180,1,CALLAWAY PUBLIC SCHOOLS,CALLAWAY HIGH SCHOOL,3100012,3100012,28502101800000.0,310001200120,95.0,07-12,4.0,93.15,ADM,17713,272,20253,1649965.95,25336.8,1886566.95,19930.0,10318,4209,2268,17734.4707461084,0,0,1,1,0,0,0
NE,2018-2019,330021,2,CAMBRIDGE PUBLIC SCHOOLS,CAMBRIDGE ELEMENTARY SCHOOL,3100015,3100015,28503300300000.0,310001500121,130.0,PK-04,2.0,95.38,ADM,13125,849,16353,1251862.5,80977.62,1559749.14,15806.0,8698,3921,2379,13125,0,0,1,1,0,1,0
NE,2018-2019,330021,1,CAMBRIDGE PUBLIC SCHOOLS,CAMBRIDGE HIGH SCHOOL,3100015,3100015,28503300300000.0,310001500122,109.0,09-12,4.0,108.82,ADM,16714,265,19358,1818817.48,28837.3,2106537.56,18811.0,10436,4338,2379,16714,0,0,1,1,0,0,0
NE,2018-2019,330021,3,CAMBRIDGE PUBLIC SCHOOLS,CAMBRIDGE MIDDLE SCHOOL,3100015,3100015,28503300300000.0,310001502316,91.0,05-08,3.0,90.75,ADM,11076,265,13720,1005147,24048.75,1245090,13173.0,6448,2971,2379,11076,0,0,1,1,0,0,0
