state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MD,enrollmetric,pp_stloc_raw_MD,pp_fed_raw_MD,pp_total_raw_MD,schoolstloc_raw_MD,schoolfed_raw_MD,schooltot_raw_MD,pp_total_norm_NERDS,pp_site_stloc_difference_MD,pp_site_fed_difference_MD,pp_site_difference_MD,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MD,2018-2019,17,406,Queen Anne's,Matapeake Elementary School,2400540,2400540,21101801730100.0,240054001557.0,466.0,PK-05,2.0,466,September Count Day,11500,355,11855,5359000,165430,5524430,12365.23719,10717,306,11023,1,0,1,0,0,0,0
MD,2018-2019,17,407,Queen Anne's,Matapeake Middle School,2400540,2400540,21101801730100.0,240054001644.0,359.0,06-08,3.0,359,September Count Day,14445,535,14980,5185755,192065,5377820,15490.23719,13662,486,14148,1,0,1,0,0,0,0
MD,2018-2019,17,301,Queen Anne's,Queen Anne's County High School,2400540,2400540,21101801730100.0,240054001195.0,1156.0,09-12,4.0,1156,September Count Day,12444,444,12889,14385264,513264,14899684,13399.23719,11661,395,12057,1,0,1,0,0,0,0
MD,2018-2019,17,404,Queen Anne's,Stevensville Middle School,2400540,2400540,21101801730100.0,240054001196.0,530.0,06-08,3.0,530,September Count Day,11468,381,11849,6078040,201930,6279970,12359.23719,10685,332,11017,1,0,1,0,0,0,0
MD,2018-2019,17,106,Queen Anne's,Sudlersville Elementary School,2400540,2400540,21101801730100.0,240054001197.0,320.0,PK-04,2.0,320,September Count Day,17686,2357,20043,5659520,754240,6413760,20553.23719,16903,2308,19211,1,0,1,0,0,0,0
MD,2018-2019,17,101,Queen Anne's,Sudlersville Middle School,2400540,2400540,21101801730100.0,240054001198.0,492.0,05-08,3.0,492,September Count Day,12136,937,13072,5970912,461004,6431424,13582.23719,11353,888,12240,1,0,1,0,0,0,0
MD,2018-2019,18,302,Saint Mary's,Benjamin Banneker Elementary,2400600,2400600,21101901830100.0,240060001216.0,642.0,PK-05,2.0,642,September Count Day,15909,1219,17128,10213578,782598,10996176,17238.03472,15035,1205,16240,1,0,1,0,0,0,0
MD,2018-2019,18,308,Saint Mary's,Captain Walter Francis Duke Elementary,2400600,2400600,21101901830100.0,240060001732.0,577.0,PK-05,2.0,577,September Count Day,12784,338,13123,7376368,195026,7571971,13233.03472,11910,324,12235,1,0,1,0,0,0,0
MD,2018-2019,18,813,Saint Mary's,Chesapeake Charter School,2400600,2400600,21101901830100.0,240060001639.0,440.0,KG-08,3.0,440,September Count Day,12763,166,12929,5615720,73040,5688760,13039.03472,11889,152,12041,1,0,1,0,0,0,0
MD,2018-2019,18,303,Saint Mary's,Chopticon High,2400600,2400600,21101901830100.0,240060001218.0,1679.0,09-12,4.0,1679,September Count Day,11998,304,12302,20144642,510416,20655058,12412.03472,11124,290,11414,1,0,1,0,0,0,0
