state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NH,enrollmetric,pp_stloc_raw_NH,pp_fed_raw_NH,pp_total_raw_NH,schoolstloc_raw_NH,schoolfed_raw_NH,schooltot_raw_NH,pp_total_norm_NERDS,pp_total_operational_NH,pp_stloc_operational_NH,pp_fed_operational_NH,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NH,2018-2019,525,20365,Tamworth,Kenneth A. Brett School,3306600,3306600,30500201400000,330660000432,185.0,KG-08,3.0,182.23,Adjusted ADM,,,30926.5284530538,5299640.46,168050.41,5467690.87,30124.9298468937,30004.3399550019,29082.15145695,922.188498051912,0,0,1,0,0,1,0
NH,2018-2019,531,22380,Thornton,Thornton Central School,3306660,3306660,30500503600000,330666000433,215.0,KG-08,3.0,214.28,Adjusted ADM,,,19780.3255553481,4051385.96,93571.1,4144957.06,19478.7322191611,19343.6487773007,18906.9719992533,436.676778047414,0,0,1,0,0,0,0
NH,2018-2019,534,22740,Timberlane Regional,Atkinson Academy,3306720,3306720,30500870200000,330672000434,340.0,PK-05,2.0,317.41,Adjusted ADM,,,18884.872971866,5725413.87,134416.83,5859830.7,18656.4387338645,18461.3928357644,18037.9126996628,423.480136101572,0,0,1,0,0,0,0
NH,2018-2019,534,22745,Timberlane Regional,Danville Elementary School,3306720,3306720,30500870200000,330672000435,255.0,PK-05,2.0,241.77,Adjusted ADM,,,18886.4351656533,4361386.91,102393.26,4463780.17,18657.9659047179,18462.9200066178,18039.4048475824,423.515159035446,0,0,1,0,0,0,0
NH,2018-2019,534,22765,Timberlane Regional,Pollard Elementary School,3306720,3306720,30500870200000,330672000436,471.0,PK-05,2.0,450.8,Adjusted ADM,,,18885.710780834,8131851.8,190913.31,8322765.11,18657.2577658906,18462.2118677905,18038.7129547471,423.498913043478,0,0,1,0,0,0,0
NH,2018-2019,534,22775,Timberlane Regional,Sandown Central School,3306720,3306720,30500870200000,330672000438,160.0,PK-KG,1.0,106.11,Adjusted ADM,,,18884.8730562623,1914002.92,44935.48,1958938.4,18656.4387922665,18461.3928941664,18037.9127320704,423.480162095938,0,0,1,0,0,0,0
NH,2018-2019,534,27910,Timberlane Regional,Sandown North Elementary School,3306720,3306720,30500870200000,330672000596,331.0,01-05,2.0,338.16,Adjusted ADM,,,18885.431422995,6099880.93,143208.28,6243089.21,18656.9846549016,18461.9387568015,18038.4460906079,423.492666193517,0,0,1,0,0,0,0
NH,2018-2019,534,22770,Timberlane Regional,Timberlane Regional High School,3306720,3306720,30500870200000,330672000439,1100.0,09-12,4.0,1089.43,Adjusted ADM,,,20322.3737550829,21415151.28,362326.18,21777477.46,20184.8363940475,19989.7904959474,19657.2072368119,332.583259135511,0,0,1,0,0,0,0
NH,2018-2019,534,22760,Timberlane Regional,Timberlane Regional Middle School,3306720,3306720,30500870200000,330672000440,809.0,06-08,3.0,810.42,Adjusted ADM,,,19419.6455294785,15198989.87,269539.63,15468529.5,19282.0989076507,19087.0530095506,18754.4604896226,332.592519927938,0,0,1,0,0,0,0
NH,2018-2019,539,20180,Unity,Unity Elementary School,3306750,3306750,30501001300000,330675000441,92.0,PK-08,3.0,92.5,Adjusted ADM,,,23172.6265945945,1922570.12,110448.92,2033019.04,,21978.5842162162,20784.5418378378,1194.04237837837,0,0,1,0,0,1,1
NH,2018-2019,543,22110,Wakefield,Paul Elementary School,3306780,3306780,30500201600000,330678000442,470.0,PK-08,3.0,457.67,Adjusted ADM,,,16297.8480127602,6671712.52,393661.79,7065374.31,16780.7968728886,15437.7046998929,14577.5613870255,860.143312867349,0,0,1,0,0,0,0
NH,2018-2019,549,20900,Warren,Warren Village School,3306870,3306870,30500503700000,330687000444,78.0,PK-08,3.0,76.36,Adjusted ADM,,,21154.2168674698,1422094.0,96621.0,1518715.0,22082.3626260683,19888.8816134101,18623.5463593504,1265.33525405971,0,0,1,0,0,0,0
NH,2018-2019,551,20985,Washington,Washington Elementary School,3306900,3306900,30501001400000,330690000445,41.0,KG-05,2.0,41.63,Adjusted ADM,,,21685.0588517895,889117.0,6816.0,895933.0,27499.1164853642,21521.3307710785,21357.6026903675,163.728080711025,0,0,1,0,0,0,0
NH,2018-2019,553,22385,Waterville Valley,Waterville Valley Elementary School,3306910,3306910,30500580200000,330691000446,22.0,KG-08,3.0,21.73,Adjusted ADM,,,46875.3548090197,939796.18,39402.64,979198.82,43916.6708810608,45062.0717901518,43248.7887712839,1813.28301886792,0,0,1,0,0,1,0
NH,2018-2019,559,22390,Wentworth,Wentworth Elementary School,3306990,3306990,30500503800000,330699000449,62.0,KG-08,3.0,59.85,Adjusted ADM,,,25311.6636591478,1335608.55,89647.26,1425255.81,23938.7042853099,23813.7979949874,22315.932330827,1497.8656641604,0,0,1,0,0,0,0
NH,2018-2019,563,21230,Westmoreland,Westmoreland School,3307020,3307020,30500302200000,330702000450,135.0,KG-08,3.0,136.48,Adjusted ADM,,,18222.8497215709,2336946.35,75054.09,2412000.44,18702.5487033128,17672.9223329425,17122.9949443141,549.92738862837,0,0,1,0,0,0,0
