state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AK,enrollmetric,pp_stloc_raw_AK,pp_fed_raw_AK,pp_total_raw_AK,pp_site_stloc_raw_AK,pp_site_fed_raw_AK,pp_site_raw_AK,pp_centshare_stloc_raw_AK,pp_centshare_fed_raw_AK,pp_centshare_raw_AK,schoolstloc_raw_AK,schoolfed_raw_AK,schooltot_raw_AK,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AK,2018-2019,31,310280,Lower Kuskokwim,Qugcuun Memorial School,200001,200001,2000000030800,20000100475,17.0,PK-12,4.0,18,ADM,33253,2360,35613,27884,2360,30244,5369,0,5369,598554,42480,641034,,0,0,0,0,0,0,1
AK,2018-2019,31,310100,Lower Kuskokwim,Rocky Mountain School,200001,200001,2000000030800,20000100476,63.0,PK-12,4.0,63.3,ADM,21873,1348,23221,16504,1348,17852,5369,0,5369,1384560.9,85328.4,1469889.3,,0,0,0,0,0,0,1
AK,2018-2019,31,310170,Lower Kuskokwim,William Miller Memorial School,200001,200001,2000000030800,20000100409,96.0,PK-12,4.0,86.35,ADM,19944,1771,21715,14575,1771,16346,5369,0,5369,1722164.4,152925.849999999,1875090.24999999,,0,0,0,0,0,0,1
AK,2018-2019,31,310180,Lower Kuskokwim,Z. John Williams Memorial School,200001,200001,2000000030800,20000100439,144.0,PK-12,4.0,143.9,ADM,21664,1967,23631,16295,1967,18262,5369,0,5369,3117449.6,283051.3,3400500.9,,0,0,0,0,0,0,1
AK,2018-2019,32,320010,Lower Yukon,Alakanuk School,200003,200003,2000000031200,20000300216,212.0,PK-12,4.0,204.05,ADM,29004,4353,33357,21384,4222,25606,7620,131,7751,5918266.2,888229.65,6806495.85,33472.84958,0,0,0,0,0,0,0
AK,2018-2019,32,320040,Lower Yukon,Emmonak School,200003,200003,2000000031200,20000300217,221.0,PK-12,4.0,222.2,ADM,27046,3854,30900,19426,3723,23149,7620,131,7751,6009621.19999999,856358.799999999,6865980,31015.84958,0,0,0,0,0,0,0
AK,2018-2019,32,320070,Lower Yukon,Hooper Bay School,200003,200003,2000000031200,20000300219,460.0,PK-12,4.0,441.3,ADM,26795,3677,30472,19175,3546,22721,7620,131,7751,11824633.5,1622660.1,13447293.6,30587.84958,0,0,0,0,0,0,0
AK,2018-2019,32,320080,Lower Yukon,Kotlik School,200003,200003,2000000031200,20000300411,179.0,PK-12,4.0,179,ADM,28059,4192,32251,20439,4061,24500,7620,131,7751,5022561,750368,5772929,32366.84958,0,0,0,0,0,0,0
AK,2018-2019,32,320050,Lower Yukon,Marshall School,200003,200003,2000000031200,20000300218,119.0,PK-12,4.0,119.6,ADM,28690,4044,32734,21070,3913,24983,7620,131,7751,3431324,483662.399999999,3914986.4,32849.84958,0,0,0,0,0,0,0
AK,2018-2019,32,320090,Lower Yukon,Mountain Village School,200003,200003,2000000031200,20000300220,232.0,PK-12,4.0,226.1,ADM,29845,4000,33845,22225,3869,26094,7620,131,7751,6747954.5,904400,7652354.5,33960.84958,0,0,0,0,0,0,0
