state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ND,enrollmetric,pp_stloc_raw_ND,pp_fed_raw_ND,pp_total_raw_ND,schoolstloc_raw_ND,schoolfed_raw_ND,schooltot_raw_ND,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ND,2018-2019,51161,71081,Lewis And Clark Public School District,North Shore Plaza Elementary School,3800058,3800058,35505110100000.0,380005800537,130.0,PK-06,2.0,111,September Count,11615.58,313.14,11928.72,1289329.38,34758.54,1324087.92,14888.80436,1,0,1,0,0,0,0
ND,2018-2019,51161,71083,Lewis And Clark Public School District,North Shore Plaza High School,3800058,3800058,35505110100000.0,380005800507,57.0,07-12,4.0,57,September Count,11615.58,313.14,11928.72,662088.059999999,17848.98,679937.039999999,14888.80436,1,0,1,0,0,0,0
ND,2018-2019,39028,52601,Lidgerwood Public School District,Lidgerwood Elementary School,3811140,3811140,35503902900000.0,381114000365,97.0,PK-06,2.0,89,September Count,12951.71,548.2,13499.91,1152702.19,48789.8,1201491.99,15834.25017,1,0,1,0,0,0,0
ND,2018-2019,39028,52603,Lidgerwood Public School District,Lidgerwood High School,3811140,3811140,35503902900000.0,381114000366,84.0,07-12,4.0,84,September Count,12951.71,548.2,13499.91,1087943.64,46048.8,1133992.44,15834.25017,1,0,1,0,0,0,0
ND,2018-2019,15036,52881,Linton Public School District,Linton Elementary School,3800017,3800017,35501502300000.0,380001700370,176.0,PK-08,3.0,161,September Count,14092.36,564.56,14656.91,2268869.96,90894.1599999999,2359762.51,16399.43712,1,0,1,0,0,0,0
ND,2018-2019,15036,52883,Linton Public School District,Linton High School,3800017,3800017,35501502300000.0,380001700371,84.0,09-12,4.0,84,September Count,14092.36,564.56,14656.91,1183758.24,47423.0399999999,1231180.44,16399.43712,1,0,1,0,0,0,0
ND,2018-2019,37019,52901,Lisbon Public School District,Lisbon Elementary School,3811430,3811430,35503701500000.0,381143000373,216.0,PK-04,2.0,209,September Count,9506.48,294.05,9800.53,1986854.31999999,61456.45,2048310.77,11266.8048,1,0,1,0,0,0,0
ND,2018-2019,37019,52963,Lisbon Public School District,Lisbon High School,3811430,3811430,35503701500000.0,381143000374,187.0,09-12,4.0,187,September Count,11133.35,294.05,11427.4,2081936.45,54987.35,2136923.8,12893.6748,1,0,1,0,0,0,0
ND,2018-2019,37019,52931,Lisbon Public School District,Lisbon Middle School,3811430,3811430,35503701500000.0,381143000375,197.0,05-08,3.0,197,September Count,9249.1,294.05,9543.15,1822072.7,57927.85,1880000.54999999,11009.4248,1,0,1,0,0,0,0
ND,2018-2019,2046,52981,Litchville-Marion Public School District,Litchville-Marion Elementary School,3800057,3800057,35502310100000.0,380005700376,96.0,PK-05,2.0,69,September Count,16732.39,1516.68,18249.07,1154534.91,104650.92,1259185.83,24703.29372,1,0,1,0,0,0,0
ND,2018-2019,2046,54833,Litchville-Marion Public School District,Litchville-Marion High School,3800057,3800057,35502310100000.0,380005700399,33.0,06-12,4.0,33,September Count,16732.39,1516.68,18249.07,552168.87,50050.44,602219.309999999,24703.29372,1,0,1,0,0,0,0
ND,2018-2019,30004,81231,Little Heart Public School District,Little Heart Elementary School,3811540,3811540,35503002900000.0,381154000378,22.0,PK-08,3.0,22,September Count,14756.65,0,14756.65,324646.3,0,324646.3,14772.72727,1,0,1,0,0,0,0
ND,2018-2019,17006,31911,Lone Tree Public School District,Golva Elementary School,3811610,3811610,35501701000000.0,381161000379,30.0,PK-08,3.0,28,September Count,18073.08,513.43,18586.51,506046.24,14376.0399999999,520422.279999999,24772.434,1,0,1,0,0,0,0
ND,2018-2019,3009,9021,Maddock Public School District,Maddock Elementary School,3811700,3811700,35500303900000.0,381170000381,102.0,PK-08,3.0,86,September Count,12591.88,732.09,13323.97,1082901.68,62959.74,1145861.42,18925.58504,1,0,1,0,0,0,0
ND,2018-2019,3009,9023,Maddock Public School District,Maddock High School,3811700,3811700,35500303900000.0,381170000382,38.0,09-12,4.0,38,September Count,12591.88,732.09,13323.97,478491.439999999,27819.42,506310.86,18925.58504,1,0,1,0,0,0,0
ND,2018-2019,30001,10573,Mandan Public School District,Brave Center Academy,3811820,3811820,35503003100000.0,381182000858,23.0,09-12,4.0,23,September Count,11070.41,432.05,11502.46,254619.43,9937.15,264556.579999999,13243.67862,1,0,1,0,0,0,0
ND,2018-2019,30001,16561,Mandan Public School District,Custer Elementary School,3811820,3811820,35503003100000.0,381182000384,128.0,PK-05,2.0,115,September Count,12468.15,435.26,12903.41,1433837.25,50054.9,1483892.15,14644.62862,1,0,1,0,0,0,0
ND,2018-2019,30001,29251,Mandan Public School District,Ft Lincoln Elementary School,3811820,3811820,35503003100000.0,381182000081,479.0,KG-05,2.0,479,September Count,9304.49,609.61,9914.11,4456850.71,292003.19,4748858.69,11655.32862,1,0,1,0,0,0,0
ND,2018-2019,30001,52281,Mandan Public School District,Lewis And Clark Elementary School,3811820,3811820,35503003100000.0,381182000386,424.0,PK-05,2.0,410,September Count,9613.04,577.93,10190.97,3941346.4,236951.3,4178297.69999999,11932.18862,1,0,1,0,0,0,0
ND,2018-2019,30001,54533,Mandan Public School District,Mandan High School,3811820,3811820,35503003100000.0,381182000387,1074.0,09-12,4.0,1074,September Count,10566.46,498.09,11064.54,11348378.04,534948.659999999,11883315.96,12805.75862,1,0,1,0,0,0,0
ND,2018-2019,30001,54572,Mandan Public School District,Mandan Middle School,3811820,3811820,35503003100000.0,381182000388,952.0,06-08,3.0,952,September Count,9651.71,511.7,10163.41,9188427.92,487138.399999999,9675566.32,11904.62862,1,0,1,0,0,0,0
ND,2018-2019,30001,82861,Mandan Public School District,Mary Stark Elementary School,3811820,3811820,35503003100000.0,381182000390,215.0,PK-05,2.0,204,September Count,10601.37,439.73,11041.1,2162679.48,89704.92,2252384.4,12782.31862,1,0,1,0,0,0,0
ND,2018-2019,30001,73611,Mandan Public School District,Red Trail Elementary School,3811820,3811820,35503003100000.0,381182000870,366.0,KG-05,2.0,366,September Count,9603.81,693.2,10297.02,3514994.46,253711.2,3768709.32,12038.23862,1,0,1,0,0,0,0
ND,2018-2019,30001,75691,Mandan Public School District,Roosevelt Elementary School,3811820,3811820,35503003100000.0,381182000391,287.0,PK-05,2.0,267,September Count,10930.28,432.77,11363.05,2918384.76,115549.59,3033934.34999999,13104.26862,1,0,1,0,0,0,0
ND,2018-2019,27036,54591,Mandaree Public School District,Mandaree Elementary School,3811850,3811850,35502701900000.0,381185000747,,PK-08,3.0,172,September Count,5106.41,17630.28,22736.7,878302.52,3032408.15999999,3910712.4,26823.93139,1,0,1,0,0,0,0
ND,2018-2019,27036,54593,Mandaree Public School District,Mandaree High School,3811850,3811850,35502701900000.0,381185000006,,09-12,4.0,50,September Count,5106.41,17630.28,22736.7,255320.5,881514,1136835,26823.93139,1,0,1,0,0,0,0
ND,2018-2019,8045,54661,Manning Public School District,Manning Elementary School,3811970,3811970,35500803400000.0,381197000393,11.0,KG-08,3.0,11,September Count,18228.69,0,18228.69,200515.59,0,200515.59,17909.09091,1,0,1,0,0,0,0
ND,2018-2019,18125,54731,Manvel Public School District,Manvel Elementary School,3812000,3812000,35501803000000.0,381200000394,184.0,PK-08,3.0,162,September Count,8426.74,1552.77,9979.51,1365131.88,251548.74,1616680.62,12356.24576,1,0,1,0,0,0,0
ND,2018-2019,9004,11481,Maple Valley Public School District,Maple Valley Elementary School,3812020,3812020,35500900900000.0,381202000889,122.0,PK-06,2.0,122,September Count,16649.59,395.09,17044.68,2031249.98,48200.9799999999,2079450.96,20383.31238,1,0,1,0,0,0,0
ND,2018-2019,9004,11483,Maple Valley Public School District,Maple Valley High School,3812020,3812020,35500900900000.0,381202000395,87.0,07-12,4.0,87,September Count,16649.59,395.09,17044.68,1448514.33,34372.8299999999,1482887.16,20383.31238,1,0,1,0,0,0,0
ND,2018-2019,9004,93601,Maple Valley Public School District,Wheatland Colony School,3812020,3812020,35500900900000.0,381202000851,5.0,KG-08,3.0,5,September Count,17838.91,0,17838.91,89194.55,0,89194.55,21177.54238,1,0,1,0,0,0,0
ND,2018-2019,9007,54791,Mapleton Public School District,Mapleton Elementary School,3812030,3812030,35500904200000.0,381203000397,163.0,PK-06,2.0,144,September Count,10441.9,226.58,10668.48,1503633.59999999,32627.52,1536261.11999999,12593.2584,1,0,1,0,0,0,0
ND,2018-2019,44012,54861,Marmarth Public School District,Marmarth Elementary School,3812120,3812120,35504401600000.0,381212000400,15.0,PK-08,3.0,13,September Count,23817.85,1516.93,25334.79,309632.05,19720.09,329352.27,29111.30533,1,0,1,0,0,0,0
ND,2018-2019,30800,54583,MARMOT SCHOOLS,MARMOT SCHOOL 9-12,3800005,3800005,,380000500797,28.0,09-12,4.0,NRD,September Count,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,1
ND,2018-2019,30800,54581,MARMOT SCHOOLS,MARMOT SCHOOL K-8,3800005,3800005,,380000500837,2.0,KG-08,3.0,NRD,September Count,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,1
ND,2018-2019,28050,55191,Max Public School District,Max Elementary School,3812350,3812350,35502800800000.0,381235000401,113.0,PK-06,2.0,102,September Count,11737.52,508.55,12246.07,1197227.04,51872.1,1249099.14,16449.7642,1,0,1,0,0,0,0
ND,2018-2019,28050,55193,Max Public School District,Max High School,3812350,3812350,35502800800000.0,381235000402,86.0,07-12,4.0,86,September Count,11737.52,508.55,12246.07,1009426.72,43735.3,1053162.02,16449.7642,1,0,1,0,0,0,0
ND,2018-2019,49014,55263,May-Port Cg Public School District,May-Port CG High School,3800041,3800041,35504902400000.0,380004100406,154.0,09-12,4.0,154,September Count,9685.25,116.1,9801.34,1491528.5,17879.3999999999,1509406.36,11672.9683,1,0,1,0,0,0,0
ND,2018-2019,49014,55262,May-Port Cg Public School District,May-Port CG Middle School,3800041,3800041,35504902400000.0,380004100019,115.0,06-08,3.0,115,September Count,9685.25,116.1,9801.34,1113803.75,13351.5,1127154.1,11672.9683,1,0,1,0,0,0,0
ND,2018-2019,49014,71451,May-Port Cg Public School District,Peter Boe Jr Elementary School,3800041,3800041,35504902400000.0,380004100405,224.0,PK-05,2.0,217,September Count,9804.55,710.32,10514.87,2127587.34999999,154139.44,2281726.79,12386.4983,1,0,1,0,0,0,0
ND,2018-2019,42019,53201,Mcclusky Public School District,McClusky Elementary School,3812430,3812430,35504201600000.0,381243000407,55.0,PK-06,2.0,48,September Count,12954.21,737.75,13691.95,621802.08,35412,657213.6,17444.58429,1,0,1,0,0,0,0
ND,2018-2019,42019,55323,Mcclusky Public School District,McClusky High School,3812430,3812430,35504201600000.0,381243000408,36.0,07-12,4.0,36,September Count,21159.39,737.75,21897.13,761738.04,26559,788296.68,25649.76429,1,0,1,0,0,0,0
ND,2018-2019,27001,56071,Mckenzie Co Public School District,Watford City Elementary School,3812540,3812540,35502701300000.0,381254000414,995.0,PK-05,2.0,965,September Count,7809.14,1091.01,8900.15,7535820.1,1052824.65,8588644.75,10500.63264,1,0,1,0,0,0,0
ND,2018-2019,27001,56063,Mckenzie Co Public School District,Watford City High School,3812540,3812540,35502701300000.0,381254000415,439.0,09-12,4.0,439,September Count,9137.16,1939.68,11076.85,4011213.23999999,851519.52,4862737.15,12677.33264,1,0,1,0,0,0,0
ND,2018-2019,27001,56092,Mckenzie Co Public School District,Watford City Middle School,3812540,3812540,35502701300000.0,381254000886,398.0,06-08,3.0,398,September Count,6283.06,1559.99,7843.05,2500657.88,620876.02,3121533.9,9443.532642,1,0,1,0,0,0,0
ND,2018-2019,47003,56571,Medina Public School District,Medina Elementary School,3812660,3812660,35504703500000.0,381266000418,107.0,PK-06,2.0,91,September Count,12310.41,189.18,12499.59,1120247.31,17215.38,1137462.69,15879.47855,1,0,1,0,0,0,0
ND,2018-2019,47003,56573,Medina Public School District,Medina High School,3812660,3812660,35504703500000.0,381266000419,59.0,07-12,4.0,59,September Count,12310.41,189.18,12499.59,726314.19,11161.62,737475.81,15879.47855,1,0,1,0,0,0,0
ND,2018-2019,8033,56661,Menoken Public School District,Menoken Elementary School,3812720,3812720,35500803500000.0,381272000420,44.0,KG-08,3.0,44,September Count,9127.23,7.1,9134.34,401598.12,312.4,401910.96,11954.54545,1,0,1,0,0,0,0
ND,2018-2019,20007,9581,Midkota Public School District,Midkota Elementary School,3800042,3800042,35502030100000.0,380004200042,105.0,PK-06,2.0,102,September Count,11387.89,635.95,12023.84,1161564.78,64866.9,1226431.68,15280.43431,1,0,1,0,0,0,0
ND,2018-2019,20007,31723,Midkota Public School District,Midkota High School,3800042,3800042,35502030100000.0,380004200239,75.0,07-12,4.0,75,September Count,14312.38,635.95,14948.33,1073428.5,47696.25,1121124.75,18204.92431,1,0,1,0,0,0,0
ND,2018-2019,18128,57071,Midway Public School District,Midway Elementary School,3812920,3812920,35501803300000.0,381292000424,113.0,PK-08,3.0,100,September Count,14076.5,1113.13,15189.63,1407650,111313,1518963,18787.58831,1,0,1,0,0,0,0
ND,2018-2019,18128,57073,Midway Public School District,Midway High School,3812920,3812920,35501803300000.0,381292000110,59.0,09-12,4.0,59,September Count,14076.5,1113.13,15189.63,830513.5,65674.67,896188.169999999,18787.58831,1,0,1,0,0,0,0
ND,2018-2019,41002,57191,Milnor Public School District,Milnor Elementary School,3812930,3812930,35504101400000.0,381293000426,110.0,PK-06,2.0,109,September Count,14305.25,852.02,15157.28,1559272.25,92870.18,1652143.52,16995.56643,1,0,1,0,0,0,0
ND,2018-2019,41002,57193,Milnor Public School District,Milnor High School,3812930,3812930,35504101400000.0,381293000427,74.0,07-12,4.0,74,September Count,14305.25,852.02,15157.28,1058588.5,63049.4799999999,1121638.72,16995.56643,1,0,1,0,0,0,0
ND,2018-2019,41002,77571,Milnor Public School District,Sundale Colony Elementary School,3812930,3812930,35504101400000.0,381293000733,24.0,PK-06,2.0,24,September Count,7336.04,0,7336.04,176064.96,0,176064.96,9174.326429,1,0,1,0,0,0,0
ND,2018-2019,41002,77573,Milnor Public School District,Sundale Colony High School,3812930,3812930,35504101400000.0,381293000896,16.0,07-12,4.0,16,September Count,7336.04,0,7336.04,117376.64,0,117376.64,9174.326429,1,0,1,0,0,0,0
ND,2018-2019,3005,57411,Minnewaukan Public School District,Minnewaukan Elementary School,3812990,3812990,35500302800000.0,381299000430,199.0,PK-08,3.0,184,September Count,13950.01,2271.41,16221.42,2566801.84,417939.439999999,2984741.28,20533.03858,1,0,1,0,0,0,0
ND,2018-2019,3005,57413,Minnewaukan Public School District,Minnewaukan High School,3812990,3812990,35500302800000.0,381299000431,68.0,09-12,4.0,68,September Count,13950.01,2271.41,16221.42,948600.68,154455.88,1103056.56,20533.03858,1,0,1,0,0,0,0
ND,2018-2019,51001,8691,Minot Public School District,Bel Air Elementary School,3813030,3813030,35505103700000.0,381303000432,275.0,KG-05,2.0,275,September Count,9904.54,831.26,10735.79,2723748.5,228596.5,2952342.25,12076.17203,1,0,1,0,0,0,0
ND,2018-2019,51001,8861,Minot Public School District,Bell Elementary School,3813030,3813030,35505103700000.0,381303000028,90.0,KG-05,2.0,90,September Count,14247.14,824.32,15071.46,1282242.59999999,74188.8,1356431.4,16411.84203,1,0,1,0,0,0,0
ND,2018-2019,51001,57503,Minot Public School District,Central Campus School,3813030,3813030,35505103700000.0,381303000433,989.0,09-10,4.0,989,September Count,12139.83,495.23,12635.06,12006291.87,489782.47,12496074.34,13975.44203,1,0,1,0,0,0,0
ND,2018-2019,51001,17151,Minot Public School District,Dakota Elementary School,3813030,3813030,35505103700000.0,381303000434,289.0,PK-05,2.0,261,September Count,10001.32,453.07,10454.39,2610344.52,118251.27,2728595.79,11794.77203,1,0,1,0,0,0,0
ND,2018-2019,51001,21111,Minot Public School District,Edison Elementary School,3813030,3813030,35505103700000.0,381303000435,459.0,PK-05,2.0,439,September Count,9276.59,808.1,10084.7,4072423.01,354755.9,4427183.3,11425.08203,1,0,1,0,0,0,0
ND,2018-2019,51001,24802,Minot Public School District,Erik Ramstad Middle School,3813030,3813030,35505103700000.0,381303000436,695.0,06-08,3.0,695,September Count,11073.29,748.93,11822.22,7695936.55,520506.35,8216442.89999999,13162.60203,1,0,1,0,0,0,0
ND,2018-2019,51001,46452,Minot Public School District,Jim Hill Middle School,3813030,3813030,35505103700000.0,381303000439,782.0,06-08,3.0,782,September Count,9891.58,896.35,10787.93,7735215.56,700945.7,8436161.26,12128.31203,1,0,1,0,0,0,0
ND,2018-2019,51001,46701,Minot Public School District,John Hoeven Elementary School,3813030,3813030,35505103700000.0,381303000879,470.0,PK-05,2.0,458,September Count,10013.23,859.67,10872.91,4586059.34,393728.86,4979792.78,12213.29203,1,0,1,0,0,0,0
ND,2018-2019,51001,61261,Minot Public School District,Lewis And Clark Elementary School,3813030,3813030,35505103700000.0,381303000445,506.0,PK-05,2.0,489,September Count,11118.34,1164.95,12283.29,5436868.26,569660.55,6006528.81,13623.67203,1,0,1,0,0,0,0
ND,2018-2019,51001,53261,Minot Public School District,Longfellow Elementary School,3813030,3813030,35505103700000.0,381303000441,438.0,PK-05,2.0,396,September Count,10928.76,989.51,11918.27,4327788.96,391845.96,4719634.92,13258.65203,1,0,1,0,0,0,0
ND,2018-2019,51001,57523,Minot Public School District,Magic City Campus High School,3813030,3813030,35505103700000.0,381303000442,918.0,11-12,4.0,918,September Count,12093.82,516.44,12610.26,11102126.76,474091.92,11576218.68,13950.64203,1,0,1,0,0,0,0
ND,2018-2019,51001,56101,Minot Public School District,McKinley Elementary School,3813030,3813030,35505103700000.0,381303000443,105.0,KG-05,2.0,105,September Count,13100.76,1431.49,14532.25,1375579.8,150306.45,1525886.25,15872.63203,1,0,1,0,0,0,0
ND,2018-2019,51001,56602,Minot Public School District,Memorial Middle School,3813030,3813030,35505103700000.0,381303000444,163.0,06-08,3.0,163,September Count,13609.63,444.02,14053.65,2218369.69,72375.26,2290744.94999999,15394.03203,1,0,1,0,0,0,0
ND,2018-2019,51001,57461,Minot Public School District,North Plains Elementary School,3813030,3813030,35505103700000.0,381303000446,276.0,KG-05,2.0,276,September Count,9951.42,516.45,10467.87,2746591.92,142540.2,2889132.12,11808.25203,1,0,1,0,0,0,0
ND,2018-2019,51001,69901,Minot Public School District,Perkett Elementary School,3813030,3813030,35505103700000.0,381303000447,397.0,PK-05,2.0,381,September Count,9330.51,541.33,9871.84,3554924.31,206246.73,3761171.04,11212.22203,1,0,1,0,0,0,0
ND,2018-2019,51001,75771,Minot Public School District,Roosevelt Elementary School,3813030,3813030,35505103700000.0,381303000448,128.0,PK-05,2.0,107,September Count,16007.07,1119.79,17126.86,1712756.49,119817.53,1832574.02,18467.24203,1,0,1,0,0,0,0
ND,2018-2019,51001,80473,Minot Public School District,Souris River Campus Alternative High School,3813030,3813030,35505103700000.0,381303000066,72.0,09-12,4.0,72,September Count,27091.41,1965.08,29056.49,1950581.52,141485.76,2092067.28,30396.87203,1,0,1,0,0,0,0
ND,2018-2019,51001,82641,Minot Public School District,Sunnyside Elementary School,3813030,3813030,35505103700000.0,381303000449,266.0,KG-05,2.0,266,September Count,12610.87,1371.57,13982.45,3354491.42,364837.62,3719331.7,15322.83203,1,0,1,0,0,0,0
ND,2018-2019,51001,92491,Minot Public School District,Washington Elementary School,3813030,3813030,35505103700000.0,381303000450,361.0,KG-05,2.0,361,September Count,10522.64,1533.94,12056.58,3798673.03999999,553752.34,4352425.38,13396.96203,1,0,1,0,0,0,0
ND,2018-2019,50020,57591,Minto Public School District,Minto Elementary School,3813050,3813050,35505007100000.0,381305000451,225.0,PK-08,3.0,194,September Count,9150.42,716.53,9866.95,1775181.48,139006.82,1914188.3,12449.39602,1,0,1,0,0,0,0
ND,2018-2019,50020,57593,Minto Public School District,Minto High School,3813050,3813050,35505007100000.0,381305000452,64.0,09-12,4.0,64,September Count,9150.42,716.53,9866.95,585626.88,45857.92,631484.8,12449.39602,1,0,1,0,0,0,0
ND,2018-2019,38001,57781,Mohall-Lansford-Sherwood Public School District,MLS-Mohall Elementary School,3800050,3800050,35503801400000.0,380005000453,181.0,PK-06,2.0,155,September Count,10851.78,299.96,11151.74,1682025.9,46493.7999999999,1728519.7,15254.27586,1,0,1,0,0,0,0
ND,2018-2019,38001,57783,Mohall-Lansford-Sherwood Public School District,MLS-Mohall High School,3800050,3800050,35503801400000.0,380005000454,157.0,07-12,4.0,157,September Count,10851.78,299.96,11151.74,1703729.46,47093.7199999999,1750823.18,15254.27586,1,0,1,0,0,0,0
ND,2018-2019,47014,57941,Montpelier Public School District,Montpelier Elementary School,3813230,3813230,35504703600000.0,381323000458,58.0,PK-06,2.0,51,September Count,12333.97,2126.01,14459.99,629032.47,108426.51,737459.49,17726.78835,1,0,1,0,0,0,0
ND,2018-2019,47014,57943,Montpelier Public School District,Montpelier High School,3813230,3813230,35504703600000.0,381323000459,51.0,07-12,4.0,51,September Count,12333.97,2126.01,14459.99,629032.47,108426.51,737459.49,17726.78835,1,0,1,0,0,0,0
ND,2018-2019,21001,58581,Mott-Regent Public School District,Mott-Regent Elementary School,3800046,3800046,35502101800000.0,380004600460,117.0,PK-06,2.0,113,September Count,11799.53,511.05,12310.58,1333346.89,57748.65,1391095.54,16315.69164,1,0,1,0,0,0,0
ND,2018-2019,21001,58583,Mott-Regent Public School District,Mott-Regent High School,3800046,3800046,35502101800000.0,380004600461,96.0,07-12,4.0,96,September Count,11799.53,511.05,12310.58,1132754.88,49060.8,1181815.68,16315.69164,1,0,1,0,0,0,0
ND,2018-2019,40004,50551,Mt Pleasant Public School District,Mt Pleasant Elementary School,3813400,3813400,35504001300000.0,381340000463,152.0,PK-06,2.0,144,September Count,13009.05,1211.33,14220.38,1873303.2,174431.52,2047734.72,17007.10903,1,0,1,0,0,0,0
ND,2018-2019,40004,50553,Mt Pleasant Public School District,Mt Pleasant High School,3813400,3813400,35504001300000.0,381340000464,96.0,07-12,4.0,96,September Count,13009.05,1211.33,14220.38,1248868.79999999,116287.68,1365156.48,17007.10903,1,0,1,0,0,0,0
ND,2018-2019,10019,58951,Munich Public School District,Munich Elementary School,3813440,3813440,35501003400000.0,381344000466,68.0,PK-08,3.0,68,September Count,7852.53,12865.33,20717.86,533972.04,874842.44,1408814.48,24177.08333,1,0,1,0,0,1,0
ND,2018-2019,10019,58953,Munich Public School District,Munich High School,3813440,3813440,35501003400000.0,381344000467,28.0,09-12,4.0,28,September Count,7852.53,12865.33,20717.86,219870.84,360229.24,580100.08,24177.08333,1,0,1,0,0,1,0
ND,2018-2019,24002,59771,Napoleon Public School District,Napoleon Elementary School,3813510,3813510,35502400600000.0,381351000468,128.0,PK-06,2.0,125,September Count,11510.92,311.7,11822.62,1438865,38962.5,1477827.5,14320.11512,1,0,1,0,0,0,0
ND,2018-2019,24002,59773,Napoleon Public School District,Napoleon High School,3813510,3813510,35502400600000.0,381351000469,114.0,07-12,4.0,114,September Count,11510.92,311.7,11822.62,1312244.88,35533.7999999999,1347778.68,14320.11512,1,0,1,0,0,0,0
ND,2018-2019,8025,59851,Naughton Public School District,Naughton Elementary School,3800015,3800015,35500803700000.0,380001500471,9.0,PK-08,3.0,9,September Count,22466.11,156.1,22622.21,202194.99,1404.89999999999,203599.889999999,21666.66667,1,0,1,0,0,0,0
ND,2018-2019,36800,67101,ND SCHOOL FOR THE DEAF,SCHOOL FOR THE DEAF PK-8,3800006,3800006,,380000600801,13.0,PK-08,3.0,NRD,September Count,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,1
ND,2018-2019,18800,67151,ND VISION SERVICES,SCHOOL FOR THE BLIND,3800004,3800004,,380000400803,,,0.0,NRD,September Count,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,1
ND,2018-2019,51004,60051,Nedrose Public School District,Nedrose Elementary School,3813660,3813660,35505103800000.0,381366000474,209.0,PK-03,2.0,182,September Count,10641.44,944.75,11586.19,1936742.08,171944.5,2108686.58,13808.2739,1,0,1,0,0,0,0
ND,2018-2019,51004,60061,Nedrose Public School District,Nedrose Elementary School 4-8,3813660,3813660,35505103800000.0,381366000876,225.0,04-08,3.0,225,September Count,6968.25,0,6968.25,1567856.25,0,1567856.25,9190.333902,1,0,1,0,0,0,0
ND,2018-2019,51004,60063,Nedrose Public School District,Nedrose High School,3813660,3813660,35505103800000.0,381366000877,158.0,09-12,4.0,158,September Count,6968.25,0,6968.25,1100983.5,0,1100983.5,9190.333902,1,0,1,0,0,0,0
ND,2018-2019,53002,73521,Nesson Public School District,Ray Elementary School,3813710,3813710,35505301300000.0,381371000477,271.0,PK-08,3.0,262,September Count,10102.1,340.2,10442.3,2646750.2,89132.4,2735882.59999999,13960.73025,1,0,1,0,0,0,0
ND,2018-2019,53002,73523,Nesson Public School District,Ray High School,3813710,3813710,35505301300000.0,381371000478,86.0,09-12,4.0,86,September Count,10102.1,340.2,10442.3,868780.6,29257.2,898037.799999999,13960.73025,1,0,1,0,0,0,0
ND,2018-2019,21009,60261,New England Public School District,New England Elementary School,3800027,3800027,35502101900000.0,380002700486,181.0,PK-06,2.0,147,September Count,9673.5,326.87,10000.37,1422004.5,48049.89,1470054.39,13847.50027,1,0,1,0,0,0,0
ND,2018-2019,21009,60263,New England Public School District,New England High School,3800027,3800027,35502101900000.0,380002700487,114.0,07-12,4.0,114,September Count,9673.5,326.87,10000.37,1102779,37263.18,1140042.18,13847.50027,1,0,1,0,0,0,0
ND,2018-2019,14002,59711,New Rockford-Sheyenne Public School District,New Rockford-Sheyenne Elementary School,3800059,3800059,35501400900000.0,380005900490,195.0,PK-06,2.0,163,September Count,9317.19,272.69,9589.88,1518701.97,44448.47,1563150.44,12866.29139,1,0,1,0,0,0,0
ND,2018-2019,14002,59713,New Rockford-Sheyenne Public School District,New Rockford-Sheyenne High School,3800059,3800059,35501400900000.0,380005900491,135.0,07-12,4.0,135,September Count,9317.19,272.69,9589.88,1257820.65,36813.15,1294633.79999999,12866.29139,1,0,1,0,0,0,0
ND,2018-2019,30049,60333,New Salem-Almont Public School District,New Salem-Almont High School,3800392,3800392,35503003600000.0,380039200493,148.0,07-12,4.0,148,September Count,12875.17,0,12875.17,1905525.16,0,1905525.16,16340.22927,1,0,1,0,0,0,0
ND,2018-2019,30049,71761,New Salem-Almont Public School District,Prairie View Elementary School,3800392,3800392,35503003600000.0,380039200494,194.0,KG-06,2.0,191,September Count,11803.27,0,11803.27,2254424.57,0,2254424.57,15268.32927,1,0,1,0,0,0,0
ND,2018-2019,31001,60361,New Town Public School District,Edwin Loe Elementary School,3813920,3813920,35503102800000.0,381392000495,533.0,PK-05,2.0,524,September Count,6541.58,7978.46,14520.04,3427787.92,4180713.04,7608500.96,15677.38723,1,0,1,0,0,0,0
ND,2018-2019,31001,60393,New Town Public School District,New Town High School,3813920,3813920,35503102800000.0,381392000015,267.0,09-12,4.0,267,September Count,5588.23,6830.05,12418.28,1492057.41,1823623.35,3315680.76,13575.62723,1,0,1,0,0,0,0
ND,2018-2019,31001,60392,New Town Public School District,New Town Middle School,3813920,3813920,35503102800000.0,381392000496,224.0,06-08,3.0,224,September Count,5588.23,6830.05,12418.28,1251763.52,1529931.2,2781694.72,13575.62723,1,0,1,0,0,0,0
ND,2018-2019,5054,60431,Newburg-United Public School District,Newburg-United Elementary School,3800825,3800825,35500520100000.0,380082500113,56.0,PK-06,2.0,53,September Count,19644.72,651.01,20295.73,1041170.16,34503.53,1075673.69,23077.38416,1,0,1,0,0,0,0
