state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ND,enrollmetric,pp_stloc_raw_ND,pp_fed_raw_ND,pp_total_raw_ND,schoolstloc_raw_ND,schoolfed_raw_ND,schooltot_raw_ND,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ND,2018-2019,18001,94751,Grand Forks Public School District,Winship Elementary School,3808130,3808130,35501803500000.0,380813000269,209.0,PK-05,2.0,209,September Count,13133.54,1582.35,14715.89,2744909.86,330711.149999999,3075621.01,15973.96226,1,0,1,0,0,0,0
ND,2018-2019,53099,32811,Grenora Public School District,Grenora Elementary School,3808460,3808460,35505300800000.0,380846000273,100.0,KG-06,2.0,100,September Count,16386.73,237.56,16624.29,1638673,23756,1662429,20247.91272,1,0,1,0,0,0,0
ND,2018-2019,53099,32813,Grenora Public School District,Grenora High School,3808460,3808460,35505300800000.0,380846000274,79.0,07-12,4.0,79,September Count,16386.73,237.56,16624.29,1294551.67,18767.24,1313318.91,20247.91272,1,0,1,0,0,0,0
ND,2018-2019,20018,15551,Griggs County Central Public School District,Griggs County Central Elementary School,3804560,3804560,35502000900000.0,380456000164,181.0,PK-08,3.0,174,September Count,12228.01,420.41,12648.41,2127673.74,73151.34,2200823.34,14890.5011,1,0,1,0,0,0,0
ND,2018-2019,20018,15553,Griggs County Central Public School District,Griggs County Central High School,3804560,3804560,35502000900000.0,380456000116,72.0,09-12,4.0,72,September Count,12228.01,420.41,12648.41,880416.72,30269.52,910685.52,14890.5011,1,0,1,0,0,0,0
ND,2018-2019,13019,33901,Halliday Public School District,Halliday Elementary School,3808610,3808610,35501301300000.0,380861000277,23.0,KG-06,2.0,23,September Count,35580.61,295.91,35876.52,818354.03,6805.93,825159.96,40391.30435,1,0,1,0,0,0,0
ND,2018-2019,39008,34321,Hankinson Public School District,Hankinson Elementary School,3808710,3808710,35503902300000.0,380871000281,132.0,PK-06,2.0,126,September Count,11782.5,114.98,11897.48,1484595,14487.48,1499082.48,14213.57909,1,0,1,0,0,0,0
ND,2018-2019,39008,34323,Hankinson Public School District,Hankinson High School,3808710,3808710,35503902300000.0,380871000283,132.0,07-12,4.0,132,September Count,11782.5,114.98,11897.48,1555290,15177.36,1570467.35999999,14213.57909,1,0,1,0,0,0,0
ND,2018-2019,52038,34781,Harvey Public School District,BM Hanson Elementary School,3808890,3808890,35505201900000.0,380889000287,216.0,PK-06,2.0,216,September Count,10508.84,769.95,11278.79,2269909.44,166309.2,2436218.64,13308.62212,1,0,1,0,0,0,0
ND,2018-2019,52038,34793,Harvey Public School District,Harvey High School,3808890,3808890,35505201900000.0,380889000288,175.0,07-12,4.0,175,September Count,11979.01,10.23,11989.24,2096326.75,1790.25,2098117,14019.07212,1,0,1,0,0,0,0
ND,2018-2019,49007,35041,Hatton Eielson Public School District,Hatton Eielson Elementary School,3809000,3809000,35504970100000.0,380900000289,92.0,PK-06,2.0,91,September Count,11865.72,406.02,12271.74,1079780.52,36947.82,1116728.34,14598.18641,1,0,1,0,0,0,0
ND,2018-2019,49007,35043,Hatton Eielson Public School District,Hatton Eielson High School,3809000,3809000,35504970100000.0,380900000290,89.0,07-12,4.0,89,September Count,11865.72,406.02,12271.74,1056049.07999999,36135.78,1092184.85999999,14598.18641,1,0,1,0,0,0,0
ND,2018-2019,15006,35251,Hazelton-Moffit-Braddock Public School District,Hazelton-Moffit-Braddock Elementary School,3809130,3809130,35501503800000.0,380913000291,69.0,PK-06,2.0,64,September Count,13825.16,592.42,14417.58,884810.24,37914.88,922725.12,18056.25317,1,0,1,0,0,0,0
ND,2018-2019,15006,35253,Hazelton-Moffit-Braddock Public School District,Hazelton-Moffit-Braddock High School,3809130,3809130,35501503800000.0,380913000141,57.0,07-12,4.0,57,September Count,13825.16,592.42,14417.58,788034.12,33767.9399999999,821802.059999999,18056.25317,1,0,1,0,0,0,0
ND,2018-2019,29003,35281,Hazen Public School District,Hazen Elementary School,3800031,3800031,35502901500000.0,380003100293,268.0,PK-05,2.0,254,September Count,8785.73,472.52,9258.25,2231575.42,120020.08,2351595.5,11659.42968,1,0,1,0,0,0,0
ND,2018-2019,29003,35293,Hazen Public School District,Hazen High School,3800031,3800031,35502901500000.0,380003100294,169.0,09-12,4.0,169,September Count,10366.15,185.24,10551.38,1751879.34999999,31305.56,1783183.22,12952.55968,1,0,1,0,0,0,0
