state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_IN,enrollmetric,pp_stloc_raw_IN,pp_fed_raw_IN,pp_total_raw_IN,schoolstloc_raw_IN,schoolfed_raw_IN,schooltot_raw_IN,pp_total_norm_NERDS,pp_instruction_site_raw_IN,pp_otherinstruct_site_raw_IN,pp_instruction_centshare_raw_IN,pp_operations_site_raw_IN,pp_operations_centshare_raw_IN,pp_instruction_raw_IN,pp_noninstruction_raw_IN,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
IN,2018-2019,3315,2729,Avon Community School Corp,Avon Intermediate School West,1800270,1800270,15503270100000.0,180027002092.0,759.0,05-06,2.0,759,October Count Day,8372.96,336.23,8709.19,6355076.64,255198.57,6610275.21,9858.108595,5408.39,0,1211.34,699.33,1390.13,6619.73,2089.46,1,0,1,1,0,0,0
IN,2018-2019,3315,2730,Avon Community School Corp,Avon Middle School North,1800270,1800270,15503270100000.0,180027002450.0,797.0,07-08,3.0,797,October Count Day,9058.71,280.54,9339.26,7219791.86999999,223590.38,7443390.22,10488.1786,5735.98,0,1211.34,1001.8,1390.13,6947.32,2391.94,1,0,1,1,0,0,0
IN,2018-2019,3315,2736,Avon Community School Corp,Avon Middle School South,1800270,1800270,15503270100000.0,180027002095.0,754.0,07-08,3.0,754,October Count Day,9368.52,212.07,9580.59,7063864.08,159900.78,7223764.86,10729.5086,5710.54,0,1211.34,1268.57,1390.13,6921.88,2658.71,1,0,1,1,0,0,0
IN,2018-2019,3315,2738,Avon Community School Corp,Cedar Elementary School,1800270,1800270,15503270100000.0,180027002194.0,681.0,KG-04,2.0,681,October Count Day,8749.41,522.2,9271.61,5958348.21,355618.2,6313966.41,10420.5286,6058.04,0,1211.34,612.1,1390.13,7269.38,2002.23,1,0,1,1,0,0,0
IN,2018-2019,3315,2740,Avon Community School Corp,Hickory Elementary School,1800270,1800270,15503270100000.0,180027001675.0,500.0,KG-04,2.0,500,October Count Day,8810.12,224.28,9034.4,4405060,112140,4517200,10183.3186,5705.21,0,1211.34,727.71,1390.13,6916.55,2117.84999999999,1,0,1,1,0,0,0
IN,2018-2019,3315,2733,Avon Community School Corp,Maple Elementary School,1800270,1800270,15503270100000.0,180027000059.0,366.0,PK-04,2.0,366,October Count Day,8904.87,550.1,9454.97,3259182.42,201336.6,3460519.01999999,10603.8886,6136.02,0,1211.34,717.47,1390.13,7347.36,2107.60999999999,1,0,1,1,0,0,0
IN,2018-2019,3315,2739,Avon Community School Corp,Pine Tree Elementary School,1800270,1800270,15503270100000.0,180027002330.0,334.0,PK-04,2.0,334,October Count Day,9220.34,653.79,9874.13,3079593.56,218365.86,3297959.42,11023.0486,6413.68,0,1211.34,858.98,1390.13,7625.02,2249.10999999999,1,0,1,1,0,0,0
IN,2018-2019,3315,2726,Avon Community School Corp,River Birch Elementary School,1800270,1800270,15503270100000.0,180027002480.0,812.0,KG-04,2.0,812,October Count Day,7805.37,185.34,7990.71,6337960.43999999,150496.08,6488456.52,9139.628595,4974.88,0,1211.34,414.35,1390.13,6186.22,1804.48999999999,1,0,1,1,0,0,0
IN,2018-2019,3315,2735,Avon Community School Corp,Sycamore Elementary School,1800270,1800270,15503270100000.0,180027000390.0,495.0,KG-04,2.0,495,October Count Day,8280.91,248.49,8529.4,4099050.44999999,123002.55,4222053,9678.318595,5279.8,0,1211.34,648.12,1390.13,6491.14,2038.25999999999,1,0,1,1,0,0,0
IN,2018-2019,3315,2734,Avon Community School Corp,White Oak Elementary School,1800270,1800270,15503270100000.0,180027000058.0,407.0,PK-04,2.0,407,October Count Day,8049.28,312.55,8361.83,3276056.96,127207.85,3403264.81,9510.748595,5266.35,0,1211.34,494,1390.13,6477.69,1884.13999999999,1,0,1,1,0,0,0
