state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_OK,enrollmetric,pp_stloc_raw_OK,pp_fed_raw_OK,pp_total_raw_OK,schoolstloc_raw_OK,schoolfed_raw_OK,schooltot_raw_OK,pp_total_norm_NERDS,pp_total_localonly_raw_OK,pp_total_stateonly_raw_OK,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
OK,2018-2019,72I003,215,BROKEN ARROW,OAK CREST ES,4005490,4005490,37507200300000.0,400549002801,385.0,PK-05,2,385.0,October Count Day,7820.69,913.34,8734.03,3010965.65,351635.9,3362601.55,9176.601015,7049.49,771.2,1,0,1,0,0,0,0
OK,2018-2019,72I003,525,BROKEN ARROW,OLIVER MS,4005490,4005490,37507200300000.0,400549002095,818.0,06-08,3,818.0,October Count Day,6451.25,497.69,6948.93,5277122.5,407110.42,5684224.74,7391.501015,5787.26,663.99,1,0,1,0,0,0,0
OK,2018-2019,72I003,530,BROKEN ARROW,ONETA RIDGE MS,4005490,4005490,37507200300000.0,400549002770,883.0,06-08,3,883.0,October Count Day,6356.9,673.99,7030.89,5613142.69999999,595133.17,6208275.87,7473.461015,5642.98,713.92,1,0,1,0,0,0,0
OK,2018-2019,72I003,107,BROKEN ARROW,PARKLANE EARLY CHILDHOOD CTR,4005490,4005490,37507200300000.0,400549002773,309.0,PK-PK,1,309.0,October Count Day,7327.25,716.16,8043.41,2264120.25,221293.44,2485413.69,8485.981015,6545.35,781.9,1,0,1,0,0,0,0
OK,2018-2019,72I003,110,BROKEN ARROW,RHOADES ES,4005490,4005490,37507200300000.0,400549000203,435.0,PK-05,2,435.0,October Count Day,7309.92,1156.04,8465.95,3179815.2,502877.399999999,3682688.25,8908.521015,6386.29,923.63,1,0,1,0,0,0,0
OK,2018-2019,72I003,510,BROKEN ARROW,SEQUOYAH MS,4005490,4005490,37507200300000.0,400549000205,755.0,06-08,3,755.0,October Count Day,6805.3,1058.0,7863.29,5138001.5,798790.0,5936783.95,8305.861015,6016.46,788.84,1,0,1,0,0,0,0
OK,2018-2019,72I003,160,BROKEN ARROW,SPRING CREEK ES,4005490,4005490,37507200300000.0,400549029806,529.0,PK-05,2,529.0,October Count Day,6068.84,493.82,6562.66,3210416.36,261230.78,3471647.14,7005.231015,5434.04,634.8,1,0,1,0,0,0,0
OK,2018-2019,72I003,220,BROKEN ARROW,TIMBER RIDGE ES,4005490,4005490,37507200300000.0,400549002849,648.0,PK-05,2,648.0,October Count Day,5949.87,966.73,6916.6,3855515.76,626441.04,4481956.8,7359.171015,5290.27,659.6,1,0,1,0,0,0,0
OK,2018-2019,72I003,125,BROKEN ARROW,VANDEVER ES,4005490,4005490,37507200300000.0,400549000207,391.0,PK-05,2,391.0,October Count Day,7302.79,1261.19,8563.98,2855390.89,493125.29,3348516.17999999,9006.551015,6420.0,882.79,1,0,1,0,0,0,0
OK,2018-2019,72I003,165,BROKEN ARROW,WOLF CREEK ES,4005490,4005490,37507200300000.0,400549029849,550.0,PK-05,2,550.0,October Count Day,6717.98,482.09,7200.08,3694889.0,265149.5,3960044.0,7642.651015,5953.09,764.89,1,0,1,0,0,0,0
OK,2018-2019,48I074,110,BROKEN BOW,BENNETT ES,4005520,4005520,37504500500000.0,400552000208,309.0,03-05,2,309.0,October Count Day,6259.17,1382.67,7641.84,1934083.53,427245.03,2361328.56,8178.32245,5443.19,815.98,1,0,1,0,0,0,0
OK,2018-2019,48I074,705,BROKEN BOW,BROKEN BOW HS,4005520,4005520,37504500500000.0,400552000209,617.0,09-12,4,617.0,October Count Day,7274.16,1871.02,9145.19,4488156.72,1154419.34,5642582.23,9681.67245,6522.16,752.0,1,0,1,0,0,0,0
OK,2018-2019,48I074,120,BROKEN BOW,DIERKS ES,4005520,4005520,37504500500000.0,400552029704,364.0,PK-02,2,364.0,October Count Day,6821.19,1737.32,8558.52,2482913.15999999,632384.48,3115301.28,9095.00245,6089.49,731.7,1,0,1,0,0,0,0
OK,2018-2019,48I074,505,BROKEN BOW,RECTOR JOHNSON MS,4005520,4005520,37504500500000.0,400552000211,306.0,06-08,3,306.0,October Count Day,7930.42,1872.08,9802.49,2426708.52,572856.48,2999561.94,10338.97245,6835.62,1094.8,1,0,1,0,0,0,0
OK,2018-2019,68C036,105,BRUSHY,BRUSHY PUBLIC SCHOOL,4005580,4005580,37506800800000.0,400558000214,397.0,PK-08,3,397.0,October Count Day,7997.28,1701.55,9698.83,3174920.16,675515.35,3850435.51,9748.110831,7258.39,738.89,1,0,1,0,0,0,0
OK,2018-2019,30I004,105,BUFFALO,BUFFALO ES,4005760,4005760,37503000100000.0,400576000215,237.0,PK-08,3,237.0,October Count Day,7798.34999999999,953.78,8752.14,1848208.95,226045.86,2074257.18,9194.037023,7165.2,633.15,1,0,1,0,0,0,0
OK,2018-2019,30I004,715,BUFFALO,BUFFALO HS,4005760,4005760,37503000100000.0,400576029684,72.0,09-12,4,72.0,October Count Day,12566.64,1824.97,14391.62,904798.08,131397.84,1036196.64,14833.51702,11701.97,864.67,1,0,1,0,0,0,0
OK,2018-2019,39I003,105,BUFFALO VALLEY,BUFFALO VALLEY ES,4005820,4005820,37503900300000.0,400582000217,95.0,PK-08,3,95.0,October Count Day,6838.96999999999,1768.29,8607.26,649702.149999999,167987.55,817689.7,9300.14993,5984.61,854.36,1,0,1,0,0,0,0
OK,2018-2019,39I003,705,BUFFALO VALLEY,BUFFALO VALLEY HS,4005820,4005820,37503900300000.0,400582029692,48.0,09-12,4,48.0,October Count Day,11422.11,1082.63,12504.73,548261.28,51966.24,600227.04,13197.61993,10409.6,1012.51,1,0,1,0,0,0,0
