Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,250.48,10.47,▲,92.46,53.79
Minnesota,248.41,8.41,▲,85.33,52.85
Massachusetts,247.32,7.32,▲,85.18,50.19
Virginia,246.89,6.89,▲,86.98,47.91
Florida,245.96,5.95,▲,87.36,47.53
New Jersey,245.93,5.93,▲,85.24,48.16
Wyoming,245.84,5.84,▲,87.10,47.80
Indiana,244.88,4.88,▲,84.11,47.07
New Hampshire,244.56,4.56,▲,85.70,45.82
Pennsylvania,243.94,3.93,▲,81.32,47.31
Utah,243.79,3.79,▲,82.42,46.34
Nebraska,243.77,3.77,▲,84.13,45.48
Texas,243.62,3.61,▲,84.39,43.67
Connecticut,243.26,3.26,▲,82.46,45.00
North Dakota,242.93,2.92,▲,84.22,44.34
Idaho,241.90,1.89,♦,81.95,43.02
Colorado,241.87,1.86,♦,80.48,44.46
Wisconsin,241.67,1.67,♦,79.92,44.76
North Carolina,241.41,1.40,♦,82.11,41.37
South Dakota,241.30,1.29,♦,82.91,43.03
Ohio,241.14,1.14,♦,81.91,41.13
Montana,241.11,1.11,♦,82.43,42.58
Maine,240.76,0.75,♦,81.45,41.77
Mississippi,240.71,0.70,♦,84.21,38.83
Iowa,240.69,0.68,♦,80.93,42.00
National public,240.00,†,,80.05,40.44
Tennessee,239.70,-0.31,♦,79.44,39.89
Washington,239.51,-0.49,♦,78.80,39.28
Kansas,239.44,-0.56,♦,79.38,40.31
Rhode Island,239.34,-0.66,♦,80.56,40.47
Delaware,239.32,-0.68,♦,78.74,39.14
Kentucky,239.31,-0.69,♦,80.69,39.92
Vermont,238.90,-1.10,♦,81.03,38.80
Hawaii,238.57,-1.44,♦,78.38,39.77
Maryland,238.56,-1.44,♦,75.78,39.11
Missouri,238.41,-1.59,♦,79.72,39.32
Georgia,237.65,-2.36,▼,77.23,36.49
Arizona,237.61,-2.39,▼,77.49,37.35
Illinois,237.40,-2.61,▼,77.28,38.50
Oklahoma,237.20,-2.81,▼,80.30,34.50
South Carolina,236.75,-3.25,▼,76.65,36.33
New York,236.73,-3.27,▼,76.48,36.94
Oregon,236.35,-3.65,▼,75.40,37.25
Michigan,236.15,-3.85,▼,76.16,35.59
Nevada,235.63,-4.38,▼,77.12,34.30
California,234.72,-5.28,▼,74.58,33.63
District of Columbia,234.64,-5.37,▼,73.15,34.16
Arkansas,233.25,-6.75,▼,75.12,33.25
Alaska,232.31,-7.70,▼,72.86,33.17
West Virginia,231.50,-8.51,▼,74.12,29.65
Louisiana,231.30,-8.71,▼,73.42,28.77
New Mexico,231.11,-8.89,▼,72.30,28.72
Alabama,229.65,-10.35,▼,71.49,28.10
Puerto Rico,184.68,-55.33,▼,14.99,0.76
